#   Ar  CRISIS(1977/05)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.971803e+01 1.800000e+01 2.160000e+01 3.222222e-03 3.611110e-04 3.611110e-04 0.000000e+00 0.000000e+00 3.611110e-04 3.611110e-04
2.333066e+01 2.160000e+01 2.520000e+01 1.833334e-03 2.500001e-04 2.500001e-04 0.000000e+00 0.000000e+00 2.500001e-04 2.500001e-04
2.693992e+01 2.520000e+01 2.880000e+01 1.194444e-03 2.499999e-04 2.499999e-04 0.000000e+00 0.000000e+00 2.499999e-04 2.499999e-04
3.054701e+01 2.880000e+01 3.240000e+01 1.777778e-03 3.055557e-04 3.055557e-04 0.000000e+00 0.000000e+00 3.055557e-04 3.055557e-04
3.415259e+01 3.240000e+01 3.600000e+01 1.472222e-03 2.777777e-04 2.777777e-04 0.000000e+00 0.000000e+00 2.777777e-04 2.777777e-04
3.943620e+01 3.600000e+01 4.320000e+01 1.388888e-03 1.944444e-04 1.944444e-04 0.000000e+00 0.000000e+00 1.944444e-04 1.944444e-04
4.829904e+01 4.320000e+01 5.400000e+01 6.296297e-04 1.018519e-04 1.018519e-04 0.000000e+00 0.000000e+00 1.018519e-04 1.018519e-04
6.235380e+01 5.400000e+01 7.200000e+01 3.277778e-04 6.111111e-05 6.111111e-05 0.000000e+00 0.000000e+00 6.111111e-05 6.111111e-05
8.818164e+01 7.200000e+01 1.080000e+02 2.250000e-04 3.333333e-05 3.333333e-05 0.000000e+00 0.000000e+00 3.333333e-05 3.333333e-05
1.971803e+02 1.080000e+02 3.600000e+02 3.015873e-05 4.761905e-06 4.761905e-06 0.000000e+00 0.000000e+00 4.761905e-06 4.761905e-06
