#   Ar  HEAO3-C2(1979/10-1980/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.880000e+01 2.880000e+01 2.880000e+01 8.023750e-04 5.657722e-05 5.657722e-05 0.000000e+00 0.000000e+00 5.657722e-05 5.657722e-05
3.600000e+01 3.600000e+01 3.600000e+01 6.886111e-04 4.365361e-05 4.365361e-05 0.000000e+00 0.000000e+00 4.365361e-05 4.365361e-05
4.500000e+01 4.500000e+01 4.500000e+01 5.848889e-04 3.081806e-05 3.081806e-05 0.000000e+00 0.000000e+00 3.081806e-05 3.081806e-05
5.760000e+01 5.760000e+01 5.760000e+01 4.000333e-04 1.652775e-05 1.652775e-05 0.000000e+00 0.000000e+00 1.652775e-05 1.652775e-05
7.560000e+01 7.560000e+01 7.560000e+01 2.740083e-04 1.147844e-05 1.147844e-05 0.000000e+00 0.000000e+00 1.147844e-05 1.147844e-05
9.540000e+01 9.540000e+01 9.540000e+01 1.860000e-04 7.247028e-06 7.247028e-06 0.000000e+00 0.000000e+00 7.247028e-06 7.247028e-06
1.206000e+02 1.206000e+02 1.206000e+02 1.051528e-04 3.928278e-06 3.928278e-06 0.000000e+00 0.000000e+00 3.928278e-06 3.928278e-06
1.548000e+02 1.548000e+02 1.548000e+02 6.722222e-05 2.610667e-06 2.610667e-06 0.000000e+00 0.000000e+00 2.610667e-06 2.610667e-06
2.016000e+02 2.016000e+02 2.016000e+02 3.996667e-05 1.586761e-06 1.586761e-06 0.000000e+00 0.000000e+00 1.586761e-06 1.586761e-06
2.700000e+02 2.700000e+02 2.700000e+02 2.027778e-05 9.831305e-07 9.831305e-07 0.000000e+00 0.000000e+00 9.831305e-07 9.831305e-07
3.816000e+02 3.816000e+02 3.816000e+02 8.499167e-06 3.970583e-07 3.970583e-07 0.000000e+00 0.000000e+00 3.970583e-07 3.970583e-07
5.832000e+02 5.832000e+02 5.832000e+02 2.856111e-06 1.824567e-07 1.824567e-07 0.000000e+00 0.000000e+00 1.824567e-07 1.824567e-07
1.260000e+03 1.260000e+03 1.260000e+03 3.250000e-07 5.316027e-08 5.316027e-08 0.000000e+00 0.000000e+00 5.316027e-08 5.316027e-08
