#   C  Balloon(1976/10)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
3.000000e+01 3.000000e+01 3.000000e+01 5.666667e-02 8.333333e-03 8.333333e-03 0.000000e+00 0.000000e+00 8.333333e-03 8.333333e-03
4.800000e+01 4.800000e+01 4.800000e+01 2.250000e-02 3.333333e-03 3.333333e-03 0.000000e+00 0.000000e+00 3.333333e-03 3.333333e-03
7.560000e+01 7.560000e+01 7.560000e+01 7.833333e-03 1.166667e-03 1.166667e-03 0.000000e+00 0.000000e+00 1.166667e-03 1.166667e-03
1.200000e+02 1.200000e+02 1.200000e+02 2.916667e-03 4.166667e-04 4.166667e-04 0.000000e+00 0.000000e+00 4.166667e-04 4.166667e-04
1.920000e+02 1.920000e+02 1.920000e+02 1.000000e-03 1.666667e-04 1.666667e-04 0.000000e+00 0.000000e+00 1.666667e-04 1.666667e-04
3.000000e+02 3.000000e+02 3.000000e+02 3.083333e-04 4.166667e-05 4.166667e-05 0.000000e+00 0.000000e+00 4.166667e-05 4.166667e-05
4.800000e+02 4.800000e+02 4.800000e+02 9.166667e-05 1.666667e-05 1.666667e-05 0.000000e+00 0.000000e+00 1.666667e-05 1.666667e-05
7.560000e+02 7.560000e+02 7.560000e+02 2.083333e-05 4.166667e-06 4.166667e-06 0.000000e+00 0.000000e+00 4.166667e-06 4.166667e-06
1.200000e+03 1.200000e+03 1.200000e+03 6.666666e-06 8.333333e-07 8.333333e-07 0.000000e+00 0.000000e+00 8.333333e-07 8.333333e-07
1.920000e+03 1.920000e+03 1.920000e+03 2.416667e-06 3.333333e-07 3.333333e-07 0.000000e+00 0.000000e+00 3.333333e-07 3.333333e-07
3.000000e+03 3.000000e+03 3.000000e+03 3.666667e-07 1.083333e-07 1.083333e-07 0.000000e+00 0.000000e+00 1.083333e-07 1.083333e-07
4.800000e+03 4.800000e+03 4.800000e+03 1.500000e-07 6.666667e-08 6.666667e-08 0.000000e+00 0.000000e+00 6.666667e-08 6.666667e-08
7.560000e+03 7.560000e+03 7.560000e+03 5.083333e-08 3.333333e-08 3.333333e-08 0.000000e+00 0.000000e+00 3.333333e-08 3.333333e-08
