#   C  Balloon(66/07+67/05-06-07)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.560000e+00 1.320000e+00 1.680000e+00 4.985000e-01 1.212500e-01 1.212500e-01 0.000000e+00 0.000000e+00 1.212500e-01 1.212500e-01
2.040000e+00 1.680000e+00 2.520000e+00 5.143333e-01 7.000000e-02 7.000000e-02 0.000000e+00 0.000000e+00 7.000000e-02 7.000000e-02
3.240000e+00 2.520000e+00 4.080000e+00 5.473333e-01 7.033333e-02 7.033333e-02 0.000000e+00 0.000000e+00 7.033333e-02 7.033333e-02
4.680000e+00 4.080000e+00 5.400000e+00 6.613333e-01 7.883333e-02 7.883333e-02 0.000000e+00 0.000000e+00 7.883333e-02 7.883333e-02
6.480000e+00 5.400000e+00 7.320000e+00 6.143334e-01 7.325000e-02 7.325000e-02 0.000000e+00 0.000000e+00 7.325000e-02 7.325000e-02
9.600000e+00 7.320000e+00 1.176000e+01 3.667500e-01 4.433333e-02 4.433333e-02 0.000000e+00 0.000000e+00 4.433333e-02 4.433333e-02
1.608000e+01 1.176000e+01 2.124000e+01 1.210833e-01 1.750000e-02 1.750000e-02 0.000000e+00 0.000000e+00 1.750000e-02 1.750000e-02
3.324000e+01 2.124000e+01 6.240000e+01 3.933333e-02 4.666667e-03 4.666667e-03 0.000000e+00 0.000000e+00 4.666667e-03 4.666667e-03
1.035600e+02 6.240000e+01 1.776000e+02 3.833333e-03 6.250000e-04 6.250000e-04 0.000000e+00 0.000000e+00 6.250000e-04 6.250000e-04
2.184000e+02 1.776000e+02 2.640000e+02 5.583333e-04 1.583333e-04 1.583333e-04 0.000000e+00 0.000000e+00 1.583333e-04 1.583333e-04
