#   C  HEAO3-C2(1979/10-1980/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
7.440000e+00 7.440000e+00 7.440000e+00 2.479400e-01 4.802667e-03 4.802667e-03 0.000000e+00 0.000000e+00 4.802667e-03 4.802667e-03
9.600000e+00 9.600000e+00 9.600000e+00 2.037233e-01 3.737600e-03 3.737600e-03 0.000000e+00 0.000000e+00 3.737600e-03 3.737600e-03
1.200000e+01 1.200000e+01 1.200000e+01 1.520900e-01 3.035750e-03 3.035750e-03 0.000000e+00 0.000000e+00 3.035750e-03 3.035750e-03
1.500000e+01 1.500000e+01 1.500000e+01 1.368767e-01 2.486342e-03 2.486342e-03 0.000000e+00 0.000000e+00 2.486342e-03 2.486342e-03
1.920000e+01 1.920000e+01 1.920000e+01 1.014083e-01 1.765500e-03 1.765500e-03 0.000000e+00 0.000000e+00 1.765500e-03 1.765500e-03
2.520000e+01 2.520000e+01 2.520000e+01 6.734958e-02 1.218375e-03 1.218375e-03 0.000000e+00 0.000000e+00 1.218375e-03 1.218375e-03
3.180000e+01 3.180000e+01 3.180000e+01 4.449117e-02 5.908725e-04 5.908725e-04 0.000000e+00 0.000000e+00 5.908725e-04 5.908725e-04
4.020000e+01 4.020000e+01 4.020000e+01 3.028117e-02 3.950333e-04 3.950333e-04 0.000000e+00 0.000000e+00 3.950333e-04 3.950333e-04
5.160000e+01 5.160000e+01 5.160000e+01 1.906300e-02 2.781633e-04 2.781633e-04 0.000000e+00 0.000000e+00 2.781633e-04 2.781633e-04
6.720000e+01 6.720000e+01 6.720000e+01 1.153900e-02 1.850050e-04 1.850050e-04 0.000000e+00 0.000000e+00 1.850050e-04 1.850050e-04
9.000000e+01 9.000000e+01 9.000000e+01 6.310850e-03 1.759933e-04 1.759933e-04 0.000000e+00 0.000000e+00 1.759933e-04 1.759933e-04
1.272000e+02 1.272000e+02 1.272000e+02 2.704108e-03 5.164975e-05 5.164975e-05 0.000000e+00 0.000000e+00 5.164975e-05 5.164975e-05
1.944000e+02 1.944000e+02 1.944000e+02 8.460584e-04 3.253683e-05 3.253683e-05 0.000000e+00 0.000000e+00 3.253683e-05 3.253683e-05
4.200000e+02 4.200000e+02 4.200000e+02 1.038375e-04 1.599508e-05 1.599508e-05 0.000000e+00 0.000000e+00 1.599508e-05 1.599508e-05
