#   C  OGO5(1968/03-1968/10)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.520000e-01 2.520000e-01 2.520000e-01 1.133333e-01 4.916666e-02 4.916666e-02 0.000000e+00 0.000000e+00 4.916666e-02 4.916666e-02
7.800000e-01 7.800000e-01 7.800000e-01 9.833333e-02 1.333333e-02 1.333333e-02 0.000000e+00 0.000000e+00 1.333333e-02 1.333333e-02
1.056000e+00 1.056000e+00 1.056000e+00 1.275000e-01 2.750000e-02 2.750000e-02 0.000000e+00 0.000000e+00 2.750000e-02 2.750000e-02
1.392000e+00 1.392000e+00 1.392000e+00 2.133333e-01 4.250000e-02 4.250000e-02 0.000000e+00 0.000000e+00 4.250000e-02 4.250000e-02
1.764000e+00 1.764000e+00 1.764000e+00 2.766667e-01 4.333333e-02 4.333333e-02 0.000000e+00 0.000000e+00 4.333333e-02 4.333333e-02
2.580000e+00 2.580000e+00 2.580000e+00 4.850000e-01 6.750000e-02 6.750000e-02 0.000000e+00 0.000000e+00 6.750000e-02 6.750000e-02
4.032000e+00 4.032000e+00 4.032000e+00 4.191667e-01 6.166667e-02 6.166667e-02 0.000000e+00 0.000000e+00 6.166667e-02 6.166667e-02
4.764000e+00 4.764000e+00 4.764000e+00 3.825000e-01 4.666667e-02 4.666667e-02 0.000000e+00 0.000000e+00 4.666667e-02 4.666667e-02
5.844000e+00 5.844000e+00 5.844000e+00 3.358334e-01 2.666667e-02 2.666667e-02 0.000000e+00 0.000000e+00 2.666667e-02 2.666667e-02
7.284000e+00 7.284000e+00 7.284000e+00 4.225000e-01 4.750000e-02 4.750000e-02 0.000000e+00 0.000000e+00 4.750000e-02 4.750000e-02
9.720000e+00 9.720000e+00 9.720000e+00 4.666667e-01 4.833333e-02 4.833333e-02 0.000000e+00 0.000000e+00 4.833333e-02 4.833333e-02
1.357200e+01 1.357200e+01 1.357200e+01 2.358333e-01 1.666667e-02 1.666667e-02 0.000000e+00 0.000000e+00 1.666667e-02 1.666667e-02
