#   C  PAMELA(2006/07-2008/03)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
5.880000e+00 5.280000e+00 6.960000e+00 4.383334e-01 6.666667e-03 6.666667e-03 2.166667e-02 2.166667e-02 2.266912e-02 2.266912e-02
7.800000e+00 6.960000e+00 9.120000e+00 3.558333e-01 4.166667e-03 4.166667e-03 1.750000e-02 1.750000e-02 1.798919e-02 1.798919e-02
1.020000e+01 9.120000e+00 1.200000e+01 2.750000e-01 3.333333e-03 3.333333e-03 1.333333e-02 1.333333e-02 1.374368e-02 1.374368e-02
1.356000e+01 1.200000e+01 1.560000e+01 2.041667e-01 2.500000e-03 2.500000e-03 1.000000e-02 1.000000e-02 1.030776e-02 1.030776e-02
1.800000e+01 1.560000e+01 2.052000e+01 1.343333e-01 1.583333e-03 1.583333e-03 6.500000e-03 6.500000e-03 6.690063e-03 6.690063e-03
2.328000e+01 2.052000e+01 2.688000e+01 8.808334e-02 1.083333e-03 1.083333e-03 4.250000e-03 4.250000e-03 4.385899e-03 4.385899e-03
6.073324e+00 5.309657e+00 6.956693e+00 4.398150e-01 6.564403e-03 6.564403e-03 2.188134e-02 2.188134e-02 2.284479e-02 2.284479e-02
3.036000e+01 2.688000e+01 3.516000e+01 5.583333e-02 7.500000e-04 7.500000e-04 2.666667e-03 2.666667e-03 2.770129e-03 2.770129e-03
7.867346e+00 6.956693e+00 9.100939e+00 3.561211e-01 4.117007e-03 4.117007e-03 1.646803e-02 1.646803e-02 1.697486e-02 1.697486e-02
1.031709e+01 9.100939e+00 1.192606e+01 2.757122e-01 3.317132e-03 3.317132e-03 1.326853e-02 1.326853e-02 1.367689e-02 1.367689e-02
4.008000e+01 3.516000e+01 4.608000e+01 3.325000e-02 5.000000e-04 5.000000e-04 1.666667e-03 1.666667e-03 1.740051e-03 1.740051e-03
1.351674e+01 1.192606e+01 1.562423e+01 2.042936e-01 2.429841e-03 2.429841e-03 9.906276e-03 9.906276e-03 1.019992e-02 1.019992e-02
5.232000e+01 4.608000e+01 6.036000e+01 1.933333e-02 3.333333e-04 3.333333e-04 1.000000e-03 1.000000e-03 1.054093e-03 1.054093e-03
1.776747e+01 1.562423e+01 2.044362e+01 1.344281e-01 1.626146e-03 1.626146e-03 6.504584e-03 6.504584e-03 6.704772e-03 6.704772e-03
2.332302e+01 2.044362e+01 2.686147e+01 8.808454e-02 1.057014e-03 1.057014e-03 4.228058e-03 4.228058e-03 4.358182e-03 4.358182e-03
6.876000e+01 6.036000e+01 7.920000e+01 1.091667e-02 1.666667e-04 1.666667e-04 5.833334e-04 5.833334e-04 6.066759e-04 6.066759e-04
3.054720e+01 2.686147e+01 3.518958e+01 5.587569e-02 6.919590e-04 6.919590e-04 2.767836e-03 2.767836e-03 2.853020e-03 2.853020e-03
8.988000e+01 7.920000e+01 1.038000e+02 6.100000e-03 1.166667e-04 1.166667e-04 3.166667e-04 3.166667e-04 3.374743e-04 3.374743e-04
4.009534e+01 3.518958e+01 4.608368e+01 3.330098e-02 5.123228e-04 5.123228e-04 1.707743e-03 1.707743e-03 1.782936e-03 1.782936e-03
1.177200e+02 1.038000e+02 1.356000e+02 3.041667e-03 6.666666e-05 6.666666e-05 1.583333e-04 1.583333e-04 1.717960e-04 1.717960e-04
5.221533e+01 4.608368e+01 6.049903e+01 1.935323e-02 3.047753e-04 3.047753e-04 9.820538e-04 9.820538e-04 1.028260e-03 1.028260e-03
1.548000e+02 1.356000e+02 1.788000e+02 1.508333e-03 4.166667e-05 4.166667e-05 8.333334e-05 8.333334e-05 9.316951e-05 9.316951e-05
6.880698e+01 6.049903e+01 7.951356e+01 1.092387e-02 1.851503e-04 1.851503e-04 5.554508e-04 5.554508e-04 5.854966e-04 5.854966e-04
9.023995e+01 7.951356e+01 1.039659e+02 6.103854e-03 1.173818e-04 1.173818e-04 3.186078e-04 3.186078e-04 3.395430e-04 3.395430e-04
2.028000e+02 1.788000e+02 2.340000e+02 7.500000e-04 2.500000e-05 2.500000e-05 4.166667e-05 4.166667e-05 4.859127e-05 4.859127e-05
1.177077e+02 1.039659e+02 1.362464e+02 3.044806e-03 6.691881e-05 6.691881e-05 1.672970e-04 1.672970e-04 1.801844e-04 1.801844e-04
2.652000e+02 2.340000e+02 3.060000e+02 3.833333e-04 1.666667e-05 1.666667e-05 2.500000e-05 2.500000e-05 3.004626e-05 3.004626e-05
1.547989e+02 1.362464e+02 1.781523e+02 1.520118e-03 5.011378e-05 5.011378e-05 8.352296e-05 8.352296e-05 9.740367e-05 9.740367e-05
3.912000e+02 3.060000e+02 5.256000e+02 1.391667e-04 5.833333e-06 5.833333e-06 5.833333e-06 5.833333e-06 8.249579e-06 8.249579e-06
2.027143e+02 1.781523e+02 2.338771e+02 7.526952e-04 2.670315e-05 2.670315e-05 4.005473e-05 4.005473e-05 4.813979e-05 4.813979e-05
2.656478e+02 2.338771e+02 3.064188e+02 3.869823e-04 1.668027e-05 1.668027e-05 2.168435e-05 2.168435e-05 2.735768e-05 2.735768e-05
6.684000e+02 5.256000e+02 9.036000e+02 3.166667e-05 2.500000e-06 2.500000e-06 1.666667e-06 1.666667e-06 3.004626e-06 3.004626e-06
