#   Ca  HEAO3-C2(1979/10-1980/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
3.200000e+01 3.200000e+01 3.200000e+01 1.212750e-03 6.361975e-05 6.361975e-05 0.000000e+00 0.000000e+00 6.361975e-05 6.361975e-05
4.000000e+01 4.000000e+01 4.000000e+01 9.798750e-04 4.929250e-05 4.929250e-05 0.000000e+00 0.000000e+00 4.929250e-05 4.929250e-05
5.000000e+01 5.000000e+01 5.000000e+01 8.798400e-04 3.686500e-05 3.686500e-05 0.000000e+00 0.000000e+00 3.686500e-05 3.686500e-05
6.400000e+01 6.400000e+01 6.400000e+01 6.082325e-04 2.156907e-05 2.156907e-05 0.000000e+00 0.000000e+00 2.156907e-05 2.156907e-05
8.400000e+01 8.400000e+01 8.400000e+01 3.727350e-04 1.299947e-05 1.299947e-05 0.000000e+00 0.000000e+00 1.299947e-05 1.299947e-05
1.060000e+02 1.060000e+02 1.060000e+02 2.765200e-04 9.302225e-06 9.302225e-06 0.000000e+00 0.000000e+00 9.302225e-06 9.302225e-06
1.340000e+02 1.340000e+02 1.340000e+02 1.641500e-04 5.393725e-06 5.393725e-06 0.000000e+00 0.000000e+00 5.393725e-06 5.393725e-06
1.720000e+02 1.720000e+02 1.720000e+02 1.067000e-04 3.606525e-06 3.606525e-06 0.000000e+00 0.000000e+00 3.606525e-06 3.606525e-06
2.240000e+02 2.240000e+02 2.240000e+02 6.336000e-05 2.200455e-06 2.200455e-06 0.000000e+00 0.000000e+00 2.200455e-06 2.200455e-06
3.000000e+02 3.000000e+02 3.000000e+02 3.358000e-05 1.295785e-06 1.295785e-06 0.000000e+00 0.000000e+00 1.295785e-06 1.295785e-06
4.240000e+02 4.240000e+02 4.240000e+02 1.488725e-05 5.632525e-07 5.632525e-07 0.000000e+00 0.000000e+00 5.632525e-07 5.632525e-07
6.480000e+02 6.480000e+02 6.480000e+02 4.823000e-06 2.598725e-07 2.598725e-07 0.000000e+00 0.000000e+00 2.598725e-07 2.598725e-07
1.400000e+03 1.400000e+03 1.400000e+03 6.077500e-07 9.704775e-08 9.704775e-08 0.000000e+00 0.000000e+00 9.704775e-08 9.704775e-08
