#   Ca  Balloon(1987/05+1988/05+1989/05+1991/05)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.004000e+02 1.592000e+02 2.524000e+02 6.900000e-05 1.600000e-05 1.600000e-05 0.000000e+00 0.000000e+00 1.600000e-05 1.600000e-05
3.176000e+02 2.524000e+02 4.000000e+02 1.547500e-05 4.650000e-06 4.650000e-06 0.000000e+00 0.000000e+00 4.650000e-06 4.650000e-06
5.040000e+02 4.000000e+02 6.360000e+02 9.200000e-06 2.302500e-06 2.302500e-06 0.000000e+00 0.000000e+00 2.302500e-06 2.302500e-06
7.120000e+02 6.360000e+02 8.000000e+02 3.950000e-06 1.712500e-06 1.712500e-06 0.000000e+00 0.000000e+00 1.712500e-06 1.712500e-06
8.960000e+02 8.000000e+02 1.004000e+03 1.872500e-06 4.200000e-07 4.200000e-07 0.000000e+00 0.000000e+00 4.200000e-07 4.200000e-07
1.128000e+03 1.004000e+03 1.264000e+03 8.325000e-07 2.375000e-07 2.375000e-07 0.000000e+00 0.000000e+00 2.375000e-07 2.375000e-07
1.420000e+03 1.264000e+03 1.592000e+03 6.700000e-07 1.870000e-07 1.870000e-07 0.000000e+00 0.000000e+00 1.870000e-07 1.870000e-07
1.788000e+03 1.592000e+03 2.004000e+03 3.500000e-07 1.162500e-07 1.162500e-07 0.000000e+00 0.000000e+00 1.162500e-07 1.162500e-07
2.248000e+03 2.004000e+03 2.524000e+03 1.782500e-07 7.275000e-08 7.275000e-08 0.000000e+00 0.000000e+00 7.275000e-08 7.275000e-08
2.832000e+03 2.524000e+03 3.176000e+03 1.607500e-07 5.925000e-08 5.925000e-08 0.000000e+00 0.000000e+00 5.925000e-08 5.925000e-08
3.564000e+03 3.176000e+03 4.000000e+03 7.100000e-08 3.525000e-08 3.525000e-08 0.000000e+00 0.000000e+00 3.525000e-08 3.525000e-08
5.040000e+03 4.000000e+03 6.360000e+03 1.807500e-08 1.035000e-08 1.035000e-08 0.000000e+00 0.000000e+00 1.035000e-08 1.035000e-08
1.420000e+04 6.360000e+03 3.176000e+04 5.350000e-10 5.350000e-10 5.350000e-10 0.000000e+00 0.000000e+00 5.350000e-10 5.350000e-10
