#   Fe  Balloon(1987/05+1988/05+1989/05+1991/05)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.503200e+02 2.228800e+02 2.805600e+02 4.696429e-04 6.357143e-05 6.357143e-05 0.000000e+00 0.000000e+00 6.357143e-05 6.357143e-05
3.147200e+02 2.805600e+02 3.533600e+02 2.857143e-04 3.803571e-05 3.803571e-05 0.000000e+00 0.000000e+00 3.803571e-05 3.803571e-05
3.964800e+02 3.533600e+02 4.446400e+02 1.946429e-04 2.410714e-05 2.410714e-05 0.000000e+00 0.000000e+00 2.410714e-05 2.410714e-05
4.989600e+02 4.446400e+02 5.600000e+02 1.069643e-04 1.432143e-05 1.432143e-05 0.000000e+00 0.000000e+00 1.432143e-05 1.432143e-05
6.272000e+02 5.600000e+02 7.056000e+02 5.714286e-05 8.464286e-06 8.464286e-06 0.000000e+00 0.000000e+00 8.464286e-06 8.464286e-06
7.952000e+02 7.056000e+02 8.904000e+02 3.250000e-05 5.214286e-06 5.214286e-06 0.000000e+00 0.000000e+00 5.214286e-06 5.214286e-06
9.968000e+02 8.904000e+02 1.120000e+03 2.000000e-05 3.464286e-06 3.464286e-06 0.000000e+00 0.000000e+00 3.464286e-06 3.464286e-06
1.254400e+03 1.120000e+03 1.405600e+03 1.157143e-05 2.250000e-06 2.250000e-06 0.000000e+00 0.000000e+00 2.250000e-06 2.250000e-06
1.579200e+03 1.405600e+03 1.769600e+03 5.339286e-06 1.357143e-06 1.357143e-06 0.000000e+00 0.000000e+00 1.357143e-06 1.357143e-06
1.988000e+03 1.769600e+03 2.228800e+03 3.857143e-06 9.767857e-07 9.767857e-07 0.000000e+00 0.000000e+00 9.767857e-07 9.767857e-07
2.503200e+03 2.228800e+03 2.805600e+03 2.250000e-06 6.428572e-07 6.428572e-07 0.000000e+00 0.000000e+00 6.428572e-07 6.428572e-07
3.147200e+03 2.805600e+03 3.533600e+03 1.025000e-06 3.839286e-07 3.839286e-07 0.000000e+00 0.000000e+00 3.839286e-07 3.839286e-07
3.964800e+03 3.533600e+03 4.446400e+03 6.571429e-07 1.228571e-07 1.228571e-07 0.000000e+00 0.000000e+00 1.228571e-07 1.228571e-07
4.989600e+03 4.446400e+03 5.600000e+03 3.928571e-07 8.339286e-08 8.339286e-08 0.000000e+00 0.000000e+00 8.339286e-08 8.339286e-08
6.272000e+03 5.600000e+03 7.056000e+03 1.839286e-07 5.089286e-08 5.089286e-08 0.000000e+00 0.000000e+00 5.089286e-08 5.089286e-08
7.952000e+03 7.056000e+03 8.904000e+03 1.003571e-07 3.375000e-08 3.375000e-08 0.000000e+00 0.000000e+00 3.375000e-08 3.375000e-08
9.968000e+03 8.904000e+03 1.120000e+04 4.410714e-08 1.982143e-08 1.982143e-08 0.000000e+00 0.000000e+00 1.982143e-08 1.982143e-08
1.405600e+04 1.120000e+04 1.769600e+04 2.446428e-08 8.553571e-09 8.553571e-09 0.000000e+00 0.000000e+00 8.553571e-09 8.553571e-09
2.228800e+04 1.769600e+04 2.805600e+04 6.892857e-09 3.446429e-09 3.446429e-09 0.000000e+00 0.000000e+00 3.446429e-09 3.446429e-09
3.533600e+04 2.805600e+04 4.446400e+04 2.482143e-09 1.751786e-09 1.751786e-09 0.000000e+00 0.000000e+00 1.751786e-09 1.751786e-09
6.272000e+04 4.446400e+04 8.904000e+04 4.607143e-10 4.607143e-10 4.607143e-10 0.000000e+00 0.000000e+00 4.607143e-10 4.607143e-10
