#   Fe  Balloon(1989/05+1991/05)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.988000e+02 1.988000e+02 1.988000e+02 5.035714e-04 7.196428e-05 7.196428e-05 0.000000e+00 0.000000e+00 7.196428e-05 7.196428e-05
2.805600e+02 2.805600e+02 2.805600e+02 3.696429e-04 2.803571e-05 2.803571e-05 0.000000e+00 0.000000e+00 2.803571e-05 2.803571e-05
4.446400e+02 4.446400e+02 4.446400e+02 1.705357e-04 1.183929e-05 1.183929e-05 0.000000e+00 0.000000e+00 1.183929e-05 1.183929e-05
6.283200e+02 6.283200e+02 6.283200e+02 7.357143e-05 8.071429e-06 8.071429e-06 0.000000e+00 0.000000e+00 8.071429e-06 8.071429e-06
7.912800e+02 7.912800e+02 7.912800e+02 4.000000e-05 4.964286e-06 4.964286e-06 0.000000e+00 0.000000e+00 4.964286e-06 4.964286e-06
1.117200e+03 1.117200e+03 1.117200e+03 1.875000e-05 1.651786e-06 1.651786e-06 0.000000e+00 0.000000e+00 1.651786e-06 1.651786e-06
1.578080e+03 1.578080e+03 1.578080e+03 6.625000e-06 9.107143e-07 9.107143e-07 0.000000e+00 0.000000e+00 9.107143e-07 9.107143e-07
1.986880e+03 1.986880e+03 1.986880e+03 4.125000e-06 6.446428e-07 6.446428e-07 0.000000e+00 0.000000e+00 6.446428e-07 6.446428e-07
2.501520e+03 2.501520e+03 2.501520e+03 2.482143e-06 4.375000e-07 4.375000e-07 0.000000e+00 0.000000e+00 4.375000e-07 4.375000e-07
3.149440e+03 3.149440e+03 3.149440e+03 1.217857e-06 2.660714e-07 2.660714e-07 0.000000e+00 0.000000e+00 2.660714e-07 2.660714e-07
3.964800e+03 3.964800e+03 3.964800e+03 7.107143e-07 1.035714e-07 1.035714e-07 0.000000e+00 0.000000e+00 1.035714e-07 1.035714e-07
4.990720e+03 4.990720e+03 4.990720e+03 4.410714e-07 7.267857e-08 7.267857e-08 0.000000e+00 0.000000e+00 7.267857e-08 7.267857e-08
6.283200e+03 6.283200e+03 6.283200e+03 2.178571e-07 4.553572e-08 4.553572e-08 0.000000e+00 0.000000e+00 4.553572e-08 4.553572e-08
7.912800e+03 7.912800e+03 7.912800e+03 9.750000e-08 2.696428e-08 2.696428e-08 0.000000e+00 0.000000e+00 2.696428e-08 2.696428e-08
9.956800e+03 9.956800e+03 9.956800e+03 5.357143e-08 1.726786e-08 2.375000e-08 0.000000e+00 0.000000e+00 1.726786e-08 2.375000e-08
1.406720e+04 1.406720e+04 1.406720e+04 2.732143e-08 7.553571e-09 7.553571e-09 0.000000e+00 0.000000e+00 7.553571e-09 7.553571e-09
2.229416e+04 2.229416e+04 2.229416e+04 7.928571e-09 3.142857e-09 4.732143e-09 0.000000e+00 0.000000e+00 3.142857e-09 4.732143e-09
3.533600e+04 3.533600e+04 3.533600e+04 2.500000e-09 1.358929e-09 2.428571e-09 0.000000e+00 0.000000e+00 1.358929e-09 2.428571e-09
6.283200e+04 6.283200e+04 6.283200e+04 6.178571e-10 3.982143e-10 8.160714e-10 0.000000e+00 0.000000e+00 3.982143e-10 8.160714e-10
