#   Fe  HEAO3-C2(1979/10-1980/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.480000e+01 4.480000e+01 4.480000e+01 3.413821e-03 1.089336e-04 1.089336e-04 0.000000e+00 0.000000e+00 1.089336e-04 1.089336e-04
5.600000e+01 5.600000e+01 5.600000e+01 2.844518e-03 8.802679e-05 8.802679e-05 0.000000e+00 0.000000e+00 8.802679e-05 8.802679e-05
7.000000e+01 7.000000e+01 7.000000e+01 2.720625e-03 7.021661e-05 7.021661e-05 0.000000e+00 0.000000e+00 7.021661e-05 7.021661e-05
8.960000e+01 8.960000e+01 8.960000e+01 1.971589e-03 4.372768e-05 4.372768e-05 0.000000e+00 0.000000e+00 4.372768e-05 4.372768e-05
1.176000e+02 1.176000e+02 1.176000e+02 1.304304e-03 3.023018e-05 3.023018e-05 0.000000e+00 0.000000e+00 3.023018e-05 3.023018e-05
1.484000e+02 1.484000e+02 1.484000e+02 9.362000e-04 1.745754e-05 1.745754e-05 0.000000e+00 0.000000e+00 1.745754e-05 1.745754e-05
1.876000e+02 1.876000e+02 1.876000e+02 6.287232e-04 1.124713e-05 1.124713e-05 0.000000e+00 0.000000e+00 1.124713e-05 1.124713e-05
2.408000e+02 2.408000e+02 2.408000e+02 4.278214e-04 8.017768e-06 8.017768e-06 0.000000e+00 0.000000e+00 8.017768e-06 8.017768e-06
3.136000e+02 3.136000e+02 3.136000e+02 2.654143e-04 5.202107e-06 5.202107e-06 0.000000e+00 0.000000e+00 5.202107e-06 5.202107e-06
4.200000e+02 4.200000e+02 4.200000e+02 1.397429e-04 4.241304e-06 4.241304e-06 0.000000e+00 0.000000e+00 4.241304e-06 4.241304e-06
5.936000e+02 5.936000e+02 5.936000e+02 6.462500e-05 1.471609e-06 1.471609e-06 0.000000e+00 0.000000e+00 1.471609e-06 1.471609e-06
9.072000e+02 9.072000e+02 9.072000e+02 2.377429e-05 9.665446e-07 9.665446e-07 0.000000e+00 0.000000e+00 9.665446e-07 9.665446e-07
1.960000e+03 1.960000e+03 1.960000e+03 3.145536e-06 4.868643e-07 4.868643e-07 0.000000e+00 0.000000e+00 4.868643e-07 4.868643e-07
