#   Fe  TRACER03(2003/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
5.040000e+01 4.480000e+01 5.600000e+01 3.946429e-03 8.928571e-05 8.928571e-05 0.000000e+00 0.000000e+00 8.928571e-05 8.928571e-05
6.160000e+01 5.600000e+01 7.280000e+01 2.946429e-03 7.142857e-05 7.142857e-05 0.000000e+00 0.000000e+00 7.142857e-05 7.142857e-05
8.400000e+01 7.280000e+01 1.008000e+02 1.821429e-03 3.571429e-05 3.571429e-05 0.000000e+00 0.000000e+00 3.571429e-05 3.571429e-05
1.120000e+02 1.008000e+02 1.288000e+02 1.107143e-03 3.571429e-05 3.571429e-05 0.000000e+00 0.000000e+00 3.571429e-05 3.571429e-05
8.960000e+02 6.720000e+02 1.288000e+03 2.178571e-05 3.571428e-07 3.571428e-07 0.000000e+00 0.000000e+00 3.571428e-07 3.571428e-07
1.680000e+03 1.288000e+03 2.296000e+03 5.000000e-06 7.142857e-08 7.142857e-08 0.000000e+00 0.000000e+00 7.142857e-08 7.142857e-08
3.360000e+03 2.296000e+03 5.152000e+03 8.392857e-07 1.785714e-08 1.785714e-08 0.000000e+00 0.000000e+00 1.785714e-08 1.785714e-08
1.024800e+04 5.152000e+03 2.307200e+04 3.392857e-08 1.785714e-09 1.785714e-09 0.000000e+00 0.000000e+00 1.785714e-09 1.785714e-09
3.169600e+04 2.962400e+04 3.393600e+04 2.321429e-09 7.142857e-10 1.071429e-09 0.000000e+00 0.000000e+00 7.142857e-10 1.071429e-09
4.104800e+04 3.393600e+04 5.012000e+04 9.285714e-10 2.678571e-10 2.678571e-10 0.000000e+00 0.000000e+00 2.678571e-10 2.678571e-10
7.957600e+04 5.012000e+04 5.600000e+05 1.321429e-10 3.928571e-11 3.928571e-11 0.000000e+00 0.000000e+00 3.928571e-11 3.928571e-11
