#   H  LEAP(1987/08)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.120000e-01 2.120000e-01 2.120000e-01 1.929000e+03 1.865400e+02 1.865400e+02 0.000000e+00 0.000000e+00 1.865400e+02 1.865400e+02
2.960000e-01 2.960000e-01 2.960000e-01 2.243000e+03 2.963200e+02 2.963200e+02 0.000000e+00 0.000000e+00 2.963200e+02 2.963200e+02
4.200000e-01 4.200000e-01 4.200000e-01 2.129000e+03 2.278300e+02 2.278300e+02 0.000000e+00 0.000000e+00 2.278300e+02 2.278300e+02
5.980000e-01 5.980000e-01 5.980000e-01 1.835000e+03 1.773900e+02 1.773900e+02 0.000000e+00 0.000000e+00 1.773900e+02 1.773900e+02
8.310000e-01 8.310000e-01 8.310000e-01 1.454000e+03 1.375400e+02 1.375400e+02 0.000000e+00 0.000000e+00 1.375400e+02 1.375400e+02
1.186000e+00 1.186000e+00 1.186000e+00 1.000000e+03 8.230100e+01 8.230100e+01 0.000000e+00 0.000000e+00 8.230100e+01 8.230100e+01
1.668000e+00 1.668000e+00 1.668000e+00 6.653000e+02 5.473100e+01 5.473100e+01 0.000000e+00 0.000000e+00 5.473100e+01 5.473100e+01
2.354000e+00 2.354000e+00 2.354000e+00 3.907000e+02 3.695600e+01 3.695600e+01 0.000000e+00 0.000000e+00 3.695600e+01 3.695600e+01
3.319000e+00 3.319000e+00 3.319000e+00 2.132000e+02 2.416100e+01 2.416100e+01 0.000000e+00 0.000000e+00 2.416100e+01 2.416100e+01
4.179000e+00 4.179000e+00 4.179000e+00 1.387000e+02 1.483100e+01 1.483100e+01 0.000000e+00 0.000000e+00 1.483100e+01 1.483100e+01
5.233000e+00 5.233000e+00 5.233000e+00 8.576000e+01 8.107800e+00 8.107800e+00 0.000000e+00 0.000000e+00 8.107800e+00 8.107800e+00
7.230000e+00 7.230000e+00 7.230000e+00 4.253000e+01 4.021400e+00 4.021400e+00 0.000000e+00 0.000000e+00 4.021400e+00 4.021400e+00
9.747000e+00 9.747000e+00 9.747000e+00 1.993000e+01 2.007900e+00 2.007900e+00 0.000000e+00 0.000000e+00 2.007900e+00 2.007900e+00
1.271000e+01 1.271000e+01 1.271000e+01 1.034000e+01 8.512000e-01 8.512000e-01 0.000000e+00 0.000000e+00 8.512000e-01 8.512000e-01
1.812000e+01 1.812000e+01 1.812000e+01 4.138000e+00 2.902000e-01 2.902000e-01 0.000000e+00 0.000000e+00 2.902000e-01 2.902000e-01
2.257000e+01 2.257000e+01 2.257000e+01 2.350000e+00 2.223000e-01 2.223000e-01 0.000000e+00 0.000000e+00 2.223000e-01 2.223000e-01
2.584000e+01 2.584000e+01 2.584000e+01 1.665000e+00 1.678000e-01 1.678000e-01 0.000000e+00 0.000000e+00 1.678000e-01 1.678000e-01
3.013000e+01 3.013000e+01 3.013000e+01 1.101000e+00 1.179000e-01 1.179000e-01 0.000000e+00 0.000000e+00 1.179000e-01 1.179000e-01
3.545000e+01 3.545000e+01 3.545000e+01 6.890000e-01 6.950000e-02 6.950000e-02 0.000000e+00 0.000000e+00 6.950000e-02 6.950000e-02
4.393000e+01 4.393000e+01 4.393000e+01 3.930000e-01 2.760000e-02 2.760000e-02 0.000000e+00 0.000000e+00 2.760000e-02 2.760000e-02
5.704000e+01 5.704000e+01 5.704000e+01 1.970000e-01 2.110000e-02 2.110000e-02 0.000000e+00 0.000000e+00 2.110000e-02 2.110000e-02
8.284000e+01 8.284000e+01 8.284000e+01 7.600000e-02 8.100000e-03 8.100000e-03 0.000000e+00 0.000000e+00 8.100000e-03 8.100000e-03
