#   H  MASS91(1991/09)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.770000e+00 2.550000e+00 2.950000e+00 2.310000e+01 4.800000e-01 4.800000e-01 0.000000e+00 0.000000e+00 4.800000e-01 4.800000e-01
3.210000e+00 2.950000e+00 3.410000e+00 5.184000e+01 7.100000e-01 7.100000e-01 0.000000e+00 0.000000e+00 7.100000e-01 7.100000e-01
3.680000e+00 3.410000e+00 3.930000e+00 8.690000e+01 9.200000e-01 9.200000e-01 0.000000e+00 0.000000e+00 9.200000e-01 9.200000e-01
4.220000e+00 3.930000e+00 4.520000e+00 8.346000e+01 8.500000e-01 8.500000e-01 0.000000e+00 0.000000e+00 8.500000e-01 8.500000e-01
4.850000e+00 4.520000e+00 5.190000e+00 6.766000e+01 7.200000e-01 7.200000e-01 0.000000e+00 0.000000e+00 7.200000e-01 7.200000e-01
5.560000e+00 5.190000e+00 5.950000e+00 5.480000e+01 6.000000e-01 6.000000e-01 0.000000e+00 0.000000e+00 6.000000e-01 6.000000e-01
6.360000e+00 5.950000e+00 6.810000e+00 4.204000e+01 4.800000e-01 4.800000e-01 0.000000e+00 0.000000e+00 4.800000e-01 4.800000e-01
7.280000e+00 6.810000e+00 7.780000e+00 3.283000e+01 4.000000e-01 4.000000e-01 0.000000e+00 0.000000e+00 4.000000e-01 4.000000e-01
8.310000e+00 7.780000e+00 8.890000e+00 2.490000e+01 3.200000e-01 3.200000e-01 0.000000e+00 0.000000e+00 3.200000e-01 3.200000e-01
9.490000e+00 8.890000e+00 1.010000e+01 1.918000e+01 2.600000e-01 2.600000e-01 0.000000e+00 0.000000e+00 2.600000e-01 2.600000e-01
1.080000e+01 1.010000e+01 1.160000e+01 1.390000e+01 2.100000e-01 2.100000e-01 0.000000e+00 0.000000e+00 2.100000e-01 2.100000e-01
1.230000e+01 1.160000e+01 1.320000e+01 1.066000e+01 1.700000e-01 1.700000e-01 0.000000e+00 0.000000e+00 1.700000e-01 1.700000e-01
1.410000e+01 1.320000e+01 1.510000e+01 7.630000e+00 1.300000e-01 1.300000e-01 0.000000e+00 0.000000e+00 1.300000e-01 1.300000e-01
1.610000e+01 1.510000e+01 1.720000e+01 5.520000e+00 1.000000e-01 1.000000e-01 0.000000e+00 0.000000e+00 1.000000e-01 1.000000e-01
1.830000e+01 1.720000e+01 1.970000e+01 3.890000e+00 8.000000e-02 8.000000e-02 0.000000e+00 0.000000e+00 8.000000e-02 8.000000e-02
2.100000e+01 1.970000e+01 2.250000e+01 2.790000e+00 6.000000e-02 6.000000e-02 0.000000e+00 0.000000e+00 6.000000e-02 6.000000e-02
2.400000e+01 2.250000e+01 2.570000e+01 1.950000e+00 5.000000e-02 5.000000e-02 0.000000e+00 0.000000e+00 5.000000e-02 5.000000e-02
2.750000e+01 2.570000e+01 2.950000e+01 1.400000e+00 4.000000e-02 4.000000e-02 0.000000e+00 0.000000e+00 4.000000e-02 4.000000e-02
3.160000e+01 2.950000e+01 3.390000e+01 9.610000e-01 2.900000e-02 2.900000e-02 0.000000e+00 0.000000e+00 2.900000e-02 2.900000e-02
3.630000e+01 3.390000e+01 3.900000e+01 6.520000e-01 2.200000e-02 2.200000e-02 0.000000e+00 0.000000e+00 2.200000e-02 2.200000e-02
4.480000e+01 3.900000e+01 5.220000e+01 3.600000e-01 1.000000e-02 1.000000e-02 0.000000e+00 0.000000e+00 1.000000e-02 1.000000e-02
6.030000e+01 5.220000e+01 7.100000e+01 1.670000e-01 6.000000e-03 6.000000e-03 0.000000e+00 0.000000e+00 6.000000e-03 6.000000e-03
8.300000e+01 7.100000e+01 9.910000e+01 7.200000e-02 3.000000e-03 3.000000e-03 0.000000e+00 0.000000e+00 3.000000e-03 3.000000e-03
