#   H  PAMELA(2007/01-2007/02)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
8.806900e-02 8.200000e-02 9.500000e-02 7.409660e+02 3.045150e+01 3.045150e+01 7.550340e+01 6.360490e+01 8.141288e+01 7.051863e+01
9.918300e-02 9.500000e-02 1.050000e-01 7.220470e+02 3.400610e+01 3.400610e+01 7.044130e+01 6.114850e+01 7.822015e+01 6.996823e+01
1.082550e-01 1.000000e-01 1.100000e-01 8.060330e+02 2.822460e+01 2.822460e+01 7.606290e+01 6.757050e+01 8.113071e+01 7.322841e+01
1.181120e-01 1.100000e-01 1.200000e-01 8.932140e+02 3.239310e+01 3.239310e+01 8.151490e+01 7.411660e+01 8.771540e+01 8.088624e+01
1.288150e-01 1.200000e-01 1.300000e-01 9.630630e+02 2.888740e+01 2.888740e+01 8.502500e+01 7.909360e+01 8.979829e+01 8.420380e+01
1.404290e-01 1.300000e-01 1.500000e-01 1.038220e+03 2.816000e+01 2.816000e+01 8.951470e+01 8.438690e+01 9.383958e+01 8.896142e+01
1.530210e-01 1.500000e-01 1.600000e-01 1.071330e+03 2.712560e+01 2.712560e+01 9.050560e+01 8.617460e+01 9.448313e+01 9.034301e+01
1.666640e-01 1.600000e-01 1.700000e-01 1.071810e+03 2.544510e+01 2.544510e+01 8.872630e+01 8.531320e+01 9.230281e+01 8.902694e+01
1.814310e-01 1.700000e-01 1.900000e-01 1.131140e+03 2.429620e+01 2.429620e+01 9.178380e+01 8.909020e+01 9.494510e+01 9.234375e+01
1.974030e-01 1.900000e-01 2.100000e-01 1.180240e+03 2.290360e+01 2.290360e+01 9.392610e+01 9.197530e+01 9.667827e+01 9.478413e+01
2.146600e-01 2.100000e-01 2.200000e-01 1.192020e+03 2.126060e+01 2.126060e+01 9.342340e+01 9.190620e+01 9.581203e+01 9.433325e+01
2.332910e-01 2.200000e-01 2.400000e-01 1.249460e+03 2.095900e+01 2.095900e+01 9.647260e+01 9.530540e+01 9.872306e+01 9.758278e+01
2.533840e-01 2.400000e-01 2.600000e-01 1.313590e+03 2.062310e+01 2.062310e+01 9.994980e+01 9.912030e+01 1.020553e+02 1.012430e+02
2.750340e-01 2.600000e-01 2.900000e-01 1.337150e+03 1.925130e+01 1.925130e+01 1.004600e+02 9.980790e+01 1.022879e+02 1.016476e+02
2.983360e-01 2.900000e-01 3.100000e-01 1.359970e+03 1.865740e+01 1.865740e+01 1.008990e+02 1.004090e+02 1.026095e+02 1.021277e+02
3.233920e-01 3.100000e-01 3.400000e-01 1.406460e+03 1.817000e+01 1.817000e+01 1.030540e+02 1.027070e+02 1.046436e+02 1.043019e+02
