#   1H  PAMELA-CALO(2006/07-2007/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.387470e-01 2.280000e-01 2.500000e-01 1.421000e+03 6.000000e+00 6.000000e+00 5.500000e+01 5.500000e+01 5.532630e+01 5.532630e+01
2.617250e-01 2.500000e-01 2.740000e-01 1.474000e+03 5.000000e+00 5.000000e+00 5.700000e+01 5.700000e+01 5.721888e+01 5.721888e+01
2.867050e-01 2.740000e-01 3.000000e-01 1.504000e+03 5.000000e+00 5.000000e+00 5.800000e+01 5.800000e+01 5.821512e+01 5.821512e+01
3.141660e-01 3.000000e-01 3.290000e-01 1.528000e+03 5.000000e+00 5.000000e+00 5.800000e+01 5.800000e+01 5.821512e+01 5.821512e+01
3.446290e-01 3.290000e-01 3.610000e-01 1.528000e+03 4.000000e+00 4.000000e+00 5.800000e+01 5.800000e+01 5.813777e+01 5.813777e+01
3.776180e-01 3.610000e-01 3.950000e-01 1.534000e+03 4.000000e+00 4.000000e+00 5.800000e+01 5.800000e+01 5.813777e+01 5.813777e+01
4.135640e-01 3.950000e-01 4.330000e-01 1.513000e+03 4.000000e+00 4.000000e+00 5.700000e+01 5.700000e+01 5.714018e+01 5.714018e+01
4.535140e-01 4.330000e-01 4.750000e-01 1.498000e+03 3.000000e+00 3.000000e+00 5.600000e+01 5.600000e+01 5.608030e+01 5.608030e+01
4.969910e-01 4.750000e-01 5.200000e-01 1.483000e+03 3.000000e+00 3.000000e+00 5.600000e+01 5.600000e+01 5.608030e+01 5.608030e+01
5.444260e-01 5.200000e-01 5.700000e-01 1.441000e+03 3.000000e+00 3.000000e+00 5.400000e+01 5.400000e+01 5.408327e+01 5.408327e+01
5.968670e-01 5.700000e-01 6.250000e-01 1.386000e+03 3.000000e+00 3.000000e+00 5.200000e+01 5.200000e+01 5.208647e+01 5.208647e+01
6.543130e-01 6.250000e-01 6.850000e-01 1.314000e+03 2.000000e+00 2.000000e+00 4.900000e+01 4.900000e+01 4.904080e+01 4.904080e+01
7.167640e-01 6.850000e-01 7.500000e-01 1.248000e+03 2.000000e+00 2.000000e+00 4.700000e+01 4.700000e+01 4.704253e+01 4.704253e+01
7.851750e-01 7.500000e-01 8.220000e-01 1.179000e+03 2.000000e+00 2.000000e+00 4.400000e+01 4.400000e+01 4.404543e+01 4.404543e+01
8.605940e-01 8.220000e-01 9.010000e-01 1.097000e+03 2.000000e+00 2.000000e+00 4.100000e+01 4.100000e+01 4.104875e+01 4.104875e+01
9.434980e-01 9.010000e-01 9.880000e-01 1.014400e+03 1.800000e+00 1.800000e+00 3.790000e+01 3.790000e+01 3.794272e+01 3.794272e+01
1.033930e+00 9.880000e-01 1.082000e+00 9.216000e+02 1.600000e+00 1.600000e+00 3.430000e+01 3.430000e+01 3.433730e+01 3.433730e+01
