#   1H  PAMELA-TOF(2006/07-2007/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.258570e-01 1.200000e-01 1.320000e-01 1.003000e+03 1.500000e+01 1.500000e+01 4.300000e+01 4.300000e+01 4.554119e+01 4.554119e+01
1.378700e-01 1.320000e-01 1.440000e-01 1.062000e+03 1.400000e+01 1.400000e+01 4.400000e+01 4.400000e+01 4.617359e+01 4.617359e+01
1.508380e-01 1.440000e-01 1.580000e-01 1.128000e+03 1.300000e+01 1.300000e+01 4.500000e+01 4.500000e+01 4.684015e+01 4.684015e+01
1.653300e-01 1.580000e-01 1.730000e-01 1.186000e+03 1.200000e+01 1.200000e+01 4.500000e+01 4.500000e+01 4.657252e+01 4.657252e+01
1.813010e-01 1.730000e-01 1.900000e-01 1.239000e+03 1.200000e+01 1.200000e+01 4.600000e+01 4.600000e+01 4.753946e+01 4.753946e+01
1.987960e-01 1.900000e-01 2.080000e-01 1.296000e+03 1.100000e+01 1.100000e+01 4.700000e+01 4.700000e+01 4.827007e+01 4.827007e+01
2.177710e-01 2.080000e-01 2.280000e-01 1.346000e+03 1.000000e+01 1.000000e+01 4.800000e+01 4.800000e+01 4.903060e+01 4.903060e+01
2.387470e-01 2.280000e-01 2.500000e-01 1.406000e+03 1.000000e+01 1.000000e+01 5.000000e+01 5.000000e+01 5.099020e+01 5.099020e+01
2.617250e-01 2.500000e-01 2.740000e-01 1.456000e+03 9.000000e+00 9.000000e+00 5.100000e+01 5.100000e+01 5.178803e+01 5.178803e+01
2.867050e-01 2.740000e-01 3.000000e-01 1.487000e+03 9.000000e+00 9.000000e+00 5.200000e+01 5.200000e+01 5.277310e+01 5.277310e+01
3.141660e-01 3.000000e-01 3.290000e-01 1.513000e+03 8.000000e+00 8.000000e+00 5.200000e+01 5.200000e+01 5.261179e+01 5.261179e+01
3.446290e-01 3.290000e-01 3.610000e-01 1.513000e+03 7.000000e+00 7.000000e+00 5.200000e+01 5.200000e+01 5.246904e+01 5.246904e+01
3.776180e-01 3.610000e-01 3.950000e-01 1.520000e+03 7.000000e+00 7.000000e+00 5.200000e+01 5.200000e+01 5.246904e+01 5.246904e+01
4.135640e-01 3.950000e-01 4.330000e-01 1.499000e+03 6.000000e+00 6.000000e+00 5.100000e+01 5.100000e+01 5.135173e+01 5.135173e+01
4.535140e-01 4.330000e-01 4.750000e-01 1.487000e+03 6.000000e+00 6.000000e+00 5.000000e+01 5.000000e+01 5.035871e+01 5.035871e+01
4.969910e-01 4.750000e-01 5.200000e-01 1.469000e+03 6.000000e+00 6.000000e+00 5.000000e+01 5.000000e+01 5.035871e+01 5.035871e+01
5.444260e-01 5.200000e-01 5.700000e-01 1.397000e+03 5.000000e+00 5.000000e+00 4.700000e+01 4.700000e+01 4.726521e+01 4.726521e+01
