#   H  Pioneer8(1968/04)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
8.540000e-03 6.570000e-03 1.109000e-02 1.280000e+02 3.000000e+01 3.000000e+01 0.000000e+00 0.000000e+00 3.000000e+01 3.000000e+01
1.690000e-02 1.110000e-02 2.570000e-02 1.000000e+02 2.400000e+01 2.400000e+01 0.000000e+00 0.000000e+00 2.400000e+01 2.400000e+01
3.200000e-02 2.570000e-02 3.980000e-02 1.050000e+02 2.500000e+01 2.500000e+01 0.000000e+00 0.000000e+00 2.500000e+01 2.500000e+01
6.670000e-02 6.360000e-02 6.990000e-02 1.930000e+02 5.200000e+01 5.200000e+01 0.000000e+00 0.000000e+00 5.200000e+01 5.200000e+01
9.990000e-02 9.320000e-02 1.071000e-01 3.920000e+02 6.100000e+01 6.100000e+01 0.000000e+00 0.000000e+00 6.100000e+01 6.100000e+01
2.830000e-01 2.400000e-01 3.340000e-01 7.750000e+02 3.900000e+01 3.900000e+01 0.000000e+00 0.000000e+00 3.900000e+01 3.900000e+01
4.010000e-01 3.340000e-01 4.810000e-01 9.400000e+02 4.700000e+01 4.700000e+01 0.000000e+00 0.000000e+00 4.700000e+01 4.700000e+01
5.620000e-01 4.810000e-01 6.570000e-01 9.260000e+02 4.600000e+01 4.600000e+01 0.000000e+00 0.000000e+00 4.600000e+01 4.600000e+01
7.770000e-01 6.570000e-01 9.200000e-01 8.430000e+02 4.200000e+01 4.200000e+01 0.000000e+00 0.000000e+00 4.200000e+01 4.200000e+01
1.070000e+00 9.200000e-01 1.250000e+00 6.690000e+02 3.300000e+01 3.300000e+01 0.000000e+00 0.000000e+00 3.300000e+01 3.300000e+01
1.650000e+00 1.250000e+00 2.170000e+00 3.140000e+02 1.600000e+01 1.600000e+01 0.000000e+00 0.000000e+00 1.600000e+01 1.600000e+01
