#   H  Balloon(1965/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.100000e-01 1.100000e-01 1.100000e-01 1.147000e+03 1.110000e+02 1.110000e+02 0.000000e+00 0.000000e+00 1.110000e+02 1.110000e+02
1.300000e-01 1.300000e-01 1.300000e-01 1.199000e+03 1.390000e+02 1.390000e+02 0.000000e+00 0.000000e+00 1.390000e+02 1.390000e+02
1.400000e-01 1.400000e-01 1.400000e-01 1.455000e+03 1.600000e+02 1.600000e+02 0.000000e+00 0.000000e+00 1.600000e+02 1.600000e+02
1.770000e-01 1.770000e-01 1.770000e-01 1.136000e+03 2.690000e+02 2.690000e+02 0.000000e+00 0.000000e+00 2.690000e+02 2.690000e+02
1.800000e-01 1.800000e-01 1.800000e-01 1.543000e+03 1.540000e+02 1.540000e+02 0.000000e+00 0.000000e+00 1.540000e+02 1.540000e+02
2.300000e-01 2.300000e-01 2.300000e-01 1.671000e+03 1.450000e+02 1.450000e+02 0.000000e+00 0.000000e+00 1.450000e+02 1.450000e+02
2.400000e-01 2.400000e-01 2.400000e-01 1.391000e+03 2.570000e+02 2.570000e+02 0.000000e+00 0.000000e+00 2.570000e+02 2.570000e+02
3.100000e-01 3.100000e-01 3.100000e-01 1.757000e+03 7.490000e+01 7.490000e+01 0.000000e+00 0.000000e+00 7.490000e+01 7.490000e+01
4.000000e-01 4.000000e-01 4.000000e-01 1.709000e+03 8.890000e+01 8.890000e+01 0.000000e+00 0.000000e+00 8.890000e+01 8.890000e+01
4.340000e-01 4.340000e-01 4.340000e-01 1.540000e+03 2.430000e+02 2.430000e+02 0.000000e+00 0.000000e+00 2.430000e+02 2.430000e+02
5.300000e-01 5.300000e-01 5.300000e-01 1.647000e+03 9.080000e+01 9.080000e+01 0.000000e+00 0.000000e+00 9.080000e+01 9.080000e+01
6.470000e-01 6.470000e-01 6.470000e-01 1.012000e+03 2.100000e+02 2.100000e+02 0.000000e+00 0.000000e+00 2.100000e+02 2.100000e+02
7.000000e-01 7.000000e-01 7.000000e-01 1.368000e+03 5.830000e+01 5.830000e+01 0.000000e+00 0.000000e+00 5.830000e+01 5.830000e+01
9.800000e-01 9.800000e-01 9.800000e-01 1.029000e+03 3.420000e+01 3.420000e+01 0.000000e+00 0.000000e+00 3.420000e+01 3.420000e+01
1.590000e+00 1.590000e+00 1.590000e+00 5.060000e+02 1.690000e+01 1.690000e+01 0.000000e+00 0.000000e+00 1.690000e+01 1.690000e+01
