#   H  Balloon(1966/07)-1
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.200000e-01 1.200000e-01 1.200000e-01 6.960000e+02 7.890000e+01 7.890000e+01 0.000000e+00 0.000000e+00 7.890000e+01 7.890000e+01
1.300000e-01 1.300000e-01 1.300000e-01 7.590000e+02 1.010000e+02 1.010000e+02 0.000000e+00 0.000000e+00 1.010000e+02 1.010000e+02
1.600000e-01 1.600000e-01 1.600000e-01 1.060000e+03 1.060000e+02 1.060000e+02 0.000000e+00 0.000000e+00 1.060000e+02 1.060000e+02
1.900000e-01 1.900000e-01 1.900000e-01 1.121000e+03 1.200000e+02 1.200000e+02 0.000000e+00 0.000000e+00 1.200000e+02 1.200000e+02
2.300000e-01 2.300000e-01 2.300000e-01 1.130000e+03 1.240000e+02 1.240000e+02 0.000000e+00 0.000000e+00 1.240000e+02 1.240000e+02
3.100000e-01 3.100000e-01 3.100000e-01 1.460000e+03 1.170000e+02 1.170000e+02 0.000000e+00 0.000000e+00 1.170000e+02 1.170000e+02
4.100000e-01 4.100000e-01 4.100000e-01 1.498000e+03 7.790000e+01 7.790000e+01 0.000000e+00 0.000000e+00 7.790000e+01 7.790000e+01
5.300000e-01 5.300000e-01 5.300000e-01 1.309000e+03 7.220000e+01 7.220000e+01 0.000000e+00 0.000000e+00 7.220000e+01 7.220000e+01
7.100000e-01 7.100000e-01 7.100000e-01 1.123000e+03 4.090000e+01 4.090000e+01 0.000000e+00 0.000000e+00 4.090000e+01 4.090000e+01
1.000000e+00 1.000000e+00 1.000000e+00 8.250000e+02 4.020000e+01 4.020000e+01 0.000000e+00 0.000000e+00 4.020000e+01 4.020000e+01
1.660000e+00 1.660000e+00 1.660000e+00 4.590000e+02 1.950000e+01 1.950000e+01 0.000000e+00 0.000000e+00 1.950000e+01 1.950000e+01
