#   1H  Balloon(1977/07)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.220000e-01 1.150000e-01 1.250000e-01 1.377000e+03 1.140000e+02 1.140000e+02 0.000000e+00 0.000000e+00 1.140000e+02 1.140000e+02
1.340000e-01 1.250000e-01 1.440000e-01 1.540000e+03 1.460000e+02 1.460000e+02 0.000000e+00 0.000000e+00 1.460000e+02 1.460000e+02
1.520000e-01 1.440000e-01 1.650000e-01 1.659000e+03 1.670000e+02 1.670000e+02 0.000000e+00 0.000000e+00 1.670000e+02 1.670000e+02
1.820000e-01 1.650000e-01 2.030000e-01 1.946000e+03 1.850000e+02 1.850000e+02 0.000000e+00 0.000000e+00 1.850000e+02 1.850000e+02
2.310000e-01 2.030000e-01 2.570000e-01 2.282000e+03 2.000000e+02 2.000000e+02 0.000000e+00 0.000000e+00 2.000000e+02 2.000000e+02
2.840000e-01 2.570000e-01 3.100000e-01 2.406000e+03 2.000000e+02 2.000000e+02 0.000000e+00 0.000000e+00 2.000000e+02 2.000000e+02
3.360000e-01 3.100000e-01 3.640000e-01 2.316000e+03 1.530000e+02 1.530000e+02 0.000000e+00 0.000000e+00 1.530000e+02 1.530000e+02
3.880000e-01 3.640000e-01 4.180000e-01 2.092000e+03 1.740000e+02 1.740000e+02 0.000000e+00 0.000000e+00 1.740000e+02 1.740000e+02
4.460000e-01 4.180000e-01 4.770000e-01 1.790000e+03 1.490000e+02 1.490000e+02 0.000000e+00 0.000000e+00 1.490000e+02 1.490000e+02
5.490000e-01 4.770000e-01 6.300000e-01 1.508000e+03 1.340000e+02 1.340000e+02 0.000000e+00 0.000000e+00 1.340000e+02 1.340000e+02
7.210000e-01 6.300000e-01 8.320000e-01 1.178000e+03 9.150000e+01 9.150000e+01 0.000000e+00 0.000000e+00 9.150000e+01 9.150000e+01
9.990000e-01 8.320000e-01 1.193000e+00 9.403000e+02 7.300000e+01 7.300000e+01 0.000000e+00 0.000000e+00 7.300000e+01 7.300000e+01
