#   1H  BESS-PolarI(2004/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.050000e-01 2.000000e-01 2.110000e-01 4.774000e+02 3.200000e+00 3.200000e+00 4.500000e+01 4.500000e+01 4.511363e+01 4.511363e+01
2.180000e-01 2.110000e-01 2.240000e-01 5.069000e+02 3.100000e+00 3.100000e+00 4.260000e+01 4.260000e+01 4.271264e+01 4.271264e+01
2.310000e-01 2.240000e-01 2.370000e-01 5.321000e+02 3.000000e+00 3.000000e+00 4.270000e+01 4.270000e+01 4.280526e+01 4.280526e+01
2.440000e-01 2.370000e-01 2.510000e-01 5.543000e+02 2.900000e+00 2.900000e+00 4.000000e+01 4.000000e+01 4.010499e+01 4.010499e+01
2.590000e-01 2.510000e-01 2.660000e-01 5.768000e+02 2.800000e+00 2.800000e+00 3.760000e+01 3.760000e+01 3.770411e+01 3.770411e+01
2.740000e-01 2.660000e-01 2.820000e-01 5.997000e+02 2.700000e+00 2.700000e+00 3.540000e+01 3.540000e+01 3.550282e+01 3.550282e+01
2.900000e-01 2.820000e-01 2.980000e-01 6.269000e+02 2.600000e+00 2.600000e+00 3.590000e+01 3.590000e+01 3.599403e+01 3.599403e+01
3.070000e-01 2.980000e-01 3.160000e-01 6.416000e+02 2.500000e+00 2.500000e+00 3.370000e+01 3.370000e+01 3.379260e+01 3.379260e+01
3.260000e-01 3.160000e-01 3.350000e-01 6.676000e+02 2.500000e+00 2.500000e+00 3.220000e+01 3.220000e+01 3.229690e+01 3.229690e+01
3.450000e-01 3.350000e-01 3.550000e-01 6.824000e+02 2.400000e+00 2.400000e+00 3.030000e+01 3.030000e+01 3.039490e+01 3.039490e+01
3.650000e-01 3.550000e-01 3.760000e-01 6.958000e+02 2.300000e+00 2.300000e+00 3.030000e+01 3.030000e+01 3.038717e+01 3.038717e+01
3.870000e-01 3.760000e-01 3.980000e-01 7.123000e+02 2.200000e+00 2.200000e+00 2.880000e+01 2.880000e+01 2.888391e+01 2.888391e+01
4.100000e-01 3.980000e-01 4.220000e-01 7.265000e+02 2.200000e+00 2.200000e+00 2.730000e+01 2.730000e+01 2.738850e+01 2.738850e+01
4.340000e-01 4.220000e-01 4.470000e-01 7.405000e+02 2.100000e+00 2.100000e+00 2.610000e+01 2.610000e+01 2.618435e+01 2.618435e+01
4.600000e-01 4.470000e-01 4.730000e-01 7.423000e+02 2.000000e+00 2.000000e+00 2.570000e+01 2.570000e+01 2.577770e+01 2.577770e+01
4.870000e-01 4.730000e-01 5.010000e-01 7.481000e+02 2.000000e+00 2.000000e+00 2.440000e+01 2.440000e+01 2.448183e+01 2.448183e+01
5.160000e-01 5.010000e-01 5.310000e-01 7.505000e+02 1.900000e+00 1.900000e+00 2.310000e+01 2.310000e+01 2.317801e+01 2.317801e+01
5.460000e-01 5.310000e-01 5.620000e-01 7.520000e+02 1.800000e+00 1.800000e+00 2.200000e+01 2.200000e+01 2.207351e+01 2.207351e+01
5.790000e-01 5.620000e-01 5.960000e-01 7.488000e+02 1.800000e+00 1.800000e+00 2.170000e+01 2.170000e+01 2.177453e+01 2.177453e+01
6.130000e-01 5.960000e-01 6.310000e-01 7.439000e+02 1.700000e+00 1.700000e+00 2.050000e+01 2.050000e+01 2.057037e+01 2.057037e+01
6.490000e-01 6.310000e-01 6.680000e-01 7.340000e+02 1.600000e+00 1.600000e+00 1.930000e+01 1.930000e+01 1.936621e+01 1.936621e+01
6.880000e-01 6.680000e-01 7.080000e-01 7.272000e+02 1.600000e+00 1.600000e+00 1.840000e+01 1.840000e+01 1.846943e+01 1.846943e+01
