#   1H  BESS-PolarII(2007/12-2008/01)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.050000e-01 2.000000e-01 2.110000e-01 1.475000e+03 2.000000e+00 2.000000e+00 8.900000e+01 8.900000e+01 8.902247e+01 8.902247e+01
2.180000e-01 2.110000e-01 2.240000e-01 1.523000e+03 2.000000e+00 2.000000e+00 8.500000e+01 8.500000e+01 8.502353e+01 8.502353e+01
2.310000e-01 2.240000e-01 2.370000e-01 1.568000e+03 2.000000e+00 2.000000e+00 8.500000e+01 8.500000e+01 8.502353e+01 8.502353e+01
2.440000e-01 2.370000e-01 2.510000e-01 1.605000e+03 2.000000e+00 2.000000e+00 8.100000e+01 8.100000e+01 8.102469e+01 8.102469e+01
2.590000e-01 2.510000e-01 2.660000e-01 1.641000e+03 2.000000e+00 2.000000e+00 7.800000e+01 7.800000e+01 7.802564e+01 7.802564e+01
2.740000e-01 2.660000e-01 2.820000e-01 1.669000e+03 1.000000e+00 1.000000e+00 7.400000e+01 7.400000e+01 7.400676e+01 7.400676e+01
2.900000e-01 2.820000e-01 2.980000e-01 1.693000e+03 1.000000e+00 1.000000e+00 7.400000e+01 7.400000e+01 7.400676e+01 7.400676e+01
3.070000e-01 2.980000e-01 3.160000e-01 1.708000e+03 1.000000e+00 1.000000e+00 7.100000e+01 7.100000e+01 7.100704e+01 7.100704e+01
3.260000e-01 3.160000e-01 3.350000e-01 1.721000e+03 1.000000e+00 1.000000e+00 6.800000e+01 6.800000e+01 6.800735e+01 6.800735e+01
3.450000e-01 3.350000e-01 3.550000e-01 1.725000e+03 1.000000e+00 1.000000e+00 6.400000e+01 6.400000e+01 6.400781e+01 6.400781e+01
3.650000e-01 3.550000e-01 3.760000e-01 1.725000e+03 1.000000e+00 1.000000e+00 6.400000e+01 6.400000e+01 6.400781e+01 6.400781e+01
3.870000e-01 3.760000e-01 3.980000e-01 1.717000e+03 1.000000e+00 1.000000e+00 6.000000e+01 6.000000e+01 6.000833e+01 6.000833e+01
4.100000e-01 3.980000e-01 4.220000e-01 1.705000e+03 1.000000e+00 1.000000e+00 5.700000e+01 5.700000e+01 5.700877e+01 5.700877e+01
4.340000e-01 4.220000e-01 4.470000e-01 1.686000e+03 1.000000e+00 1.000000e+00 5.400000e+01 5.400000e+01 5.400926e+01 5.400926e+01
4.600000e-01 4.470000e-01 4.730000e-01 1.660000e+03 1.000000e+00 1.000000e+00 5.300000e+01 5.300000e+01 5.300943e+01 5.300943e+01
4.870000e-01 4.730000e-01 5.010000e-01 1.632000e+03 1.000000e+00 1.000000e+00 5.000000e+01 5.000000e+01 5.001000e+01 5.001000e+01
5.160000e-01 5.010000e-01 5.310000e-01 1.599000e+03 1.000000e+00 1.000000e+00 4.700000e+01 4.700000e+01 4.701064e+01 4.701064e+01
5.460000e-01 5.310000e-01 5.620000e-01 1.561000e+03 1.000000e+00 1.000000e+00 4.500000e+01 4.500000e+01 4.501111e+01 4.501111e+01
5.790000e-01 5.620000e-01 5.960000e-01 1.519000e+03 1.000000e+00 1.000000e+00 4.300000e+01 4.300000e+01 4.301163e+01 4.301163e+01
6.130000e-01 5.960000e-01 6.310000e-01 1.475000e+03 1.000000e+00 1.000000e+00 4.100000e+01 4.100000e+01 4.101219e+01 4.101219e+01
6.490000e-01 6.310000e-01 6.680000e-01 1.428000e+03 1.000000e+00 1.000000e+00 3.800000e+01 3.800000e+01 3.801316e+01 3.801316e+01
6.880000e-01 6.680000e-01 7.080000e-01 1.378000e+03 1.000000e+00 1.000000e+00 3.500000e+01 3.500000e+01 3.501428e+01 3.501428e+01
7.290000e-01 7.080000e-01 7.500000e-01 1.326000e+03 1.000000e+00 1.000000e+00 3.400000e+01 3.400000e+01 3.401470e+01 3.401470e+01
7.720000e-01 7.500000e-01 7.940000e-01 1.273000e+03 1.000000e+00 1.000000e+00 3.200000e+01 3.200000e+01 3.201562e+01 3.201562e+01
8.180000e-01 7.940000e-01 8.410000e-01 1.224000e+03 1.000000e+00 1.000000e+00 2.900000e+01 2.900000e+01 2.901724e+01 2.901724e+01
8.660000e-01 8.410000e-01 8.910000e-01 1.169000e+03 1.000000e+00 1.000000e+00 2.700000e+01 2.700000e+01 2.701851e+01 2.701851e+01
9.170000e-01 8.910000e-01 9.440000e-01 1.115000e+03 1.000000e+00 1.000000e+00 2.600000e+01 2.600000e+01 2.601922e+01 2.601922e+01
9.720000e-01 9.440000e-01 1.000000e+00 1.058000e+03 1.000000e+00 1.000000e+00 2.400000e+01 2.400000e+01 2.402082e+01 2.402082e+01
1.029000e+00 1.000000e+00 1.059000e+00 1.003000e+03 1.000000e+00 1.000000e+00 2.200000e+01 2.200000e+01 2.202272e+01 2.202272e+01
1.090000e+00 1.059000e+00 1.122000e+00 9.483000e+02 5.000000e-01 5.000000e-01 2.070000e+01 2.070000e+01 2.070604e+01 2.070604e+01
1.155000e+00 1.122000e+00 1.189000e+00 8.948000e+02 5.000000e-01 5.000000e-01 1.950000e+01 1.950000e+01 1.950641e+01 1.950641e+01
1.223000e+00 1.189000e+00 1.259000e+00 8.421000e+02 4.000000e-01 4.000000e-01 1.800000e+01 1.800000e+01 1.800444e+01 1.800444e+01
1.296000e+00 1.259000e+00 1.334000e+00 7.909000e+02 4.000000e-01 4.000000e-01 1.660000e+01 1.660000e+01 1.660482e+01 1.660482e+01
1.373000e+00 1.334000e+00 1.413000e+00 7.410000e+02 4.000000e-01 4.000000e-01 1.530000e+01 1.530000e+01 1.530523e+01 1.530523e+01
1.454000e+00 1.413000e+00 1.496000e+00 6.927000e+02 4.000000e-01 4.000000e-01 1.430000e+01 1.430000e+01 1.430559e+01 1.430559e+01
1.540000e+00 1.496000e+00 1.585000e+00 6.462000e+02 3.000000e-01 3.000000e-01 1.320000e+01 1.320000e+01 1.320341e+01 1.320341e+01
1.631000e+00 1.585000e+00 1.679000e+00 6.020000e+02 3.000000e-01 3.000000e-01 1.210000e+01 1.210000e+01 1.210372e+01 1.210372e+01
1.728000e+00 1.679000e+00 1.778000e+00 5.592000e+02 3.000000e-01 3.000000e-01 1.110000e+01 1.110000e+01 1.110405e+01 1.110405e+01
1.830000e+00 1.778000e+00 1.884000e+00 5.176000e+02 3.000000e-01 3.000000e-01 1.030000e+01 1.030000e+01 1.030437e+01 1.030437e+01
