#   H  BESS95(1995/07)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.010000e-01 2.010000e-01 2.010000e-01 1.873000e+03 1.140000e+02 1.140000e+02 0.000000e+00 0.000000e+00 1.140000e+02 1.140000e+02
2.690000e-01 2.690000e-01 2.690000e-01 1.972000e+03 1.650000e+02 1.650000e+02 0.000000e+00 0.000000e+00 1.650000e+02 1.650000e+02
3.590000e-01 3.590000e-01 3.590000e-01 1.990000e+03 1.670000e+02 1.670000e+02 0.000000e+00 0.000000e+00 1.670000e+02 1.670000e+02
4.760000e-01 4.760000e-01 4.760000e-01 1.852000e+03 1.660000e+02 1.660000e+02 0.000000e+00 0.000000e+00 1.660000e+02 1.660000e+02
6.390000e-01 6.390000e-01 6.390000e-01 1.582000e+03 1.140000e+02 1.140000e+02 0.000000e+00 0.000000e+00 1.140000e+02 1.140000e+02
8.510000e-01 8.510000e-01 8.510000e-01 1.213000e+03 1.160000e+02 1.160000e+02 0.000000e+00 0.000000e+00 1.160000e+02 1.160000e+02
1.129000e+00 1.129000e+00 1.129000e+00 9.614000e+02 7.500000e+01 7.500000e+01 0.000000e+00 0.000000e+00 7.500000e+01 7.500000e+01
1.527000e+00 1.527000e+00 1.527000e+00 6.766000e+02 5.280000e+01 5.280000e+01 0.000000e+00 0.000000e+00 5.280000e+01 5.280000e+01
2.032000e+00 2.032000e+00 2.032000e+00 4.586000e+02 4.110000e+01 4.110000e+01 0.000000e+00 0.000000e+00 4.110000e+01 4.110000e+01
2.703000e+00 2.703000e+00 2.703000e+00 2.915000e+02 2.950000e+01 2.950000e+01 0.000000e+00 0.000000e+00 2.950000e+01 2.950000e+01
3.612000e+00 3.612000e+00 3.612000e+00 1.746000e+02 1.260000e+01 1.260000e+01 0.000000e+00 0.000000e+00 1.260000e+01 1.260000e+01
4.877000e+00 4.877000e+00 4.877000e+00 9.966000e+01 1.070000e+01 1.070000e+01 0.000000e+00 0.000000e+00 1.070000e+01 1.070000e+01
6.406000e+00 6.406000e+00 6.406000e+00 5.450000e+01 2.990000e+00 2.990000e+00 0.000000e+00 0.000000e+00 2.990000e+00 2.990000e+00
8.500000e+00 8.500000e+00 8.500000e+00 2.749000e+01 2.950000e+00 2.950000e+00 0.000000e+00 0.000000e+00 2.950000e+00 2.950000e+00
