#   H  CAPRICE94(1994/08)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.100000e-01 1.500000e-01 2.300000e-01 1.250000e+03 2.000000e+01 2.000000e+01 0.000000e+00 0.000000e+00 2.000000e+01 2.000000e+01
3.000000e-01 2.300000e-01 3.300000e-01 1.420000e+03 2.000000e+01 2.000000e+01 0.000000e+00 0.000000e+00 2.000000e+01 2.000000e+01
4.200000e-01 3.300000e-01 4.700000e-01 1.440000e+03 1.000000e+01 1.000000e+01 0.000000e+00 0.000000e+00 1.000000e+01 1.000000e+01
5.500000e-01 4.700000e-01 6.200000e-01 1.350000e+03 1.000000e+01 1.000000e+01 0.000000e+00 0.000000e+00 1.000000e+01 1.000000e+01
7.000000e-01 6.200000e-01 7.800000e-01 1.220000e+03 1.000000e+01 1.000000e+01 0.000000e+00 0.000000e+00 1.000000e+01 1.000000e+01
9.500000e-01 7.800000e-01 1.120000e+00 1.010000e+03 1.000000e+01 1.000000e+01 0.000000e+00 0.000000e+00 1.000000e+01 1.000000e+01
1.290000e+00 1.120000e+00 1.480000e+00 7.560000e+02 5.000000e+00 5.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 5.000000e+00
1.660000e+00 1.480000e+00 1.850000e+00 5.610000e+02 4.000000e+00 4.000000e+00 0.000000e+00 0.000000e+00 4.000000e+00 4.000000e+00
2.030000e+00 1.850000e+00 2.230000e+00 4.280000e+02 3.000000e+00 3.000000e+00 0.000000e+00 0.000000e+00 3.000000e+00 3.000000e+00
2.410000e+00 2.230000e+00 2.610000e+00 3.270000e+02 3.000000e+00 3.000000e+00 0.000000e+00 0.000000e+00 3.000000e+00 3.000000e+00
2.800000e+00 2.610000e+00 3.000000e+00 2.580000e+02 2.000000e+00 2.000000e+00 0.000000e+00 0.000000e+00 2.000000e+00 2.000000e+00
3.190000e+00 3.000000e+00 3.390000e+00 2.090000e+02 2.000000e+00 2.000000e+00 0.000000e+00 0.000000e+00 2.000000e+00 2.000000e+00
3.600000e+00 3.390000e+00 3.840000e+00 1.640000e+02 2.000000e+00 2.000000e+00 0.000000e+00 0.000000e+00 2.000000e+00 2.000000e+00
4.110000e+00 3.840000e+00 4.400000e+00 1.280000e+02 1.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00 1.000000e+00
4.750000e+00 4.400000e+00 5.130000e+00 9.660000e+01 1.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00 1.000000e+00
5.590000e+00 5.130000e+00 6.100000e+00 6.860000e+01 7.000000e-01 7.000000e-01 0.000000e+00 0.000000e+00 7.000000e-01 7.000000e-01
6.730000e+00 6.100000e+00 7.460000e+00 4.640000e+01 5.000000e-01 5.000000e-01 0.000000e+00 0.000000e+00 5.000000e-01 5.000000e-01
8.380000e+00 7.460000e+00 9.490000e+00 2.780000e+01 3.000000e-01 3.000000e-01 0.000000e+00 0.000000e+00 3.000000e-01 3.000000e-01
1.100000e+01 9.500000e+00 1.280000e+01 1.450000e+01 2.000000e-01 2.000000e-01 0.000000e+00 0.000000e+00 2.000000e-01 2.000000e-01
1.560000e+01 1.280000e+01 1.940000e+01 5.820000e+00 8.000000e-02 8.000000e-02 0.000000e+00 0.000000e+00 8.000000e-02 8.000000e-02
2.070000e+01 1.940000e+01 2.220000e+01 2.820000e+00 8.000000e-02 8.000000e-02 0.000000e+00 0.000000e+00 8.000000e-02 8.000000e-02
2.390000e+01 2.220000e+01 2.580000e+01 1.880000e+00 6.000000e-02 6.000000e-02 0.000000e+00 0.000000e+00 6.000000e-02 6.000000e-02
2.810000e+01 2.580000e+01 3.080000e+01 1.130000e+00 4.000000e-02 4.000000e-02 0.000000e+00 0.000000e+00 4.000000e-02 4.000000e-02
3.410000e+01 3.080000e+01 3.810000e+01 7.600000e-01 2.500000e-02 2.500000e-02 0.000000e+00 0.000000e+00 2.500000e-02 2.500000e-02
4.320000e+01 3.810000e+01 4.970000e+01 4.060000e-01 1.500000e-02 1.500000e-02 0.000000e+00 0.000000e+00 1.500000e-02 1.500000e-02
5.880000e+01 4.970000e+01 7.130000e+01 1.570000e-01 7.000000e-03 7.000000e-03 0.000000e+00 0.000000e+00 7.000000e-03 7.000000e-03
8.000000e+01 7.130000e+01 9.080000e+01 7.210000e-02 4.900000e-03 4.900000e-03 0.000000e+00 0.000000e+00 4.900000e-03 4.900000e-03
1.054000e+02 9.080000e+01 1.248000e+02 2.800000e-02 2.300000e-03 2.300000e-03 0.000000e+00 0.000000e+00 2.300000e-03 2.300000e-03
1.543000e+02 1.248000e+02 1.991000e+02 1.150000e-02 1.100000e-03 1.100000e-03 0.000000e+00 0.000000e+00 1.100000e-03 1.100000e-03
