#   1H  CAPRICE94(1994/08)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.100000e-01 1.500000e-01 2.300000e-01 1.240000e+03 2.000000e+01 2.000000e+01 0.000000e+00 0.000000e+00 2.000000e+01 2.000000e+01
3.000000e-01 2.300000e-01 3.300000e-01 1.390000e+03 2.000000e+01 2.000000e+01 0.000000e+00 0.000000e+00 2.000000e+01 2.000000e+01
4.200000e-01 3.300000e-01 4.700000e-01 1.410000e+03 1.000000e+01 1.000000e+01 0.000000e+00 0.000000e+00 1.000000e+01 1.000000e+01
5.500000e-01 4.700000e-01 6.200000e-01 1.320000e+03 1.000000e+01 1.000000e+01 0.000000e+00 0.000000e+00 1.000000e+01 1.000000e+01
7.000000e-01 6.200000e-01 7.800000e-01 1.200000e+03 2.000000e+01 2.000000e+01 0.000000e+00 0.000000e+00 2.000000e+01 2.000000e+01
9.500000e-01 7.800000e-01 1.120000e+00 9.870000e+02 1.000000e+01 1.000000e+01 0.000000e+00 0.000000e+00 1.000000e+01 1.000000e+01
1.290000e+00 1.120000e+00 1.480000e+00 7.390000e+02 6.000000e+00 6.000000e+00 0.000000e+00 0.000000e+00 6.000000e+00 6.000000e+00
1.660000e+00 1.480000e+00 1.850000e+00 5.450000e+02 4.000000e+00 4.000000e+00 0.000000e+00 0.000000e+00 4.000000e+00 4.000000e+00
2.030000e+00 1.850000e+00 2.230000e+00 4.180000e+02 4.000000e+00 4.000000e+00 0.000000e+00 0.000000e+00 4.000000e+00 4.000000e+00
2.410000e+00 2.230000e+00 2.610000e+00 3.170000e+02 9.000000e+00 9.000000e+00 0.000000e+00 0.000000e+00 9.000000e+00 9.000000e+00
2.800000e+00 2.610000e+00 3.000000e+00 2.500000e+02 7.000000e+00 7.000000e+00 0.000000e+00 0.000000e+00 7.000000e+00 7.000000e+00
3.190000e+00 3.000000e+00 3.390000e+00 2.010000e+02 6.000000e+00 6.000000e+00 0.000000e+00 0.000000e+00 6.000000e+00 6.000000e+00
3.600000e+00 3.390000e+00 3.840000e+00 1.610000e+02 5.000000e+00 5.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 5.000000e+00
4.110000e+00 3.840000e+00 4.400000e+00 1.260000e+02 3.000000e+00 3.000000e+00 0.000000e+00 0.000000e+00 3.000000e+00 3.000000e+00
4.750000e+00 4.400000e+00 5.130000e+00 9.660000e+01 1.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00 1.000000e+00
5.590000e+00 5.130000e+00 6.100000e+00 6.860000e+01 7.000000e-01 7.000000e-01 0.000000e+00 0.000000e+00 7.000000e-01 7.000000e-01
6.730000e+00 6.100000e+00 7.460000e+00 4.640000e+01 5.000000e-01 5.000000e-01 0.000000e+00 0.000000e+00 5.000000e-01 5.000000e-01
8.380000e+00 7.460000e+00 9.490000e+00 2.780000e+01 3.000000e-01 3.000000e-01 0.000000e+00 0.000000e+00 3.000000e-01 3.000000e-01
