#   H  CREAM-III
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
0.000000e+00 0.000000e+00 0.000000e+00 4.070000e-05 5.000000e-07 5.000000e-07 1.401050e-06 1.401050e-06 1.487596e-06 1.487596e-06
0.000000e+00 0.000000e+00 0.000000e+00 1.210000e-05 2.000000e-07 2.000000e-07 4.165283e-07 4.165283e-07 4.620561e-07 4.620561e-07
0.000000e+00 0.000000e+00 0.000000e+00 3.720000e-06 1.000000e-07 1.000000e-07 1.280566e-07 1.280566e-07 1.624761e-07 1.624761e-07
0.000000e+00 0.000000e+00 0.000000e+00 1.160000e-06 5.000000e-08 5.000000e-08 3.993164e-08 3.993164e-08 6.398856e-08 6.398856e-08
0.000000e+00 0.000000e+00 0.000000e+00 3.630000e-07 2.000000e-09 2.000000e-09 1.249585e-08 1.249585e-08 1.265489e-08 1.265489e-08
0.000000e+00 0.000000e+00 0.000000e+00 1.100000e-07 9.000000e-09 9.000000e-09 3.786621e-09 3.786621e-09 9.764144e-09 9.764144e-09
0.000000e+00 0.000000e+00 0.000000e+00 3.140000e-08 3.800000e-09 3.800000e-09 1.080908e-09 1.080908e-09 3.950742e-09 3.950742e-09
0.000000e+00 0.000000e+00 0.000000e+00 8.210000e-09 1.500000e-09 1.500000e-09 2.826196e-10 2.826196e-10 1.526392e-09 1.526392e-09
0.000000e+00 0.000000e+00 0.000000e+00 1.990000e-09 6.000000e-10 6.000000e-10 6.850342e-11 6.850342e-11 6.038979e-10 6.038979e-10
0.000000e+00 0.000000e+00 0.000000e+00 5.900000e-10 1.700000e-10 3.200000e-10 2.031006e-11 2.031006e-11 1.712089e-10 3.206439e-10
0.000000e+00 0.000000e+00 0.000000e+00 1.600000e-10 1.000000e-10 1.600000e-10 5.507813e-12 5.507813e-12 1.001516e-10 1.600948e-10
0.000000e+00 0.000000e+00 0.000000e+00 4.500000e-11 1.300000e-11 2.800000e-11 1.549072e-12 1.549072e-12 1.309197e-11 2.804282e-11
