#   H  EPHIN(2005/01-2005/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.920000e-01 2.920000e-01 2.920000e-01 9.400000e+02 9.400000e+00 9.400000e+00 1.880000e+02 1.880000e+02 1.882349e+02 1.882349e+02
3.360000e-01 3.360000e-01 3.360000e-01 9.400000e+02 9.400000e+00 9.400000e+00 1.880000e+02 1.880000e+02 1.882349e+02 1.882349e+02
3.870000e-01 3.870000e-01 3.870000e-01 9.500000e+02 9.500000e+00 9.500000e+00 1.900000e+02 1.900000e+02 1.902374e+02 1.902374e+02
4.460000e-01 4.460000e-01 4.460000e-01 9.000000e+02 9.000000e+00 9.000000e+00 1.800000e+02 1.800000e+02 1.802249e+02 1.802249e+02
5.130000e-01 5.130000e-01 5.130000e-01 9.100000e+02 9.100000e+00 9.100000e+00 1.820000e+02 1.820000e+02 1.822274e+02 1.822274e+02
5.910000e-01 5.910000e-01 5.910000e-01 7.500000e+02 7.500000e+00 7.500000e+00 1.500000e+02 1.500000e+02 1.501874e+02 1.501874e+02
6.810000e-01 6.810000e-01 6.810000e-01 7.800000e+02 7.800000e+00 7.800000e+00 1.560000e+02 1.560000e+02 1.561949e+02 1.561949e+02
7.840000e-01 7.840000e-01 7.840000e-01 7.300000e+02 7.300000e+00 7.300000e+00 1.460000e+02 1.460000e+02 1.461824e+02 1.461824e+02
9.030000e-01 9.030000e-01 9.030000e-01 7.200000e+02 7.200000e+00 7.200000e+00 1.440000e+02 1.440000e+02 1.441799e+02 1.441799e+02
1.040000e+00 1.040000e+00 1.040000e+00 6.600000e+02 6.600000e+00 6.600000e+00 1.320000e+02 1.320000e+02 1.321649e+02 1.321649e+02
1.198000e+00 1.198000e+00 1.198000e+00 6.000000e+02 6.000000e+00 6.000000e+00 1.200000e+02 1.200000e+02 1.201499e+02 1.201499e+02
1.380000e+00 1.380000e+00 1.380000e+00 5.200000e+02 5.200000e+00 5.200000e+00 1.040000e+02 1.040000e+02 1.041299e+02 1.041299e+02
1.589000e+00 1.589000e+00 1.589000e+00 4.100000e+02 4.100000e+00 4.100000e+00 8.200000e+01 8.200000e+01 8.210244e+01 8.210244e+01
