#   H  IMAX92(1992/07)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.900000e-01 1.800000e-01 2.000000e-01 6.510000e+02 9.000000e+00 9.000000e+00 1.350000e+02 1.350000e+02 1.352997e+02 1.352997e+02
2.100000e-01 2.000000e-01 2.300000e-01 7.150000e+02 8.000000e+00 8.000000e+00 1.240000e+02 1.240000e+02 1.242578e+02 1.242578e+02
2.500000e-01 2.300000e-01 2.700000e-01 8.010000e+02 8.000000e+00 8.000000e+00 1.070000e+02 1.070000e+02 1.072986e+02 1.072986e+02
3.000000e-01 2.700000e-01 3.300000e-01 8.450000e+02 7.000000e+00 7.000000e+00 8.300000e+01 8.300000e+01 8.329466e+01 8.329466e+01
3.600000e-01 3.300000e-01 4.000000e-01 8.920000e+02 6.000000e+00 6.000000e+00 6.800000e+01 6.800000e+01 6.826419e+01 6.826419e+01
4.500000e-01 4.000000e-01 5.000000e-01 8.480000e+02 5.000000e+00 5.000000e+00 5.700000e+01 5.700000e+01 5.721888e+01 5.721888e+01
5.600000e-01 5.000000e-01 6.300000e-01 7.930000e+02 5.000000e+00 5.000000e+00 5.100000e+01 5.100000e+01 5.124451e+01 5.124451e+01
7.100000e-01 6.300000e-01 8.000000e-01 7.150000e+02 4.000000e+00 4.000000e+00 4.600000e+01 4.600000e+01 4.617359e+01 4.617359e+01
9.100000e-01 8.000000e-01 1.020000e+00 6.220000e+02 3.000000e+00 3.000000e+00 3.900000e+01 3.900000e+01 3.911521e+01 3.911521e+01
1.160000e+00 1.020000e+00 1.310000e+00 5.190000e+02 3.000000e+00 3.000000e+00 3.300000e+01 3.300000e+01 3.313608e+01 3.313608e+01
1.480000e+00 1.310000e+00 1.680000e+00 4.250000e+02 2.000000e+00 2.000000e+00 2.700000e+01 2.700000e+01 2.707397e+01 2.707397e+01
1.900000e+00 1.680000e+00 2.150000e+00 3.240000e+02 2.000000e+00 2.000000e+00 2.100000e+01 2.100000e+01 2.109502e+01 2.109502e+01
2.440000e+00 2.150000e+00 2.770000e+00 2.370000e+02 1.000000e+00 1.000000e+00 1.500000e+01 1.500000e+01 1.503330e+01 1.503330e+01
3.140000e+00 2.770000e+00 3.560000e+00 1.610000e+02 1.000000e+00 1.000000e+00 1.000000e+01 1.000000e+01 1.004988e+01 1.004988e+01
4.040000e+00 3.560000e+00 4.590000e+00 1.050000e+02 1.000000e+00 1.000000e+00 7.000000e+00 7.000000e+00 7.071068e+00 7.071068e+00
5.190000e+00 4.590000e+00 5.910000e+00 6.560000e+01 5.000000e-01 5.000000e-01 4.200000e+00 4.200000e+00 4.229657e+00 4.229657e+00
6.690000e+00 5.910000e+00 7.620000e+00 4.000000e+01 3.000000e-01 3.000000e-01 2.500000e+00 2.500000e+00 2.517936e+00 2.517936e+00
8.610000e+00 7.620000e+00 9.820000e+00 2.330000e+01 2.000000e-01 2.000000e-01 1.500000e+00 1.500000e+00 1.513275e+00 1.513275e+00
1.110000e+01 9.800000e+00 1.270000e+01 1.290000e+01 1.000000e-01 1.000000e-01 8.000000e-01 8.000000e-01 8.062258e-01 8.062258e-01
1.430000e+01 1.270000e+01 1.630000e+01 7.040000e+00 9.000000e-02 9.000000e-02 4.400000e-01 4.400000e-01 4.491102e-01 4.491102e-01
1.840000e+01 1.630000e+01 2.100000e+01 3.780000e+00 6.000000e-02 6.000000e-02 2.400000e-01 2.400000e-01 2.473863e-01 2.473863e-01
2.380000e+01 2.100000e+01 2.710000e+01 2.100000e+00 4.000000e-02 4.000000e-02 1.300000e-01 1.300000e-01 1.360147e-01 1.360147e-01
3.070000e+01 2.710000e+01 3.500000e+01 1.060000e+00 2.000000e-02 2.000000e-02 7.000000e-02 7.000000e-02 7.280110e-02 7.280110e-02
3.960000e+01 3.500000e+01 4.510000e+01 5.340000e-01 1.500000e-02 1.500000e-02 3.300000e-02 3.300000e-02 3.624914e-02 3.624914e-02
5.090000e+01 4.510000e+01 5.820000e+01 3.010000e-01 1.000000e-02 1.000000e-02 1.900000e-02 1.900000e-02 2.147091e-02 2.147091e-02
6.570000e+01 5.820000e+01 7.510000e+01 1.430000e-01 6.000000e-03 6.000000e-03 9.000000e-03 9.000000e-03 1.081665e-02 1.081665e-02
8.480000e+01 7.510000e+01 9.680000e+01 7.490000e-02 3.700000e-03 3.700000e-03 4.700000e-03 4.700000e-03 5.981639e-03 5.981639e-03
1.090000e+02 9.700000e+01 1.250000e+02 4.220000e-02 2.400000e-03 2.400000e-03 2.700000e-03 2.700000e-03 3.612478e-03 3.612478e-03
1.400000e+02 1.250000e+02 1.610000e+02 2.030000e-02 1.500000e-03 1.500000e-03 1.300000e-03 1.300000e-03 1.984943e-03 1.984943e-03
1.810000e+02 1.610000e+02 2.080000e+02 9.850000e-03 8.800000e-04 8.800000e-04 6.800000e-04 6.800000e-04 1.112115e-03 1.112115e-03
