#   H  IMP5(1972/06-1972/09)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
3.800000e-03 3.100000e-03 5.000000e-03 8.511000e+03 2.087000e+03 2.087000e+03 0.000000e+00 0.000000e+00 2.087000e+03 2.087000e+03
6.100000e-03 5.000000e-03 8.300000e-03 1.455000e+03 5.480000e+02 5.480000e+02 0.000000e+00 0.000000e+00 5.480000e+02 5.480000e+02
1.060000e-02 8.300000e-03 1.260000e-02 2.070000e+02 4.520000e+01 4.520000e+01 0.000000e+00 0.000000e+00 4.520000e+01 4.520000e+01
1.550000e-02 1.260000e-02 1.920000e-02 1.630000e+02 3.880000e+01 3.880000e+01 0.000000e+00 0.000000e+00 3.880000e+01 3.880000e+01
2.500000e-02 1.920000e-02 3.080000e-02 1.110000e+02 2.310000e+01 2.310000e+01 0.000000e+00 0.000000e+00 2.310000e+01 2.310000e+01
3.400000e-02 3.080000e-02 3.670000e-02 2.010000e+02 4.780000e+01 4.780000e+01 0.000000e+00 0.000000e+00 4.780000e+01 4.780000e+01
4.260000e-02 3.670000e-02 4.800000e-02 2.670000e+02 2.630000e+01 2.630000e+01 0.000000e+00 0.000000e+00 2.630000e+01 2.630000e+01
5.340000e-02 4.800000e-02 5.990000e-02 3.520000e+02 3.220000e+01 3.220000e+01 0.000000e+00 0.000000e+00 3.220000e+01 3.220000e+01
6.540000e-02 5.990000e-02 7.140000e-02 5.120000e+02 4.700000e+01 4.700000e+01 0.000000e+00 0.000000e+00 4.700000e+01 4.700000e+01
8.350000e-02 7.140000e-02 9.410000e-02 6.460000e+02 1.530000e+02 1.530000e+02 0.000000e+00 0.000000e+00 1.530000e+02 1.530000e+02
