#   He  AMS01(1998/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
3.539508e-01 2.979340e-01 4.205000e-01 3.928375e+01 1.964185e+01 1.964185e+01 0.000000e+00 0.000000e+00 1.964185e+01 1.964185e+01
5.025800e-01 4.205000e-01 6.006840e-01 5.172225e+01 3.067375e+00 3.067375e+00 0.000000e+00 0.000000e+00 3.067375e+00 3.067375e+00
7.103480e-01 6.006840e-01 8.400320e-01 5.381125e+01 2.948550e+00 2.948550e+00 0.000000e+00 0.000000e+00 2.948550e+00 2.948550e+00
9.867040e-01 8.400320e-01 1.158988e+00 5.129400e+01 2.777050e+00 2.777050e+00 0.000000e+00 0.000000e+00 2.777050e+00 2.777050e+00
1.365800e+00 1.158988e+00 1.609516e+00 4.688725e+01 2.568150e+00 2.568150e+00 0.000000e+00 0.000000e+00 2.568150e+00 2.568150e+00
1.872008e+00 1.609516e+00 2.177308e+00 3.899825e+01 2.144240e+00 2.144240e+00 0.000000e+00 0.000000e+00 2.144240e+00 2.144240e+00
2.519824e+00 2.177308e+00 2.916220e+00 3.078050e+01 1.682338e+00 1.682338e+00 0.000000e+00 0.000000e+00 1.682338e+00 1.682338e+00
3.359136e+00 2.916220e+00 3.869320e+00 2.328172e+01 1.234637e+00 1.234637e+00 0.000000e+00 0.000000e+00 1.234637e+00 1.234637e+00
4.425440e+00 3.869320e+00 5.061520e+00 1.731630e+01 9.557700e-01 9.557700e-01 0.000000e+00 0.000000e+00 9.557700e-01 9.557700e-01
5.758560e+00 5.061520e+00 6.551560e+00 1.228880e+01 6.525025e-01 6.525025e-01 0.000000e+00 0.000000e+00 6.525025e-01 6.525025e-01
7.401120e+00 6.551560e+00 8.360880e+00 8.437525e+00 4.563700e-01 4.563700e-01 0.000000e+00 0.000000e+00 4.563700e-01 4.563700e-01
9.416320e+00 8.360880e+00 1.060500e+01 5.735575e+00 3.076350e-01 3.076350e-01 0.000000e+00 0.000000e+00 3.076350e-01 3.076350e-01
1.188708e+01 1.060500e+01 1.332420e+01 3.748425e+00 2.008080e-01 2.008080e-01 0.000000e+00 0.000000e+00 2.008080e-01 2.008080e-01
1.487940e+01 1.332420e+01 1.661616e+01 2.403748e+00 1.275875e-01 1.275875e-01 0.000000e+00 0.000000e+00 1.275875e-01 1.275875e-01
1.850072e+01 1.661616e+01 2.059900e+01 1.516482e+00 8.114950e-02 8.114950e-02 0.000000e+00 0.000000e+00 8.114950e-02 8.114950e-02
2.287888e+01 2.059900e+01 2.541112e+01 9.544175e-01 5.049825e-02 5.049825e-02 0.000000e+00 0.000000e+00 5.049825e-02 5.049825e-02
2.817116e+01 2.541112e+01 3.123100e+01 5.991050e-01 3.222075e-02 3.222075e-02 0.000000e+00 0.000000e+00 3.222075e-02 3.222075e-02
3.454816e+01 3.123100e+01 3.821764e+01 3.702625e-01 2.009560e-02 2.009560e-02 0.000000e+00 0.000000e+00 2.009560e-02 2.009560e-02
4.222360e+01 3.821764e+01 4.664960e+01 2.357778e-01 1.304302e-02 1.304302e-02 0.000000e+00 0.000000e+00 1.304302e-02 1.304302e-02
5.146920e+01 4.664960e+01 5.678640e+01 1.448310e-01 8.018325e-03 8.018325e-03 0.000000e+00 0.000000e+00 8.018325e-03 8.018325e-03
6.259040e+01 5.678640e+01 6.898720e+01 8.613625e-02 4.707450e-03 4.707450e-03 0.000000e+00 0.000000e+00 4.707450e-03 4.707450e-03
7.596600e+01 6.898720e+01 8.365120e+01 5.055525e-02 2.803075e-03 2.803075e-03 0.000000e+00 0.000000e+00 2.803075e-03 2.803075e-03
9.205240e+01 8.365120e+01 1.012976e+02 3.162400e-02 1.751330e-03 1.751330e-03 0.000000e+00 0.000000e+00 1.751330e-03 1.751330e-03
1.114076e+02 1.012976e+02 1.225268e+02 1.900998e-02 1.050552e-03 1.050552e-03 0.000000e+00 0.000000e+00 1.050552e-03 1.050552e-03
1.346796e+02 1.225268e+02 1.480376e+02 1.110405e-02 6.002200e-04 6.002200e-04 0.000000e+00 0.000000e+00 6.002200e-04 6.002200e-04
1.626524e+02 1.480376e+02 1.787096e+02 6.851725e-03 4.001000e-04 4.001000e-04 0.000000e+00 0.000000e+00 4.001000e-04 4.001000e-04
1.962916e+02 1.787096e+02 2.156032e+02 4.145725e-03 2.500450e-04 2.500450e-04 0.000000e+00 0.000000e+00 2.500450e-04 2.500450e-04
2.367440e+02 2.156032e+02 2.599580e+02 2.455295e-03 1.650198e-04 1.650198e-04 0.000000e+00 0.000000e+00 1.650198e-04 1.650198e-04
2.853736e+02 2.599580e+02 3.132736e+02 1.390117e-03 9.500800e-05 9.500800e-05 0.000000e+00 0.000000e+00 9.500800e-05 9.500800e-05
3.438404e+02 3.132736e+02 3.773900e+02 8.250500e-04 7.000425e-05 7.000425e-05 0.000000e+00 0.000000e+00 7.000425e-05 7.000425e-05
4.141400e+02 3.773900e+02 4.544680e+02 5.900225e-04 4.000150e-05 4.000150e-05 0.000000e+00 0.000000e+00 4.000150e-05 4.000150e-05
