#   He  OGO5(1968/03-1968/10)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.800000e-02 4.800000e-02 4.800000e-02 1.142500e+01 2.065000e+00 2.065000e+00 0.000000e+00 0.000000e+00 2.065000e+00 2.065000e+00
6.400000e-02 6.400000e-02 6.400000e-02 1.472500e+01 3.275000e+00 3.275000e+00 0.000000e+00 0.000000e+00 3.275000e+00 3.275000e+00
1.560000e-01 1.560000e-01 1.560000e-01 1.117500e+01 8.250000e-01 8.250000e-01 0.000000e+00 0.000000e+00 8.250000e-01 8.250000e-01
1.960000e-01 1.960000e-01 1.960000e-01 1.507500e+01 1.325000e+00 1.325000e+00 0.000000e+00 0.000000e+00 1.325000e+00 1.325000e+00
2.360000e-01 2.360000e-01 2.360000e-01 1.772500e+01 1.432500e+00 1.432500e+00 0.000000e+00 0.000000e+00 1.432500e+00 1.432500e+00
2.760000e-01 2.760000e-01 2.760000e-01 1.912500e+01 1.547500e+00 1.547500e+00 0.000000e+00 0.000000e+00 1.547500e+00 1.547500e+00
3.800000e-01 3.800000e-01 3.800000e-01 2.265000e+01 1.832500e+00 1.832500e+00 0.000000e+00 0.000000e+00 1.832500e+00 1.832500e+00
4.480000e-01 4.480000e-01 4.480000e-01 2.282500e+01 1.847500e+00 1.847500e+00 0.000000e+00 0.000000e+00 1.847500e+00 1.847500e+00
5.520000e-01 5.520000e-01 5.520000e-01 2.600000e+01 2.490000e+00 2.490000e+00 0.000000e+00 0.000000e+00 2.490000e+00 2.490000e+00
6.760000e-01 6.760000e-01 6.760000e-01 2.232500e+01 2.427500e+00 2.427500e+00 0.000000e+00 0.000000e+00 2.427500e+00 2.427500e+00
8.160000e-01 8.160000e-01 8.160000e-01 2.725000e+01 3.150000e+00 3.150000e+00 0.000000e+00 0.000000e+00 3.150000e+00 3.150000e+00
1.016000e+00 1.016000e+00 1.016000e+00 2.487500e+01 1.837500e+00 1.837500e+00 0.000000e+00 0.000000e+00 1.837500e+00 1.837500e+00
1.240000e+00 1.240000e+00 1.240000e+00 2.575000e+01 2.625000e+00 2.625000e+00 0.000000e+00 0.000000e+00 2.625000e+00 2.625000e+00
1.532000e+00 1.532000e+00 1.532000e+00 2.650000e+01 3.075000e+00 3.075000e+00 0.000000e+00 0.000000e+00 3.075000e+00 3.075000e+00
1.836000e+00 1.836000e+00 1.836000e+00 2.525000e+01 2.237500e+00 2.237500e+00 0.000000e+00 0.000000e+00 2.237500e+00 2.237500e+00
