#   He  PAMELA(2006/07-2008/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
5.120444e-01 4.931363e-01 5.409522e-01 4.450365e+01 4.198458e-01 4.198458e-01 2.099229e+00 2.099229e+00 2.140802e+00 2.140802e+00
5.605822e-01 5.409522e-01 5.905547e-01 5.381457e+01 4.046208e-01 4.046208e-01 2.023104e+00 2.023104e+00 2.063169e+00 2.063169e+00
6.108821e-01 5.905547e-01 6.418825e-01 6.196179e+01 3.909261e-01 3.909261e-01 1.954631e+00 1.954631e+00 1.993340e+00 1.993340e+00
6.628833e-01 6.418825e-01 6.948759e-01 7.003337e+01 3.785587e-01 3.785587e-01 2.839191e+00 2.839191e+00 2.864317e+00 2.864317e+00
7.274467e-01 6.948759e-01 7.605831e-01 7.432495e+01 3.652332e-01 3.652332e-01 2.739249e+00 2.739249e+00 2.763491e+00 2.763491e+00
7.829822e-01 7.605831e-01 8.285035e-01 7.850512e+01 3.552268e-01 3.552268e-01 2.664201e+00 2.664201e+00 2.687778e+00 2.687778e+00
8.516186e-01 8.285035e-01 8.985396e-01 7.980592e+01 3.443621e-01 3.443621e-01 2.582716e+00 2.582716e+00 2.605572e+00 2.605572e+00
9.343213e-01 8.985396e-01 9.705967e-01 7.993233e+01 3.330514e-01 3.330514e-01 3.330514e+00 3.330514e+00 3.347125e+00 3.347125e+00
1.007355e+00 9.705967e-01 1.057096e+00 7.873999e+01 3.243666e-01 3.243666e-01 3.243666e+00 3.243666e+00 3.259844e+00 3.259844e+00
1.094936e+00 1.057096e+00 1.146082e+00 7.668471e+01 3.152506e-01 3.152506e-01 3.152506e+00 3.152506e+00 3.168229e+00 3.168229e+00
1.184946e+00 1.146082e+00 1.237420e+00 7.531235e+01 3.070840e-01 3.070840e-01 3.070840e+00 3.070840e+00 3.086156e+00 3.086156e+00
1.290621e+00 1.237420e+00 1.344525e+00 7.237246e+01 2.987511e-01 2.987511e-01 2.987511e+00 2.987511e+00 3.002411e+00 3.002411e+00
