#   4He  PAMELA-CALO(2006/07-2007/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.054296e+00 9.960000e-01 1.116000e+00 6.252500e+01 3.500000e-01 3.500000e-01 2.350000e+00 2.350000e+00 2.375921e+00 2.375921e+00
1.180156e+00 1.116000e+00 1.248000e+00 6.027500e+01 3.250000e-01 3.250000e-01 2.275000e+00 2.275000e+00 2.298097e+00 2.298097e+00
1.321816e+00 1.248000e+00 1.400000e+00 5.730000e+01 3.000000e-01 3.000000e-01 2.150000e+00 2.150000e+00 2.170829e+00 2.170829e+00
1.481620e+00 1.400000e+00 1.568000e+00 5.555000e+01 2.750000e-01 2.750000e-01 2.075000e+00 2.075000e+00 2.093144e+00 2.093144e+00
1.659340e+00 1.568000e+00 1.756000e+00 5.275000e+01 2.500000e-01 2.500000e-01 1.975000e+00 1.975000e+00 1.990760e+00 1.990760e+00
1.858980e+00 1.756000e+00 1.968000e+00 4.827500e+01 2.250000e-01 2.250000e-01 1.800000e+00 1.800000e+00 1.814008e+00 1.814008e+00
2.082660e+00 1.968000e+00 2.204000e+00 4.477500e+01 2.000000e-01 2.000000e-01 1.675000e+00 1.675000e+00 1.686898e+00 1.686898e+00
2.334156e+00 2.204000e+00 2.472000e+00 4.002500e+01 1.750000e-01 1.750000e-01 1.475000e+00 1.475000e+00 1.485345e+00 1.485345e+00
2.615816e+00 2.472000e+00 2.768000e+00 3.637500e+01 1.750000e-01 1.750000e-01 1.350000e+00 1.350000e+00 1.361295e+00 1.361295e+00
2.931188e+00 2.768000e+00 3.104000e+00 3.317500e+01 1.500000e-01 1.500000e-01 1.225000e+00 1.225000e+00 1.234150e+00 1.234150e+00
3.286628e+00 3.104000e+00 3.480000e+00 2.975000e+01 1.500000e-01 1.500000e-01 1.100000e+00 1.100000e+00 1.110180e+00 1.110180e+00
3.682128e+00 3.480000e+00 3.896000e+00 2.585000e+01 1.250000e-01 1.250000e-01 9.500000e-01 9.500000e-01 9.581884e-01 9.581884e-01
4.125240e+00 3.896000e+00 4.368000e+00 2.345000e+01 1.250000e-01 1.250000e-01 8.750000e-01 8.750000e-01 8.838835e-01 8.838835e-01
4.622600e+00 4.368000e+00 4.892000e+00 1.992500e+01 1.000000e-01 1.000000e-01 7.500000e-01 7.500000e-01 7.566373e-01 7.566373e-01
5.179560e+00 4.892000e+00 5.484000e+00 1.637500e+01 1.000000e-01 1.000000e-01 6.000000e-01 6.000000e-01 6.082763e-01 6.082763e-01
