#   4He  PAMELA-TOF(2006/07-2007/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
5.331560e-01 5.040000e-01 5.640000e-01 5.755000e+01 4.750000e-01 4.750000e-01 2.100000e+00 2.100000e+00 2.153050e+00 2.153050e+00
5.970320e-01 5.640000e-01 6.320000e-01 5.980000e+01 4.250000e-01 4.250000e-01 2.125000e+00 2.125000e+00 2.167083e+00 2.167083e+00
6.689200e-01 6.320000e-01 7.080000e-01 6.107500e+01 4.000000e-01 4.000000e-01 2.150000e+00 2.150000e+00 2.186893e+00 2.186893e+00
7.488240e-01 7.080000e-01 7.920000e-01 6.252500e+01 3.750000e-01 3.750000e-01 2.175000e+00 2.175000e+00 2.207091e+00 2.207091e+00
8.386280e-01 7.920000e-01 8.880000e-01 6.285000e+01 3.250000e-01 3.250000e-01 2.150000e+00 2.150000e+00 2.174425e+00 2.174425e+00
9.404520e-01 8.880000e-01 9.960000e-01 6.305000e+01 3.000000e-01 3.000000e-01 2.150000e+00 2.150000e+00 2.170829e+00 2.170829e+00
1.054296e+00 9.960000e-01 1.116000e+00 6.160000e+01 2.750000e-01 2.750000e-01 2.100000e+00 2.100000e+00 2.117929e+00 2.117929e+00
1.180156e+00 1.116000e+00 1.248000e+00 6.032500e+01 2.500000e-01 2.500000e-01 2.050000e+00 2.050000e+00 2.065188e+00 2.065188e+00
1.321816e+00 1.248000e+00 1.400000e+00 5.775000e+01 2.250000e-01 2.250000e-01 1.950000e+00 1.950000e+00 1.962938e+00 1.962938e+00
1.481620e+00 1.400000e+00 1.568000e+00 5.565000e+01 2.250000e-01 2.250000e-01 1.875000e+00 1.875000e+00 1.888452e+00 1.888452e+00
1.659340e+00 1.568000e+00 1.756000e+00 5.262500e+01 2.000000e-01 2.000000e-01 1.775000e+00 1.775000e+00 1.786232e+00 1.786232e+00
1.858980e+00 1.756000e+00 1.968000e+00 4.805000e+01 1.750000e-01 1.750000e-01 1.625000e+00 1.625000e+00 1.634396e+00 1.634396e+00
2.082660e+00 1.968000e+00 2.204000e+00 4.505000e+01 1.500000e-01 1.500000e-01 1.525000e+00 1.525000e+00 1.532359e+00 1.532359e+00
2.334156e+00 2.204000e+00 2.472000e+00 4.172500e+01 1.500000e-01 1.500000e-01 1.400000e+00 1.400000e+00 1.408013e+00 1.408013e+00
2.615816e+00 2.472000e+00 2.768000e+00 3.840000e+01 1.250000e-01 1.250000e-01 1.300000e+00 1.300000e+00 1.305996e+00 1.305996e+00
2.931188e+00 2.768000e+00 3.104000e+00 3.457500e+01 1.250000e-01 1.250000e-01 1.200000e+00 1.200000e+00 1.206493e+00 1.206493e+00
3.286628e+00 3.104000e+00 3.480000e+00 3.110000e+01 1.000000e-01 1.000000e-01 1.125000e+00 1.125000e+00 1.129436e+00 1.129436e+00
