#   He  Pioneer8(1968/04)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
3.428000e-02 2.656000e-02 4.428000e-02 1.340000e+01 2.425000e+00 2.425000e+00 0.000000e+00 0.000000e+00 2.425000e+00 2.425000e+00
6.760000e-02 4.440000e-02 1.028000e-01 7.475000e+00 1.425000e+00 1.425000e+00 0.000000e+00 0.000000e+00 1.425000e+00 1.425000e+00
1.276000e-01 1.028000e-01 1.588000e-01 1.007500e+01 1.825000e+00 1.825000e+00 0.000000e+00 0.000000e+00 1.825000e+00 1.825000e+00
2.012000e-01 1.576000e-01 2.564000e-01 1.525000e+01 2.750000e+00 2.750000e+00 0.000000e+00 0.000000e+00 2.750000e+00 2.750000e+00
2.952000e-01 2.504000e-01 3.484000e-01 1.950000e+01 2.750000e+00 2.750000e+00 0.000000e+00 0.000000e+00 2.750000e+00 2.750000e+00
4.120000e-01 3.484000e-01 4.840000e-01 2.575000e+01 4.000000e+00 4.000000e+00 0.000000e+00 0.000000e+00 4.000000e+00 4.000000e+00
5.760000e-01 4.840000e-01 6.820000e-01 3.425000e+01 3.500000e+00 3.500000e+00 0.000000e+00 0.000000e+00 3.500000e+00 3.500000e+00
7.960000e-01 6.820000e-01 9.280000e-01 4.175000e+01 2.750000e+00 2.750000e+00 0.000000e+00 0.000000e+00 2.750000e+00 2.750000e+00
1.088000e+00 9.280000e-01 1.276000e+00 4.437500e+01 2.450000e+00 2.450000e+00 0.000000e+00 0.000000e+00 2.450000e+00 2.450000e+00
1.508000e+00 1.276000e+00 1.780000e+00 4.570000e+01 2.275000e+00 2.275000e+00 0.000000e+00 0.000000e+00 2.275000e+00 2.275000e+00
2.100000e+00 1.780000e+00 2.480000e+00 4.212500e+01 2.100000e+00 2.100000e+00 0.000000e+00 0.000000e+00 2.100000e+00 2.100000e+00
2.888000e+00 2.480000e+00 3.360000e+00 3.050000e+01 1.525000e+00 1.525000e+00 0.000000e+00 0.000000e+00 1.525000e+00 1.525000e+00
4.000000e+00 3.360000e+00 4.760000e+00 2.260000e+01 1.125000e+00 1.125000e+00 0.000000e+00 0.000000e+00 1.125000e+00 1.125000e+00
5.600000e+00 4.760000e+00 6.560000e+00 1.467500e+01 7.250000e-01 7.250000e-01 0.000000e+00 0.000000e+00 7.250000e-01 7.250000e-01
