#   He  SMILI-I(1989/09)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
5.656840e-01 4.000000e-01 8.000000e-01 1.542250e+01 6.975000e-01 6.975000e-01 0.000000e+00 0.000000e+00 6.975000e-01 6.975000e-01
9.797960e-01 8.000000e-01 1.200000e+00 1.697750e+01 7.525000e-01 7.525000e-01 0.000000e+00 0.000000e+00 7.525000e-01 7.525000e-01
1.385640e+00 1.200000e+00 1.600000e+00 1.718500e+01 7.325000e-01 7.325000e-01 0.000000e+00 0.000000e+00 7.325000e-01 7.325000e-01
1.788856e+00 1.600000e+00 2.000000e+00 1.715750e+01 7.325000e-01 7.325000e-01 0.000000e+00 0.000000e+00 7.325000e-01 7.325000e-01
2.190892e+00 2.000000e+00 2.400000e+00 1.562750e+01 6.750000e-01 6.750000e-01 0.000000e+00 0.000000e+00 6.750000e-01 6.750000e-01
2.592296e+00 2.400000e+00 2.800000e+00 1.441500e+01 6.200000e-01 6.200000e-01 0.000000e+00 0.000000e+00 6.200000e-01 6.200000e-01
2.993324e+00 2.800000e+00 3.200000e+00 1.277750e+01 5.675000e-01 5.675000e-01 0.000000e+00 0.000000e+00 5.675000e-01 5.675000e-01
3.394112e+00 3.200000e+00 3.600000e+00 1.173000e+01 5.325000e-01 5.325000e-01 0.000000e+00 0.000000e+00 5.325000e-01 5.325000e-01
3.794732e+00 3.600000e+00 4.000000e+00 1.027500e+01 4.850000e-01 4.850000e-01 0.000000e+00 0.000000e+00 4.850000e-01 4.850000e-01
4.195240e+00 4.000000e+00 4.400000e+00 9.185000e+00 4.525000e-01 4.525000e-01 0.000000e+00 0.000000e+00 4.525000e-01 4.525000e-01
4.783320e+00 4.400000e+00 5.200000e+00 8.542500e+00 3.775000e-01 3.775000e-01 0.000000e+00 0.000000e+00 3.775000e-01 3.775000e-01
5.768880e+00 5.200000e+00 6.400000e+00 6.762500e+00 3.000000e-01 3.000000e-01 0.000000e+00 0.000000e+00 3.000000e-01 3.000000e-01
7.155400e+00 6.400000e+00 8.000000e+00 5.247500e+00 2.350000e-01 2.350000e-01 0.000000e+00 0.000000e+00 2.350000e-01 2.350000e-01
