#   He  SMILI-II(1991/07)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
7.440000e-01 5.560000e-01 9.320000e-01 8.962500e+00 4.125000e-01 6.150000e-01 0.000000e+00 0.000000e+00 4.125000e-01 6.150000e-01
1.128000e+00 9.320000e-01 1.316000e+00 1.052250e+01 5.050000e-01 6.675000e-01 0.000000e+00 0.000000e+00 5.050000e-01 6.675000e-01
1.532000e+00 1.316000e+00 1.724000e+00 1.121000e+01 5.375000e-01 6.750000e-01 0.000000e+00 0.000000e+00 5.375000e-01 6.750000e-01
1.920000e+00 1.724000e+00 2.116000e+00 1.137250e+01 4.700000e-01 7.425000e-01 0.000000e+00 0.000000e+00 4.700000e-01 7.425000e-01
2.320000e+00 2.116000e+00 2.548000e+00 1.052250e+01 5.475000e-01 6.525000e-01 0.000000e+00 0.000000e+00 5.475000e-01 6.525000e-01
2.736000e+00 2.548000e+00 2.936000e+00 1.073750e+01 5.350000e-01 6.425000e-01 0.000000e+00 0.000000e+00 5.350000e-01 6.425000e-01
3.172000e+00 2.936000e+00 3.356000e+00 9.790000e+00 5.875000e-01 6.750000e-01 0.000000e+00 0.000000e+00 5.875000e-01 6.750000e-01
3.552000e+00 3.356000e+00 3.692000e+00 9.622500e+00 6.375000e-01 4.975000e-01 0.000000e+00 0.000000e+00 6.375000e-01 4.975000e-01
3.968000e+00 3.692000e+00 4.152000e+00 8.562500e+00 4.600000e-01 5.575000e-01 0.000000e+00 0.000000e+00 4.600000e-01 5.575000e-01
4.348000e+00 4.152000e+00 4.572000e+00 8.060000e+00 5.000000e-01 5.425000e-01 0.000000e+00 0.000000e+00 5.000000e-01 5.425000e-01
4.988000e+00 4.572000e+00 5.340000e+00 7.405000e+00 4.025000e-01 3.800000e-01 0.000000e+00 0.000000e+00 4.025000e-01 3.800000e-01
6.012000e+00 5.340000e+00 6.568000e+00 6.065000e+00 3.025000e-01 3.850000e-01 0.000000e+00 0.000000e+00 3.025000e-01 3.850000e-01
7.432000e+00 6.568000e+00 8.280000e+00 4.985000e+00 2.800000e-01 2.900000e-01 0.000000e+00 0.000000e+00 2.800000e-01 2.900000e-01
