#   He  Voyager1(2012/10-2012/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.336000e-02 1.336000e-02 1.336000e-02 3.647500e+02 4.075000e+01 4.075000e+01 0.000000e+00 0.000000e+00 4.075000e+01 4.075000e+01
1.652000e-02 1.652000e-02 1.652000e-02 4.457500e+02 4.975000e+01 4.975000e+01 0.000000e+00 0.000000e+00 4.975000e+01 4.975000e+01
2.000000e-02 2.000000e-02 2.000000e-02 4.010000e+02 3.925000e+01 3.925000e+01 0.000000e+00 0.000000e+00 3.925000e+01 3.925000e+01
2.312000e-02 2.312000e-02 2.312000e-02 4.487500e+02 4.400000e+01 4.400000e+01 0.000000e+00 0.000000e+00 4.400000e+01 4.400000e+01
2.768000e-02 2.768000e-02 2.768000e-02 4.930000e+02 4.825000e+01 4.825000e+01 0.000000e+00 0.000000e+00 4.825000e+01 4.825000e+01
3.576000e-02 3.576000e-02 3.576000e-02 4.380000e+02 1.035000e+02 1.035000e+02 0.000000e+00 0.000000e+00 1.035000e+02 1.035000e+02
4.600000e-02 4.600000e-02 4.600000e-02 6.217500e+02 1.232500e+02 1.232500e+02 0.000000e+00 0.000000e+00 1.232500e+02 1.232500e+02
5.600000e-02 5.600000e-02 5.600000e-02 5.525000e+02 1.095000e+02 1.095000e+02 0.000000e+00 0.000000e+00 1.095000e+02 1.095000e+02
6.640000e-02 6.640000e-02 6.640000e-02 5.322500e+02 1.135000e+02 1.135000e+02 0.000000e+00 0.000000e+00 1.135000e+02 1.135000e+02
8.000000e-02 8.000000e-02 8.000000e-02 4.757500e+02 8.375000e+01 8.375000e+01 0.000000e+00 0.000000e+00 8.375000e+01 8.375000e+01
1.032000e-01 1.032000e-01 1.032000e-01 5.887500e+02 6.175000e+01 6.175000e+01 0.000000e+00 0.000000e+00 6.175000e+01 6.175000e+01
1.392000e-01 1.392000e-01 1.392000e-01 6.002500e+02 6.700000e+01 6.700000e+01 0.000000e+00 0.000000e+00 6.700000e+01 6.700000e+01
1.760000e-01 1.760000e-01 1.760000e-01 4.532500e+02 6.675000e+01 6.675000e+01 0.000000e+00 0.000000e+00 6.675000e+01 6.675000e+01
2.084000e-01 2.084000e-01 2.084000e-01 4.827500e+02 7.100000e+01 7.100000e+01 0.000000e+00 0.000000e+00 7.100000e+01 7.100000e+01
4.956000e-01 4.956000e-01 4.956000e-01 4.085000e+02 4.275000e+01 4.275000e+01 0.000000e+00 0.000000e+00 4.275000e+01 4.275000e+01
5.648000e-01 5.648000e-01 5.648000e-01 4.035000e+02 3.950000e+01 3.950000e+01 0.000000e+00 0.000000e+00 3.950000e+01 3.950000e+01
6.852000e-01 6.852000e-01 6.852000e-01 3.475000e+02 3.375000e+01 3.375000e+01 0.000000e+00 0.000000e+00 3.375000e+01 3.375000e+01
8.572000e-01 8.572000e-01 8.572000e-01 3.145000e+02 2.625000e+01 2.625000e+01 0.000000e+00 0.000000e+00 2.625000e+01 2.625000e+01
1.100000e+00 1.100000e+00 1.100000e+00 2.177250e+02 1.825000e+01 1.825000e+01 0.000000e+00 0.000000e+00 1.825000e+01 1.825000e+01
1.394000e+00 1.394000e+00 1.394000e+00 1.875000e+02 1.700000e+01 1.700000e+01 0.000000e+00 0.000000e+00 1.700000e+01 1.700000e+01
1.712400e+00 1.712400e+00 1.712400e+00 1.555250e+02 1.525000e+01 1.525000e+01 0.000000e+00 0.000000e+00 1.525000e+01 1.525000e+01
2.267200e+00 2.267200e+00 2.267200e+00 1.050000e+02 9.500000e+00 9.500000e+00 0.000000e+00 0.000000e+00 9.500000e+00 9.500000e+00
