#   He  Balloon(1963/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.320000e-01 4.320000e-01 4.320000e-01 5.800000e+01 1.000000e+01 1.000000e+01 0.000000e+00 0.000000e+00 1.000000e+01 1.000000e+01
8.000000e-01 8.000000e-01 8.000000e-01 6.425000e+01 1.075000e+01 1.075000e+01 0.000000e+00 0.000000e+00 1.075000e+01 1.075000e+01
9.320000e-01 6.800000e-01 1.280000e+00 5.575000e+01 7.000000e+00 7.000000e+00 0.000000e+00 0.000000e+00 7.000000e+00 7.000000e+00
1.200000e+00 1.200000e+00 1.200000e+00 5.375000e+01 7.500000e+00 7.500000e+00 0.000000e+00 0.000000e+00 7.500000e+00 7.500000e+00
1.468000e+00 1.280000e+00 1.680000e+00 5.625000e+01 8.750000e+00 8.750000e+00 0.000000e+00 0.000000e+00 8.750000e+00 8.750000e+00
1.600000e+00 1.600000e+00 1.600000e+00 5.125000e+01 9.250000e+00 9.250000e+00 0.000000e+00 0.000000e+00 9.250000e+00 9.250000e+00
1.868000e+00 1.680000e+00 2.080000e+00 5.300000e+01 8.500000e+00 8.500000e+00 0.000000e+00 0.000000e+00 8.500000e+00 8.500000e+00
2.000000e+00 2.000000e+00 2.000000e+00 4.250000e+01 7.500000e+00 7.500000e+00 0.000000e+00 0.000000e+00 7.500000e+00 7.500000e+00
2.272000e+00 2.080000e+00 2.480000e+00 5.025000e+01 8.250000e+00 8.250000e+00 0.000000e+00 0.000000e+00 8.250000e+00 8.250000e+00
2.672000e+00 2.480000e+00 2.880000e+00 4.500000e+01 7.750000e+00 7.750000e+00 0.000000e+00 0.000000e+00 7.750000e+00 7.750000e+00
3.072000e+00 2.880000e+00 3.280000e+00 4.225000e+01 7.500000e+00 7.500000e+00 0.000000e+00 0.000000e+00 7.500000e+00 7.500000e+00
3.660000e+00 3.280000e+00 4.080000e+00 3.575000e+01 5.000000e+00 5.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 5.000000e+00
4.717577e-01 4.717577e-01 4.717577e-01 2.606094e+02 4.560665e+01 4.560665e+01 0.000000e+00 0.000000e+00 4.560665e+01 4.560665e+01
5.595941e-01 5.595941e-01 5.595941e-01 3.036821e+02 5.061369e+01 5.061369e+01 0.000000e+00 0.000000e+00 5.061369e+01 5.061369e+01
6.766749e-01 6.766749e-01 6.766749e-01 2.919816e+02 4.506468e+01 4.506468e+01 0.000000e+00 0.000000e+00 4.506468e+01 4.506468e+01
8.831904e-01 8.831904e-01 8.831904e-01 3.007558e+02 4.757718e+01 4.757718e+01 0.000000e+00 0.000000e+00 4.757718e+01 4.757718e+01
5.720000e+00 4.080000e+00 8.000000e+00 1.237500e+01 1.250000e+00 1.250000e+00 0.000000e+00 0.000000e+00 1.250000e+00 1.250000e+00
1.139646e+00 1.139646e+00 1.139646e+00 4.035966e+02 4.821385e+01 4.821385e+01 0.000000e+00 0.000000e+00 4.821385e+01 4.821385e+01
1.487813e+00 1.487813e+00 1.487813e+00 4.489831e+02 6.005506e+01 6.005506e+01 0.000000e+00 0.000000e+00 6.005506e+01 6.005506e+01
1.767637e+00 1.767637e+00 1.767637e+00 3.586441e+02 3.811019e+01 3.811019e+01 0.000000e+00 0.000000e+00 3.811019e+01 3.811019e+01
2.626306e+00 2.626306e+00 2.626306e+00 2.562381e+02 3.457670e+01 3.457670e+01 0.000000e+00 0.000000e+00 3.457670e+01 3.457670e+01
