#   He  AMS02(2011/05-2013/11)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.786384e+00 1.623849e+00 1.962907e+00 4.092508e+01 4.750051e-02 4.750051e-02 8.142945e-01 8.142945e-01 8.156788e-01 8.156788e-01
2.148752e+00 1.962907e+00 2.349509e+00 3.659053e+01 3.880912e-02 3.880912e-02 6.338823e-01 6.338823e-01 6.350692e-01 6.350692e-01
2.559121e+00 2.349509e+00 2.784401e+00 3.212810e+01 3.104764e-02 3.104764e-02 5.091812e-01 5.091812e-01 5.101269e-01 5.101269e-01
3.025888e+00 2.784401e+00 3.284772e+00 2.814685e+01 2.398539e-02 2.398539e-02 4.197443e-01 4.197443e-01 4.204290e-01 4.204290e-01
3.550747e+00 3.284772e+00 3.834495e+00 2.431117e+01 2.328656e-02 2.328656e-02 3.551200e-01 3.551200e-01 3.558827e-01 3.558827e-01
4.133099e+00 3.834495e+00 4.450805e+00 2.072958e+01 1.703801e-02 1.703801e-02 3.010048e-01 3.010048e-01 3.014866e-01 3.014866e-01
4.782302e+00 4.450805e+00 5.134026e+00 1.749294e+01 1.668643e-02 1.668643e-02 2.502964e-01 2.502964e-01 2.508520e-01 2.508520e-01
5.498477e+00 5.134026e+00 5.884122e+00 1.460004e+01 1.093226e-02 1.093226e-02 2.077130e-01 2.077130e-01 2.080005e-01 2.080005e-01
6.290295e+00 5.884122e+00 6.719499e+00 1.212056e+01 1.077383e-02 1.077383e-02 1.723813e-01 1.723813e-01 1.727177e-01 1.727177e-01
7.167626e+00 6.719499e+00 7.640355e+00 9.982605e+00 5.321218e-03 5.321218e-03 1.436729e-01 1.436729e-01 1.437714e-01 1.437714e-01
8.130468e+00 7.640355e+00 8.646615e+00 8.190320e+00 5.267086e-03 5.267086e-03 1.158759e-01 1.158759e-01 1.159955e-01 1.159955e-01
9.178691e+00 8.646615e+00 9.738025e+00 6.695426e+00 5.222641e-03 5.222641e-03 9.400754e-02 9.400754e-02 9.415250e-02 9.415250e-02
1.032114e+01 9.738025e+00 1.093357e+01 5.465981e+00 5.185940e-03 5.185940e-03 7.778911e-02 7.778911e-02 7.796178e-02 7.796178e-02
1.156781e+01 1.093357e+01 1.223316e+01 4.457441e+00 3.093297e-03 3.093297e-03 6.186594e-02 6.186594e-02 6.194322e-02 6.194322e-02
1.291852e+01 1.223316e+01 1.363658e+01 3.632787e+00 2.565165e-03 2.565165e-03 5.027723e-02 5.027723e-02 5.034263e-02 5.034263e-02
1.438237e+01 1.363658e+01 1.516317e+01 2.956324e+00 2.043778e-03 2.043778e-03 4.036461e-02 4.036461e-02 4.041632e-02 4.041632e-02
1.596944e+01 1.516317e+01 1.681280e+01 2.413631e+00 2.036819e-03 2.036819e-03 3.309831e-02 3.309831e-02 3.316092e-02 3.316092e-02
1.767937e+01 1.681280e+01 1.858530e+01 1.963000e+00 1.523280e-03 1.523280e-03 2.691128e-02 2.691128e-02 2.695436e-02 2.695436e-02
1.955032e+01 1.858530e+01 2.055948e+01 1.589520e+00 1.519617e-03 1.519617e-03 2.178118e-02 2.178118e-02 2.183413e-02 2.183413e-02
2.152811e+01 2.055948e+01 2.253757e+01 1.297212e+00 1.011077e-03 1.011077e-03 1.769385e-02 1.769385e-02 1.772271e-02 1.772271e-02
2.360468e+01 2.253757e+01 2.471701e+01 1.059907e+00 1.009435e-03 1.009435e-03 1.463681e-02 1.463681e-02 1.467158e-02 1.467158e-02
2.588267e+01 2.471701e+01 2.709791e+01 8.623632e-01 1.008023e-03 1.008023e-03 1.159226e-02 1.159226e-02 1.163600e-02 1.163600e-02
2.836233e+01 2.709791e+01 2.968030e+01 7.022558e-01 5.034092e-04 5.034092e-04 9.564774e-03 9.564774e-03 9.578012e-03 9.578012e-03
3.104367e+01 2.968030e+01 3.246416e+01 5.702877e-01 5.028993e-04 5.028993e-04 7.543489e-03 7.543489e-03 7.560234e-03 7.560234e-03
3.392644e+01 3.246416e+01 3.544941e+01 4.643317e-01 5.024692e-04 5.024692e-04 6.331112e-03 6.331112e-03 6.351020e-03 6.351020e-03
3.701097e+01 3.544941e+01 3.863599e+01 3.758272e-01 4.518964e-04 4.518964e-04 5.121493e-03 5.121493e-03 5.141391e-03 5.141391e-03
4.029676e+01 3.863599e+01 4.202377e+01 3.060997e-01 3.512619e-04 3.512619e-04 4.164962e-03 4.164962e-03 4.179748e-03 4.179748e-03
4.387962e+01 4.202377e+01 4.581210e+01 2.489145e-01 3.009242e-04 3.009242e-04 3.410475e-03 3.410475e-03 3.423725e-03 3.423725e-03
4.776775e+01 4.581210e+01 4.980160e+01 2.027822e-01 2.506578e-04 2.506578e-04 2.757236e-03 2.757236e-03 2.768606e-03 2.768606e-03
5.185699e+01 4.980160e+01 5.399214e+01 1.651219e-01 2.004514e-04 2.004514e-04 2.255079e-03 2.255079e-03 2.263970e-03 2.263970e-03
5.624341e+01 5.399214e+01 5.858325e+01 1.345603e-01 2.003876e-04 2.003876e-04 1.853586e-03 1.853586e-03 1.864386e-03 1.864386e-03
6.093458e+01 5.858325e+01 6.337526e+01 1.098828e-01 1.502500e-04 1.502500e-04 1.502500e-03 1.502500e-03 1.509994e-03 1.509994e-03
6.592286e+01 6.337526e+01 6.856780e+01 8.997901e-02 1.502154e-04 1.502154e-04 1.251795e-03 1.251795e-03 1.260776e-03 1.260776e-03
7.131188e+01 6.856780e+01 7.416089e+01 7.354083e-02 1.001237e-04 1.001237e-04 1.001237e-03 1.001237e-03 1.006231e-03 1.006231e-03
7.710184e+01 7.416089e+01 8.015451e+01 5.996383e-02 1.001065e-04 1.001065e-04 8.509057e-04 8.509057e-04 8.567741e-04 8.567741e-04
8.329251e+01 8.015451e+01 8.654862e+01 4.916515e-02 9.008272e-05 9.008272e-05 6.806250e-04 6.806250e-04 6.865605e-04 6.865605e-04
8.988408e+01 8.654862e+01 9.334323e+01 4.038705e-02 8.006352e-05 8.006352e-05 5.604447e-04 5.604447e-04 5.661346e-04 5.661346e-04
9.697265e+01 9.334323e+01 1.007382e+02 3.285252e-02 7.004803e-05 7.004803e-05 4.553122e-04 4.553122e-04 4.606690e-04 4.606690e-04
1.045654e+02 1.007382e+02 1.085335e+02 2.709106e-02 6.003559e-05 6.003559e-05 3.802254e-04 3.802254e-04 3.849359e-04 3.849359e-04
1.126555e+02 1.085335e+02 1.169292e+02 2.224141e-02 5.502824e-05 5.502824e-05 3.101592e-04 3.101592e-04 3.150029e-04 3.150029e-04
1.213462e+02 1.169292e+02 1.259252e+02 1.821810e-02 4.502001e-05 4.502001e-05 2.551134e-04 2.551134e-04 2.590553e-04 2.590553e-04
1.307339e+02 1.259252e+02 1.357214e+02 1.492574e-02 4.001538e-05 4.001538e-05 2.100808e-04 2.100808e-04 2.138578e-04 2.138578e-04
1.408261e+02 1.357214e+02 1.461180e+02 1.228409e-02 3.501165e-05 3.501165e-05 1.700566e-04 1.700566e-04 1.736233e-04 1.736233e-04
1.516153e+02 1.461180e+02 1.573148e+02 1.007790e-02 3.000864e-05 3.000864e-05 1.400403e-04 1.400403e-04 1.432194e-04 1.432194e-04
1.632052e+02 1.573148e+02 1.693118e+02 8.272064e-03 2.500624e-05 2.500624e-05 1.150287e-04 1.150287e-04 1.177154e-04 1.177154e-04
1.756925e+02 1.693118e+02 1.823090e+02 6.786466e-03 2.500540e-05 2.500540e-05 9.502052e-05 9.502052e-05 9.825563e-05 9.825563e-05
1.891806e+02 1.823090e+02 1.963064e+02 5.566040e-03 2.000374e-05 2.000374e-05 8.001494e-05 8.001494e-05 8.247751e-05 8.247751e-05
2.041510e+02 1.963064e+02 2.123038e+02 4.534729e-03 1.700274e-05 1.700274e-05 6.451037e-05 6.451037e-05 6.671342e-05 6.671342e-05
2.201587e+02 2.123038e+02 2.283016e+02 3.664508e-03 1.500208e-05 1.500208e-05 5.250728e-05 5.250728e-05 5.460840e-05 5.460840e-05
