#   He  ATIC02(2003/01)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.547160e+01 4.547160e+01 4.547160e+01 1.730000e-01 2.000000e-03 2.000000e-03 0.000000e+00 0.000000e+00 2.000000e-03 2.000000e-03
7.417160e+01 7.417160e+01 7.417160e+01 5.140000e-02 3.000000e-04 3.000000e-04 0.000000e+00 0.000000e+00 3.000000e-04 3.000000e-04
1.192716e+02 1.192716e+02 1.192716e+02 1.520000e-02 1.000000e-04 1.000000e-04 0.000000e+00 0.000000e+00 1.000000e-04 1.000000e-04
1.922716e+02 1.922716e+02 1.922716e+02 4.600000e-03 3.000000e-05 3.000000e-05 0.000000e+00 0.000000e+00 3.000000e-05 3.000000e-05
3.062716e+02 3.062716e+02 3.062716e+02 1.410000e-03 1.000000e-05 1.000000e-05 0.000000e+00 0.000000e+00 1.000000e-05 1.000000e-05
4.882716e+02 4.882716e+02 4.882716e+02 4.340000e-04 5.000000e-06 5.000000e-06 0.000000e+00 0.000000e+00 5.000000e-06 5.000000e-06
7.752716e+02 7.752716e+02 7.752716e+02 1.320000e-04 2.000000e-06 2.000000e-06 0.000000e+00 0.000000e+00 2.000000e-06 2.000000e-06
1.226272e+03 1.226272e+03 1.226272e+03 3.890000e-05 1.000000e-07 1.000000e-07 0.000000e+00 0.000000e+00 1.000000e-07 1.000000e-07
1.956272e+03 1.956272e+03 1.956272e+03 1.200000e-05 4.000000e-07 4.000000e-07 0.000000e+00 0.000000e+00 4.000000e-07 4.000000e-07
3.096272e+03 3.096272e+03 3.096272e+03 3.920000e-06 1.600000e-07 1.600000e-07 0.000000e+00 0.000000e+00 1.600000e-07 1.600000e-07
4.916272e+03 4.916272e+03 4.916272e+03 1.250000e-06 9.000000e-08 9.000000e-08 0.000000e+00 0.000000e+00 9.000000e-08 9.000000e-08
7.786272e+03 7.786272e+03 7.786272e+03 4.140000e-07 3.200000e-08 3.200000e-08 0.000000e+00 0.000000e+00 3.200000e-08 3.200000e-08
1.229627e+04 1.229627e+04 1.229627e+04 1.350000e-07 1.600000e-08 1.600000e-08 0.000000e+00 0.000000e+00 1.600000e-08 1.600000e-08
1.959627e+04 1.959627e+04 1.959627e+04 3.280000e-08 6.100000e-09 6.100000e-09 0.000000e+00 0.000000e+00 6.100000e-09 6.100000e-09
3.099627e+04 3.099627e+04 3.099627e+04 9.060000e-09 2.590000e-09 2.590000e-09 0.000000e+00 0.000000e+00 2.590000e-09 2.590000e-09
