#   4He  Balloon(1977/07)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.840000e-01 4.600000e-01 5.000000e-01 6.825000e+01 4.250000e+00 4.250000e+00 0.000000e+00 0.000000e+00 4.250000e+00 4.250000e+00
5.280000e-01 5.000000e-01 5.760000e-01 7.250000e+01 5.250000e+00 5.250000e+00 0.000000e+00 0.000000e+00 5.250000e+00 5.250000e+00
6.120000e-01 5.760000e-01 6.640000e-01 7.800000e+01 5.000000e+00 5.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 5.000000e+00
7.120000e-01 6.640000e-01 7.720000e-01 8.025000e+01 6.250000e+00 6.250000e+00 0.000000e+00 0.000000e+00 6.250000e+00 6.250000e+00
8.560000e-01 7.720000e-01 9.240000e-01 8.500000e+01 7.750000e+00 7.750000e+00 0.000000e+00 0.000000e+00 7.750000e+00 7.750000e+00
1.032000e+00 9.240000e-01 1.104000e+00 8.275000e+01 6.500000e+00 6.500000e+00 0.000000e+00 0.000000e+00 6.500000e+00 6.500000e+00
1.240000e+00 1.104000e+00 1.432000e+00 8.050000e+01 5.500000e+00 5.500000e+00 0.000000e+00 0.000000e+00 5.500000e+00 5.500000e+00
1.636000e+00 1.432000e+00 1.852000e+00 7.300000e+01 4.500000e+00 4.500000e+00 0.000000e+00 0.000000e+00 4.500000e+00 4.500000e+00
2.168000e+00 1.852000e+00 2.512000e+00 5.150000e+01 3.250000e+00 3.250000e+00 0.000000e+00 0.000000e+00 3.250000e+00 3.250000e+00
2.872000e+00 2.512000e+00 3.180000e+00 3.700000e+01 3.000000e+00 3.000000e+00 0.000000e+00 0.000000e+00 3.000000e+00 3.000000e+00
