#   He  BESS-PolarI(2004/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
8.200000e-01 8.000000e-01 8.440000e-01 3.890000e+01 4.000000e-01 4.000000e-01 8.500000e-01 8.500000e-01 9.394147e-01 9.394147e-01
8.720000e-01 8.440000e-01 8.960000e-01 4.110000e+01 4.000000e-01 4.000000e-01 8.750000e-01 8.750000e-01 9.620941e-01 9.620941e-01
9.240000e-01 8.960000e-01 9.480000e-01 4.112500e+01 3.750000e-01 3.750000e-01 8.750000e-01 8.750000e-01 9.519716e-01 9.519716e-01
9.760000e-01 9.480000e-01 1.004000e+00 4.185000e+01 3.750000e-01 3.750000e-01 9.000000e-01 9.000000e-01 9.750000e-01 9.750000e-01
1.036000e+00 1.004000e+00 1.064000e+00 4.287500e+01 3.500000e-01 3.500000e-01 9.000000e-01 9.000000e-01 9.656604e-01 9.656604e-01
1.096000e+00 1.064000e+00 1.128000e+00 4.232500e+01 3.500000e-01 3.500000e-01 8.750000e-01 8.750000e-01 9.424038e-01 9.424038e-01
1.160000e+00 1.128000e+00 1.192000e+00 4.247500e+01 3.250000e-01 3.250000e-01 9.000000e-01 9.000000e-01 9.568830e-01 9.568830e-01
1.228000e+00 1.192000e+00 1.264000e+00 4.190000e+01 3.250000e-01 3.250000e-01 8.750000e-01 8.750000e-01 9.334077e-01 9.334077e-01
1.304000e+00 1.264000e+00 1.340000e+00 4.167500e+01 3.000000e-01 3.000000e-01 8.750000e-01 8.750000e-01 9.250000e-01 9.250000e-01
1.380000e+00 1.340000e+00 1.420000e+00 4.112500e+01 3.000000e-01 3.000000e-01 8.500000e-01 8.500000e-01 9.013878e-01 9.013878e-01
1.460000e+00 1.420000e+00 1.504000e+00 4.127500e+01 3.000000e-01 3.000000e-01 8.750000e-01 8.750000e-01 9.250000e-01 9.250000e-01
1.548000e+00 1.504000e+00 1.592000e+00 4.057500e+01 2.750000e-01 2.750000e-01 8.500000e-01 8.500000e-01 8.933784e-01 8.933784e-01
1.640000e+00 1.592000e+00 1.688000e+00 3.960000e+01 2.750000e-01 2.750000e-01 8.500000e-01 8.500000e-01 8.933784e-01 8.933784e-01
1.736000e+00 1.688000e+00 1.788000e+00 3.887500e+01 2.500000e-01 2.500000e-01 8.250000e-01 8.250000e-01 8.620470e-01 8.620470e-01
1.840000e+00 1.788000e+00 1.892000e+00 3.817500e+01 2.500000e-01 2.500000e-01 8.250000e-01 8.250000e-01 8.620470e-01 8.620470e-01
1.948000e+00 1.892000e+00 2.004000e+00 3.717500e+01 2.250000e-01 2.250000e-01 8.000000e-01 8.000000e-01 8.310385e-01 8.310385e-01
2.064000e+00 2.004000e+00 2.124000e+00 3.615000e+01 2.250000e-01 2.250000e-01 8.000000e-01 8.000000e-01 8.310385e-01 8.310385e-01
2.184000e+00 2.124000e+00 2.248000e+00 3.505000e+01 2.000000e-01 2.000000e-01 8.000000e-01 8.000000e-01 8.246211e-01 8.246211e-01
2.316000e+00 2.248000e+00 2.384000e+00 3.342500e+01 2.000000e-01 2.000000e-01 7.500000e-01 7.500000e-01 7.762087e-01 7.762087e-01
