#   He  BESS-PolarII(2007/12-2008/01)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
8.200000e-01 8.000000e-01 8.440000e-01 8.540000e+01 2.000000e-01 2.000000e-01 1.925000e+00 1.925000e+00 1.935362e+00 1.935362e+00
8.720000e-01 8.440000e-01 8.960000e-01 8.507500e+01 2.000000e-01 2.000000e-01 1.925000e+00 1.925000e+00 1.935362e+00 1.935362e+00
9.240000e-01 8.960000e-01 9.480000e-01 8.485000e+01 2.000000e-01 2.000000e-01 1.925000e+00 1.925000e+00 1.935362e+00 1.935362e+00
9.760000e-01 9.480000e-01 1.004000e+00 8.372500e+01 1.750000e-01 1.750000e-01 1.900000e+00 1.900000e+00 1.908042e+00 1.908042e+00
1.036000e+00 1.004000e+00 1.064000e+00 8.255000e+01 1.750000e-01 1.750000e-01 1.875000e+00 1.875000e+00 1.883149e+00 1.883149e+00
1.096000e+00 1.064000e+00 1.128000e+00 8.147500e+01 1.750000e-01 1.750000e-01 1.850000e+00 1.850000e+00 1.858259e+00 1.858259e+00
1.160000e+00 1.128000e+00 1.192000e+00 7.917500e+01 1.500000e-01 1.500000e-01 1.800000e+00 1.800000e+00 1.806239e+00 1.806239e+00
1.228000e+00 1.192000e+00 1.264000e+00 7.780000e+01 1.500000e-01 1.500000e-01 1.750000e+00 1.750000e+00 1.756417e+00 1.756417e+00
1.304000e+00 1.264000e+00 1.340000e+00 7.550000e+01 1.500000e-01 1.500000e-01 1.700000e+00 1.700000e+00 1.706605e+00 1.706605e+00
1.380000e+00 1.340000e+00 1.420000e+00 7.345000e+01 1.500000e-01 1.500000e-01 1.650000e+00 1.650000e+00 1.656804e+00 1.656804e+00
1.460000e+00 1.420000e+00 1.504000e+00 7.137500e+01 1.250000e-01 1.250000e-01 1.625000e+00 1.625000e+00 1.629801e+00 1.629801e+00
1.548000e+00 1.504000e+00 1.592000e+00 6.880000e+01 1.250000e-01 1.250000e-01 1.550000e+00 1.550000e+00 1.555032e+00 1.555032e+00
1.640000e+00 1.592000e+00 1.688000e+00 6.667500e+01 1.250000e-01 1.250000e-01 1.525000e+00 1.525000e+00 1.530114e+00 1.530114e+00
1.736000e+00 1.688000e+00 1.788000e+00 6.392500e+01 1.250000e-01 1.250000e-01 1.475000e+00 1.475000e+00 1.480287e+00 1.480287e+00
1.840000e+00 1.788000e+00 1.892000e+00 6.160000e+01 1.250000e-01 1.250000e-01 1.425000e+00 1.425000e+00 1.430472e+00 1.430472e+00
1.948000e+00 1.892000e+00 2.004000e+00 5.905000e+01 1.000000e-01 1.000000e-01 1.400000e+00 1.400000e+00 1.403567e+00 1.403567e+00
2.064000e+00 2.004000e+00 2.124000e+00 5.640000e+01 1.000000e-01 1.000000e-01 1.350000e+00 1.350000e+00 1.353699e+00 1.353699e+00
2.184000e+00 2.124000e+00 2.248000e+00 5.390000e+01 1.000000e-01 1.000000e-01 1.325000e+00 1.325000e+00 1.328768e+00 1.328768e+00
2.316000e+00 2.248000e+00 2.384000e+00 5.132500e+01 1.000000e-01 1.000000e-01 1.250000e+00 1.250000e+00 1.253994e+00 1.253994e+00
2.452000e+00 2.384000e+00 2.524000e+00 4.865000e+01 7.500000e-02 7.500000e-02 1.200000e+00 1.200000e+00 1.202341e+00 1.202341e+00
2.596000e+00 2.524000e+00 2.672000e+00 4.595000e+01 7.500000e-02 7.500000e-02 1.175000e+00 1.175000e+00 1.177391e+00 1.177391e+00
2.752000e+00 2.672000e+00 2.832000e+00 4.342500e+01 7.500000e-02 7.500000e-02 1.125000e+00 1.125000e+00 1.127497e+00 1.127497e+00
2.916000e+00 2.832000e+00 3.000000e+00 4.102500e+01 7.500000e-02 7.500000e-02 1.050000e+00 1.050000e+00 1.052675e+00 1.052675e+00
3.088000e+00 3.000000e+00 3.176000e+00 3.857500e+01 7.500000e-02 7.500000e-02 1.000000e+00 1.000000e+00 1.002809e+00 1.002809e+00
3.272000e+00 3.176000e+00 3.364000e+00 3.605000e+01 7.500000e-02 7.500000e-02 9.500000e-01 9.500000e-01 9.529559e-01 9.529559e-01
3.464000e+00 3.364000e+00 3.564000e+00 3.380000e+01 5.000000e-02 5.000000e-02 9.000000e-01 9.000000e-01 9.013878e-01 9.013878e-01
3.668000e+00 3.564000e+00 3.776000e+00 3.140000e+01 5.000000e-02 5.000000e-02 8.250000e-01 8.250000e-01 8.265138e-01 8.265138e-01
3.888000e+00 3.776000e+00 4.000000e+00 2.922500e+01 5.000000e-02 5.000000e-02 7.750000e-01 7.750000e-01 7.766112e-01 7.766112e-01
4.156000e+00 4.000000e+00 4.320000e+00 2.687500e+01 5.000000e-02 5.000000e-02 7.250000e-01 7.250000e-01 7.267221e-01 7.267221e-01
4.488000e+00 4.320000e+00 4.664000e+00 2.416500e+01 4.000000e-02 4.000000e-02 6.400000e-01 6.400000e-01 6.412488e-01 6.412488e-01
4.848000e+00 4.664000e+00 5.036000e+00 2.164500e+01 3.500000e-02 3.500000e-02 5.725000e-01 5.725000e-01 5.735689e-01 5.735689e-01
5.232000e+00 5.036000e+00 5.436000e+00 1.934250e+01 3.250000e-02 3.250000e-02 5.125000e-01 5.125000e-01 5.135295e-01 5.135295e-01
5.652000e+00 5.436000e+00 5.872000e+00 1.727000e+01 3.000000e-02 3.000000e-02 4.550000e-01 4.550000e-01 4.559879e-01 4.559879e-01
6.100000e+00 5.872000e+00 6.340000e+00 1.528000e+01 2.750000e-02 2.750000e-02 4.025000e-01 4.025000e-01 4.034383e-01 4.034383e-01
6.588000e+00 6.340000e+00 6.844000e+00 1.349250e+01 2.500000e-02 2.500000e-02 3.550000e-01 3.550000e-01 3.558792e-01 3.558792e-01
7.112000e+00 6.844000e+00 7.392000e+00 1.182250e+01 2.250000e-02 2.250000e-02 3.100000e-01 3.100000e-01 3.108155e-01 3.108155e-01
7.680000e+00 7.392000e+00 7.980000e+00 1.041000e+01 2.000000e-02 2.000000e-02 2.725000e-01 2.725000e-01 2.732330e-01 2.732330e-01
8.292000e+00 7.980000e+00 8.616000e+00 9.132500e+00 1.750000e-02 1.750000e-02 2.375000e-01 2.375000e-01 2.381439e-01 2.381439e-01
8.956000e+00 8.616000e+00 9.304000e+00 7.972500e+00 1.500000e-02 1.500000e-02 2.075000e-01 2.075000e-01 2.080415e-01 2.080415e-01
9.668000e+00 9.304000e+00 1.004800e+01 6.935000e+00 1.500000e-02 1.500000e-02 1.800000e-01 1.800000e-01 1.806239e-01 1.806239e-01
1.044000e+01 1.004800e+01 1.084800e+01 5.990000e+00 1.250000e-02 1.250000e-02 1.550000e-01 1.550000e-01 1.555032e-01 1.555032e-01
1.127200e+01 1.084800e+01 1.171600e+01 5.200000e+00 1.250000e-02 1.250000e-02 1.350000e-01 1.350000e-01 1.355775e-01 1.355775e-01
1.217200e+01 1.171600e+01 1.264800e+01 4.482500e+00 1.000000e-02 1.000000e-02 1.150000e-01 1.150000e-01 1.154340e-01 1.154340e-01
1.327200e+01 1.264800e+01 1.392400e+01 3.782500e+00 7.500000e-03 7.500000e-03 9.750000e-02 9.750000e-02 9.778804e-02 9.778804e-02
1.460800e+01 1.392400e+01 1.532400e+01 3.107500e+00 7.500000e-03 7.500000e-03 8.000000e-02 8.000000e-02 8.035079e-02 8.035079e-02
1.607600e+01 1.532400e+01 1.686800e+01 2.530000e+00 5.000000e-03 5.000000e-03 6.500000e-02 6.500000e-02 6.519202e-02 6.519202e-02
1.769600e+01 1.686800e+01 1.856800e+01 2.068000e+00 5.250000e-03 5.250000e-03 5.200000e-02 5.200000e-02 5.226435e-02 5.226435e-02
1.947600e+01 1.856800e+01 2.043600e+01 1.689000e+00 4.500000e-03 4.500000e-03 4.225000e-02 4.225000e-02 4.248897e-02 4.248897e-02
2.144000e+01 2.043600e+01 2.249200e+01 1.362250e+00 4.000000e-03 4.000000e-03 3.400000e-02 3.400000e-02 3.423449e-02 3.423449e-02
2.359600e+01 2.249200e+01 2.476000e+01 1.089000e+00 3.250000e-03 3.250000e-03 2.725000e-02 2.725000e-02 2.744312e-02 2.744312e-02
