#   He  BESS-TeV(2002/08)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
9.292160e-01 8.600000e-01 1.004000e+00 1.915000e+01 9.250000e-01 9.250000e-01 1.375000e+00 1.375000e+00 1.657181e+00 1.657181e+00
1.084752e+00 1.004000e+00 1.172000e+00 2.077500e+01 8.750000e-01 8.750000e-01 1.475000e+00 1.475000e+00 1.715007e+00 1.715007e+00
1.266212e+00 1.172000e+00 1.368000e+00 2.135000e+01 8.250000e-01 8.250000e-01 1.525000e+00 1.525000e+00 1.733854e+00 1.733854e+00
1.475756e+00 1.368000e+00 1.592000e+00 1.887500e+01 7.250000e-01 7.250000e-01 1.350000e+00 1.350000e+00 1.532359e+00 1.532359e+00
1.718940e+00 1.592000e+00 1.856000e+00 2.077500e+01 7.000000e-01 7.000000e-01 1.475000e+00 1.475000e+00 1.632674e+00 1.632674e+00
2.004092e+00 1.856000e+00 2.164000e+00 2.110000e+01 6.500000e-01 6.500000e-01 1.500000e+00 1.500000e+00 1.634778e+00 1.634778e+00
2.337080e+00 2.164000e+00 2.524000e+00 2.002500e+01 6.000000e-01 6.000000e-01 1.425000e+00 1.425000e+00 1.546165e+00 1.546165e+00
2.725924e+00 2.524000e+00 2.944000e+00 1.807500e+01 5.250000e-01 5.250000e-01 1.275000e+00 1.275000e+00 1.378858e+00 1.378858e+00
3.178648e+00 2.944000e+00 3.432000e+00 1.640000e+01 4.750000e-01 4.750000e-01 1.175000e+00 1.175000e+00 1.267379e+00 1.267379e+00
3.705132e+00 3.432000e+00 4.000000e+00 1.540000e+01 4.250000e-01 4.250000e-01 1.100000e+00 1.100000e+00 1.179248e+00 1.179248e+00
4.326680e+00 4.000000e+00 4.680000e+00 1.330000e+01 3.750000e-01 3.750000e-01 9.500000e-01 9.500000e-01 1.021335e+00 1.021335e+00
5.045720e+00 4.680000e+00 5.440000e+00 1.215000e+01 3.250000e-01 3.250000e-01 8.500000e-01 8.500000e-01 9.100137e-01 9.100137e-01
5.863520e+00 5.440000e+00 6.320000e+00 1.022500e+01 2.750000e-01 2.750000e-01 7.250000e-01 7.250000e-01 7.754031e-01 7.754031e-01
6.838720e+00 6.320000e+00 7.400000e+00 8.125000e+00 2.250000e-01 2.250000e-01 5.750000e-01 5.750000e-01 6.174545e-01 6.174545e-01
7.977480e+00 7.400000e+00 8.600000e+00 6.625000e+00 2.000000e-01 2.000000e-01 4.750000e-01 4.750000e-01 5.153882e-01 5.153882e-01
9.292160e+00 8.600000e+00 1.004000e+01 5.475000e+00 1.750000e-01 1.750000e-01 4.000000e-01 4.000000e-01 4.366062e-01 4.366062e-01
1.084752e+01 1.004000e+01 1.172000e+01 4.575000e+00 1.500000e-01 1.500000e-01 3.250000e-01 3.250000e-01 3.579455e-01 3.579455e-01
1.266212e+01 1.172000e+01 1.368000e+01 3.450000e+00 1.000000e-01 1.000000e-01 2.500000e-01 2.500000e-01 2.692582e-01 2.692582e-01
1.475756e+01 1.368000e+01 1.592000e+01 2.452500e+00 8.750000e-02 8.750000e-02 1.750000e-01 1.750000e-01 1.956559e-01 1.956559e-01
1.718940e+01 1.592000e+01 1.856000e+01 1.922500e+00 7.250000e-02 7.250000e-02 1.350000e-01 1.350000e-01 1.532359e-01 1.532359e-01
2.004092e+01 1.856000e+01 2.164000e+01 1.430000e+00 5.750000e-02 5.750000e-02 1.025000e-01 1.025000e-01 1.175266e-01 1.175266e-01
2.337080e+01 2.164000e+01 2.524000e+01 9.950000e-01 1.500000e-02 1.500000e-02 8.000000e-02 8.000000e-02 8.139410e-02 8.139410e-02
2.725924e+01 2.524000e+01 2.944000e+01 7.075000e-01 1.000000e-02 1.000000e-02 5.750000e-02 5.750000e-02 5.836309e-02 5.836309e-02
3.178648e+01 2.944000e+01 3.432000e+01 5.175000e-01 1.000000e-02 1.000000e-02 4.250000e-02 4.250000e-02 4.366062e-02 4.366062e-02
3.705132e+01 3.432000e+01 4.000000e+01 3.700000e-01 7.500000e-03 7.500000e-03 3.000000e-02 3.000000e-02 3.092329e-02 3.092329e-02
4.326680e+01 4.000000e+01 4.680000e+01 2.575000e-01 5.000000e-03 5.000000e-03 2.000000e-02 2.000000e-02 2.061553e-02 2.061553e-02
5.045720e+01 4.680000e+01 5.440000e+01 1.697500e-01 4.000000e-03 4.000000e-03 1.400000e-02 1.400000e-02 1.456022e-02 1.456022e-02
5.863520e+01 5.440000e+01 6.320000e+01 1.182500e-01 3.000000e-03 3.000000e-03 9.750000e-03 9.750000e-03 1.020110e-02 1.020110e-02
6.838720e+01 6.320000e+01 7.400000e+01 8.200000e-02 2.500000e-03 2.500000e-03 6.750000e-03 6.750000e-03 7.198090e-03 7.198090e-03
7.977480e+01 7.400000e+01 8.600000e+01 5.350000e-02 1.750000e-03 1.750000e-03 4.500000e-03 4.500000e-03 4.828302e-03 4.828302e-03
9.280000e+01 8.600000e+01 1.004000e+02 3.650000e-02 1.250000e-03 1.250000e-03 3.000000e-03 3.000000e-03 3.250000e-03 3.250000e-03
1.084000e+02 1.004000e+02 1.172000e+02 2.417500e-02 1.025000e-03 1.025000e-03 1.975000e-03 1.975000e-03 2.225140e-03 2.225140e-03
1.256000e+02 1.172000e+02 1.364000e+02 1.472500e-02 7.500000e-04 7.500000e-04 1.200000e-03 1.200000e-03 1.415097e-03 1.415097e-03
1.468000e+02 1.364000e+02 1.592000e+02 1.057500e-02 6.000000e-04 6.000000e-04 8.750000e-04 8.750000e-04 1.060955e-03 1.060955e-03
1.716000e+02 1.592000e+02 1.856000e+02 7.125000e-03 4.500000e-04 4.500000e-04 6.000000e-04 6.000000e-04 7.500000e-04 7.500000e-04
1.996000e+02 1.856000e+02 2.164000e+02 4.600000e-03 3.250000e-04 3.250000e-04 3.750000e-04 3.750000e-04 4.962358e-04 4.962358e-04
2.500000e+02 2.164000e+02 2.944000e+02 2.350000e-03 2.300000e-04 2.300000e-04 2.250000e-04 2.250000e-04 3.217530e-04 3.217530e-04
3.444000e+02 2.944000e+02 4.000000e+02 1.035000e-03 1.325000e-04 1.325000e-04 1.025000e-04 1.025000e-04 1.675187e-04 1.675187e-04
4.640000e+02 4.000000e+02 5.440000e+02 5.400000e-04 8.250000e-05 8.250000e-05 5.500000e-05 5.500000e-05 9.915266e-05 9.915266e-05
