#   He  BESS99(1999/08)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
9.292160e-01 8.600000e-01 1.004000e+00 4.450000e+01 1.500000e+00 1.500000e+00 2.500000e+00 2.500000e+00 2.915476e+00 2.915476e+00
1.084752e+00 1.004000e+00 1.172000e+00 4.625000e+01 1.500000e+00 1.500000e+00 2.500000e+00 2.500000e+00 2.915476e+00 2.915476e+00
1.266212e+00 1.172000e+00 1.368000e+00 4.750000e+01 1.500000e+00 1.500000e+00 2.500000e+00 2.500000e+00 2.915476e+00 2.915476e+00
1.475756e+00 1.368000e+00 1.592000e+00 4.725000e+01 1.250000e+00 1.250000e+00 2.500000e+00 2.500000e+00 2.795085e+00 2.795085e+00
1.718940e+00 1.592000e+00 1.856000e+00 4.250000e+01 1.250000e+00 1.250000e+00 2.250000e+00 2.250000e+00 2.573908e+00 2.573908e+00
2.004092e+00 1.856000e+00 2.164000e+00 3.875000e+01 1.000000e+00 1.000000e+00 2.000000e+00 2.000000e+00 2.236068e+00 2.236068e+00
2.337080e+00 2.164000e+00 2.524000e+00 3.700000e+01 1.000000e+00 1.000000e+00 2.000000e+00 2.000000e+00 2.236068e+00 2.236068e+00
2.725924e+00 2.524000e+00 2.944000e+00 3.175000e+01 7.500000e-01 7.500000e-01 1.750000e+00 1.750000e+00 1.903943e+00 1.903943e+00
3.178648e+00 2.944000e+00 3.432000e+00 2.875000e+01 7.500000e-01 7.500000e-01 1.500000e+00 1.500000e+00 1.677051e+00 1.677051e+00
3.705132e+00 3.432000e+00 4.000000e+00 2.457500e+01 6.250000e-01 6.250000e-01 1.325000e+00 1.325000e+00 1.465009e+00 1.465009e+00
4.326680e+00 4.000000e+00 4.680000e+00 2.040000e+01 5.250000e-01 5.250000e-01 1.100000e+00 1.100000e+00 1.218862e+00 1.218862e+00
5.045720e+00 4.680000e+00 5.440000e+00 1.552500e+01 4.250000e-01 4.250000e-01 8.500000e-01 8.500000e-01 9.503289e-01 9.503289e-01
5.863520e+00 5.440000e+00 6.320000e+00 1.330000e+01 3.750000e-01 3.750000e-01 7.500000e-01 7.500000e-01 8.385255e-01 8.385255e-01
6.838720e+00 6.320000e+00 7.400000e+00 1.060000e+01 3.000000e-01 3.000000e-01 6.000000e-01 6.000000e-01 6.708204e-01 6.708204e-01
7.977480e+00 7.400000e+00 8.600000e+00 8.425000e+00 2.500000e-01 2.500000e-01 4.750000e-01 4.750000e-01 5.367728e-01 5.367728e-01
9.292160e+00 8.600000e+00 1.004000e+01 6.400000e+00 2.000000e-01 2.000000e-01 3.750000e-01 3.750000e-01 4.250000e-01 4.250000e-01
1.084752e+01 1.004000e+01 1.172000e+01 4.775000e+00 1.750000e-01 1.750000e-01 2.750000e-01 2.750000e-01 3.259601e-01 3.259601e-01
1.266212e+01 1.172000e+01 1.368000e+01 3.500000e+00 1.250000e-01 1.250000e-01 2.000000e-01 2.000000e-01 2.358495e-01 2.358495e-01
1.475756e+01 1.368000e+01 1.592000e+01 2.482500e+00 1.025000e-01 1.025000e-01 1.525000e-01 1.525000e-01 1.837457e-01 1.837457e-01
1.718940e+01 1.592000e+01 1.856000e+01 1.947500e+00 4.000000e-02 4.000000e-02 1.225000e-01 1.225000e-01 1.288652e-01 1.288652e-01
2.004092e+01 1.856000e+01 2.164000e+01 1.525000e+00 3.000000e-02 3.000000e-02 9.750000e-02 9.750000e-02 1.020110e-01 1.020110e-01
2.337080e+01 2.164000e+01 2.524000e+01 1.092500e+00 2.250000e-02 2.250000e-02 7.000000e-02 7.000000e-02 7.352721e-02 7.352721e-02
2.725924e+01 2.524000e+01 2.944000e+01 7.425000e-01 1.750000e-02 1.750000e-02 4.750000e-02 4.750000e-02 5.062114e-02 5.062114e-02
3.178648e+01 2.944000e+01 3.432000e+01 5.050000e-01 1.250000e-02 1.250000e-02 3.250000e-02 3.250000e-02 3.482097e-02 3.482097e-02
3.705132e+01 3.432000e+01 4.000000e+01 3.575000e-01 1.000000e-02 1.000000e-02 2.500000e-02 2.500000e-02 2.692582e-02 2.692582e-02
4.326680e+01 4.000000e+01 4.680000e+01 2.462500e-01 8.500000e-03 8.500000e-03 1.675000e-02 1.675000e-02 1.878330e-02 1.878330e-02
5.045720e+01 4.680000e+01 5.440000e+01 1.587500e-01 6.250000e-03 6.250000e-03 1.075000e-02 1.075000e-02 1.243483e-02 1.243483e-02
5.863520e+01 5.440000e+01 6.320000e+01 1.192500e-01 5.000000e-03 5.000000e-03 8.250000e-03 8.250000e-03 9.646891e-03 9.646891e-03
6.838720e+01 6.320000e+01 7.400000e+01 7.550000e-02 3.750000e-03 3.750000e-03 5.250000e-03 5.250000e-03 6.451744e-03 6.451744e-03
7.977480e+01 7.400000e+01 8.600000e+01 5.825000e-02 3.000000e-03 3.000000e-03 4.000000e-03 4.000000e-03 5.000000e-03 5.000000e-03
