#   He  CAPRICE98(1998/05)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
3.640000e+00 3.400000e+00 3.840000e+00 2.275000e+01 5.000000e+00 5.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 5.000000e+00
4.120000e+00 3.840000e+00 4.320000e+00 1.900000e+01 2.750000e+00 2.750000e+00 0.000000e+00 0.000000e+00 2.750000e+00 2.750000e+00
4.600000e+00 4.320000e+00 4.840000e+00 1.800000e+01 1.750000e+00 1.750000e+00 0.000000e+00 0.000000e+00 1.750000e+00 1.750000e+00
5.160000e+00 4.840000e+00 5.400000e+00 1.425000e+01 1.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00 1.000000e+00
5.760000e+00 5.400000e+00 6.040000e+00 1.400000e+01 7.500000e-01 7.500000e-01 0.000000e+00 0.000000e+00 7.500000e-01 7.500000e-01
6.400000e+00 6.040000e+00 6.720000e+00 1.195000e+01 4.000000e-01 4.000000e-01 0.000000e+00 0.000000e+00 4.000000e-01 4.000000e-01
7.120000e+00 6.720000e+00 7.480000e+00 9.225000e+00 2.500000e-01 2.500000e-01 0.000000e+00 0.000000e+00 2.500000e-01 2.500000e-01
7.920000e+00 7.480000e+00 8.320000e+00 7.825000e+00 2.250000e-01 2.250000e-01 0.000000e+00 0.000000e+00 2.250000e-01 2.250000e-01
8.800000e+00 8.320000e+00 9.200000e+00 6.875000e+00 2.000000e-01 2.000000e-01 0.000000e+00 0.000000e+00 2.000000e-01 2.000000e-01
9.760000e+00 9.200000e+00 1.020000e+01 5.175000e+00 1.500000e-01 1.500000e-01 0.000000e+00 0.000000e+00 1.500000e-01 1.500000e-01
1.076000e+01 1.020000e+01 1.128000e+01 4.475000e+00 1.250000e-01 1.250000e-01 0.000000e+00 0.000000e+00 1.250000e-01 1.250000e-01
1.188000e+01 1.128000e+01 1.244000e+01 3.725000e+00 1.250000e-01 1.250000e-01 0.000000e+00 0.000000e+00 1.250000e-01 1.250000e-01
1.312000e+01 1.244000e+01 1.372000e+01 3.100000e+00 1.000000e-01 1.000000e-01 0.000000e+00 0.000000e+00 1.000000e-01 1.000000e-01
1.444000e+01 1.372000e+01 1.512000e+01 2.475000e+00 7.500000e-02 7.500000e-02 0.000000e+00 0.000000e+00 7.500000e-02 7.500000e-02
1.588000e+01 1.512000e+01 1.664000e+01 1.975000e+00 7.500000e-02 7.500000e-02 0.000000e+00 0.000000e+00 7.500000e-02 7.500000e-02
1.856000e+01 1.664000e+01 2.060000e+01 1.430000e+00 4.250000e-02 4.250000e-02 0.000000e+00 0.000000e+00 4.250000e-02 4.250000e-02
2.252000e+01 2.060000e+01 2.456000e+01 9.825000e-01 3.500000e-02 3.500000e-02 0.000000e+00 0.000000e+00 3.500000e-02 3.500000e-02
3.376000e+01 2.456000e+01 4.720000e+01 3.550000e-01 1.000000e-02 1.000000e-02 0.000000e+00 0.000000e+00 1.000000e-02 1.000000e-02
5.760000e+01 4.720000e+01 7.040000e+01 9.325000e-02 4.250000e-03 4.250000e-03 0.000000e+00 0.000000e+00 4.250000e-03 4.250000e-03
8.520000e+01 7.040000e+01 1.040000e+02 3.550000e-02 2.000000e-03 2.000000e-03 0.000000e+00 0.000000e+00 2.000000e-03 2.000000e-03
1.256000e+02 1.040000e+02 1.528000e+02 1.200000e-02 1.000000e-03 1.000000e-03 0.000000e+00 0.000000e+00 1.000000e-03 1.000000e-03
1.844000e+02 1.528000e+02 2.240000e+02 4.550000e-03 5.000000e-04 5.000000e-04 0.000000e+00 0.000000e+00 5.000000e-04 5.000000e-04
2.700000e+02 2.240000e+02 3.276000e+02 1.700000e-03 2.500000e-04 2.500000e-04 0.000000e+00 0.000000e+00 2.500000e-04 2.500000e-04
3.984000e+02 3.276000e+02 4.800000e+02 4.250000e-04 1.000000e-04 1.000000e-04 0.000000e+00 0.000000e+00 1.000000e-04 1.000000e-04
5.760000e+02 4.800000e+02 6.960000e+02 1.675000e-04 5.500000e-05 5.500000e-05 0.000000e+00 0.000000e+00 5.500000e-05 5.500000e-05
