#   He  CREAM-I(2004/12-2005/01)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
3.158552e+03 2.496272e+03 3.996272e+03 3.550000e-06 1.000000e-07 1.000000e-07 0.000000e+00 0.000000e+00 1.000000e-07 1.000000e-07
5.016232e+03 3.996272e+03 6.296272e+03 1.087500e-06 4.000000e-08 4.000000e-08 0.000000e+00 0.000000e+00 4.000000e-08 4.000000e-08
7.933522e+03 6.296272e+03 9.996272e+03 3.275000e-07 1.750000e-08 1.750000e-08 0.000000e+00 0.000000e+00 1.750000e-08 1.750000e-08
1.264537e+04 9.996272e+03 1.599627e+04 9.575000e-08 7.750000e-09 7.750000e-09 0.000000e+00 0.000000e+00 7.750000e-09 7.750000e-09
1.999627e+04 1.599627e+04 2.499627e+04 3.175000e-08 3.500000e-09 3.500000e-09 0.000000e+00 0.000000e+00 3.500000e-09 3.500000e-09
3.161907e+04 2.499627e+04 3.999627e+04 1.047500e-08 1.600000e-09 1.600000e-09 0.000000e+00 0.000000e+00 1.600000e-09 1.600000e-09
5.019587e+04 3.999627e+04 6.299627e+04 2.875000e-09 6.750000e-10 6.750000e-10 0.000000e+00 0.000000e+00 6.750000e-10 6.750000e-10
7.936877e+04 6.299627e+04 9.999627e+04 8.500000e-10 2.500000e-10 2.750000e-10 0.000000e+00 0.000000e+00 2.500000e-10 2.750000e-10
1.264873e+05 9.999627e+04 1.599963e+05 2.050000e-10 9.500000e-11 1.225000e-10 0.000000e+00 0.000000e+00 9.500000e-11 1.225000e-10
1.999963e+05 1.599963e+05 2.499963e+05 7.250000e-11 3.750000e-11 6.000000e-11 0.000000e+00 0.000000e+00 3.750000e-11 6.000000e-11
