#   He  CREAM-III
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
0.000000e+00 0.000000e+00 0.000000e+00 3.450000e-05 5.000000e-07 5.000000e-07 1.637206e-06 1.637206e-06 1.711854e-06 1.711854e-06
0.000000e+00 0.000000e+00 0.000000e+00 1.087500e-05 2.000000e-07 2.000000e-07 5.160758e-07 5.160758e-07 5.534747e-07 5.534747e-07
0.000000e+00 0.000000e+00 0.000000e+00 3.375000e-06 7.500000e-08 7.500000e-08 1.601614e-07 1.601614e-07 1.768521e-07 1.768521e-07
0.000000e+00 0.000000e+00 0.000000e+00 1.065000e-06 3.750000e-08 3.750000e-08 5.053983e-08 5.053983e-08 6.293270e-08 6.293270e-08
0.000000e+00 0.000000e+00 0.000000e+00 3.250000e-07 1.750000e-08 1.750000e-08 1.542295e-08 1.542295e-08 2.332632e-08 2.332632e-08
0.000000e+00 0.000000e+00 0.000000e+00 9.575000e-08 7.250000e-09 7.250000e-09 4.543840e-09 4.543840e-09 8.556225e-09 8.556225e-09
0.000000e+00 0.000000e+00 0.000000e+00 2.900000e-08 3.250000e-09 3.250000e-09 1.376202e-09 1.376202e-09 3.529367e-09 3.529367e-09
0.000000e+00 0.000000e+00 0.000000e+00 8.125000e-09 1.350000e-09 1.350000e-09 3.855739e-10 3.855739e-10 1.403983e-09 1.403983e-09
0.000000e+00 0.000000e+00 0.000000e+00 1.987500e-09 5.250000e-10 5.250000e-10 9.431730e-11 9.431730e-11 5.334049e-10 5.334049e-10
0.000000e+00 0.000000e+00 0.000000e+00 6.000000e-10 2.000000e-10 2.250000e-10 2.847315e-11 2.847315e-11 2.020166e-10 2.267944e-10
0.000000e+00 0.000000e+00 0.000000e+00 2.025000e-10 5.250000e-11 7.250000e-11 9.609686e-12 9.609686e-12 5.337224e-11 7.313410e-11
0.000000e+00 0.000000e+00 0.000000e+00 4.250000e-11 2.500000e-11 6.000000e-11 2.016848e-12 2.016848e-12 2.508122e-11 6.003389e-11
