#   He  IMAX92(1992/07)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.000000e+00 9.200000e-01 1.080000e+00 4.125000e+01 1.500000e+00 1.500000e+00 3.750000e+00 3.750000e+00 4.038874e+00 4.038874e+00
1.200000e+00 1.080000e+00 1.320000e+00 4.425000e+01 1.250000e+00 1.250000e+00 4.000000e+00 4.000000e+00 4.190764e+00 4.190764e+00
1.440000e+00 1.320000e+00 1.600000e+00 4.175000e+01 1.000000e+00 1.000000e+00 3.750000e+00 3.750000e+00 3.881044e+00 3.881044e+00
1.800000e+00 1.600000e+00 2.000000e+00 3.950000e+01 7.500000e-01 7.500000e-01 3.500000e+00 3.500000e+00 3.579455e+00 3.579455e+00
2.240000e+00 2.000000e+00 2.520000e+00 3.450000e+01 5.000000e-01 5.000000e-01 3.000000e+00 3.000000e+00 3.041381e+00 3.041381e+00
2.840000e+00 2.520000e+00 3.200000e+00 2.800000e+01 5.000000e-01 5.000000e-01 2.500000e+00 2.500000e+00 2.549510e+00 2.549510e+00
3.600000e+00 3.200000e+00 4.080000e+00 2.280000e+01 3.750000e-01 3.750000e-01 2.025000e+00 2.025000e+00 2.059430e+00 2.059430e+00
4.640000e+00 4.080000e+00 5.240000e+00 1.787500e+01 3.000000e-01 3.000000e-01 1.600000e+00 1.600000e+00 1.627882e+00 1.627882e+00
5.920000e+00 5.240000e+00 6.720000e+00 1.280000e+01 2.250000e-01 2.250000e-01 1.150000e+00 1.150000e+00 1.171804e+00 1.171804e+00
7.600000e+00 6.720000e+00 8.600000e+00 8.675000e+00 1.750000e-01 1.750000e-01 7.750000e-01 7.750000e-01 7.945124e-01 7.945124e-01
9.760000e+00 8.600000e+00 1.108000e+01 5.575000e+00 1.250000e-01 1.250000e-01 5.000000e-01 5.000000e-01 5.153882e-01 5.153882e-01
1.252000e+01 1.108000e+01 1.424000e+01 3.350000e+00 7.500000e-02 7.500000e-02 3.000000e-01 3.000000e-01 3.092329e-01 3.092329e-01
1.616000e+01 1.424000e+01 1.836000e+01 1.960000e+00 5.250000e-02 5.250000e-02 1.750000e-01 1.750000e-01 1.827054e-01 1.827054e-01
2.076000e+01 1.836000e+01 2.364000e+01 1.090000e+00 3.500000e-02 3.500000e-02 9.750000e-02 9.750000e-02 1.035917e-01 1.035917e-01
2.668000e+01 2.364000e+01 3.048000e+01 6.150000e-01 2.250000e-02 2.250000e-02 5.500000e-02 5.500000e-02 5.942432e-02 5.942432e-02
3.448000e+01 3.048000e+01 3.928000e+01 3.775000e-01 1.500000e-02 1.500000e-02 3.500000e-02 3.500000e-02 3.807887e-02 3.807887e-02
4.440000e+01 3.920000e+01 5.080000e+01 1.825000e-01 9.750000e-03 9.750000e-03 1.625000e-02 1.625000e-02 1.895059e-02 1.895059e-02
5.720000e+01 5.080000e+01 6.520000e+01 9.200000e-02 6.250000e-03 6.250000e-03 8.250000e-03 8.250000e-03 1.035012e-02 1.035012e-02
7.440000e+01 6.520000e+01 8.400000e+01 6.100000e-02 4.500000e-03 4.500000e-03 5.500000e-03 5.500000e-03 7.106335e-03 7.106335e-03
9.520000e+01 8.400000e+01 1.084000e+02 2.875000e-02 2.750000e-03 2.750000e-03 2.500000e-03 2.500000e-03 3.716517e-03 3.716517e-03
1.216000e+02 1.084000e+02 1.400000e+02 1.665000e-02 1.850000e-03 1.850000e-03 1.500000e-03 1.500000e-03 2.381701e-03 2.381701e-03
1.568000e+02 1.400000e+02 1.804000e+02 6.900000e-03 1.050000e-03 1.050000e-03 6.250000e-04 6.250000e-04 1.221935e-03 1.221935e-03
2.036000e+02 1.804000e+02 2.328000e+02 3.300000e-03 6.500000e-04 6.500000e-04 3.000000e-04 3.000000e-04 7.158911e-04 7.158911e-04
2.620000e+02 2.328000e+02 3.004000e+02 1.922500e-03 4.200000e-04 4.200000e-04 1.950000e-04 1.950000e-04 4.630605e-04 4.630605e-04
3.384000e+02 3.004000e+02 3.872000e+02 6.650000e-04 2.100000e-04 2.100000e-04 8.250000e-05 8.250000e-05 2.256241e-04 2.256241e-04
4.320000e+02 3.880000e+02 5.000000e+02 5.175000e-04 1.550000e-04 1.550000e-04 8.500000e-05 8.500000e-05 1.767767e-04 1.767767e-04
