#   4He  IMP7(1973/05-1973/07)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
5.200000e-02 5.200000e-02 5.200000e-02 3.325000e+01 6.000000e+00 6.000000e+00 0.000000e+00 0.000000e+00 6.000000e+00 6.000000e+00
6.800000e-02 6.800000e-02 6.800000e-02 3.950000e+01 7.500000e+00 7.500000e+00 0.000000e+00 0.000000e+00 7.500000e+00 7.500000e+00
8.800000e-02 8.800000e-02 8.800000e-02 3.525000e+01 8.000000e+00 8.000000e+00 0.000000e+00 0.000000e+00 8.000000e+00 8.000000e+00
1.320000e-01 1.320000e-01 1.320000e-01 3.975000e+01 7.750000e+00 7.750000e+00 0.000000e+00 0.000000e+00 7.750000e+00 7.750000e+00
2.040000e-01 2.040000e-01 2.040000e-01 3.525000e+01 5.500000e+00 5.500000e+00 0.000000e+00 0.000000e+00 5.500000e+00 5.500000e+00
2.720000e-01 2.720000e-01 2.720000e-01 4.400000e+01 7.000000e+00 7.000000e+00 0.000000e+00 0.000000e+00 7.000000e+00 7.000000e+00
3.480000e-01 3.480000e-01 3.480000e-01 4.900000e+01 5.500000e+00 5.500000e+00 0.000000e+00 0.000000e+00 5.500000e+00 5.500000e+00
4.720000e-01 4.720000e-01 4.720000e-01 5.150000e+01 7.500000e+00 7.500000e+00 0.000000e+00 0.000000e+00 7.500000e+00 7.500000e+00
6.200000e-01 6.200000e-01 6.200000e-01 6.225000e+01 1.050000e+01 1.050000e+01 0.000000e+00 0.000000e+00 1.050000e+01 1.050000e+01
7.560000e-01 7.560000e-01 7.560000e-01 6.675000e+01 9.750000e+00 9.750000e+00 0.000000e+00 0.000000e+00 9.750000e+00 9.750000e+00
9.760000e-01 9.760000e-01 9.760000e-01 6.550000e+01 9.000000e+00 9.000000e+00 0.000000e+00 0.000000e+00 9.000000e+00 9.000000e+00
1.380000e+00 1.380000e+00 1.380000e+00 6.425000e+01 8.750000e+00 8.750000e+00 0.000000e+00 0.000000e+00 8.750000e+00 8.750000e+00
2.276000e+00 2.276000e+00 2.276000e+00 5.700000e+01 7.750000e+00 7.750000e+00 0.000000e+00 0.000000e+00 7.750000e+00 7.750000e+00
3.732000e+00 3.732000e+00 3.732000e+00 3.975000e+01 5.250000e+00 5.250000e+00 0.000000e+00 0.000000e+00 5.250000e+00 5.250000e+00
