#   He  IMP8(1974/07-1974/09)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.400000e-02 4.000000e-02 4.800000e-02 4.150000e+01 6.000000e+00 6.000000e+00 0.000000e+00 0.000000e+00 6.000000e+00 6.000000e+00
5.600000e-02 4.800000e-02 6.400000e-02 3.850000e+01 4.000000e+00 4.000000e+00 0.000000e+00 0.000000e+00 4.000000e+00 4.000000e+00
6.800000e-02 6.400000e-02 7.600000e-02 3.600000e+01 4.000000e+00 4.000000e+00 0.000000e+00 0.000000e+00 4.000000e+00 4.000000e+00
8.800000e-02 7.600000e-02 9.600000e-02 3.825000e+01 3.750000e+00 3.750000e+00 0.000000e+00 0.000000e+00 3.750000e+00 3.750000e+00
1.040000e-01 9.600000e-02 1.160000e-01 4.475000e+01 4.750000e+00 4.750000e+00 0.000000e+00 0.000000e+00 4.750000e+00 4.750000e+00
1.360000e-01 1.160000e-01 1.600000e-01 3.800000e+01 3.500000e+00 3.500000e+00 0.000000e+00 0.000000e+00 3.500000e+00 3.500000e+00
1.840000e-01 1.600000e-01 2.160000e-01 3.625000e+01 3.250000e+00 3.250000e+00 0.000000e+00 0.000000e+00 3.250000e+00 3.250000e+00
2.400000e-01 2.160000e-01 2.720000e-01 3.950000e+01 3.250000e+00 3.250000e+00 0.000000e+00 0.000000e+00 3.250000e+00 3.250000e+00
3.200000e-01 2.720000e-01 3.800000e-01 5.175000e+01 4.250000e+00 4.250000e+00 0.000000e+00 0.000000e+00 4.250000e+00 4.250000e+00
4.760000e-01 3.800000e-01 5.720000e-01 5.250000e+01 6.750000e+00 6.750000e+00 0.000000e+00 0.000000e+00 6.750000e+00 6.750000e+00
6.440000e-01 5.720000e-01 7.120000e-01 6.275000e+01 6.500000e+00 6.500000e+00 0.000000e+00 0.000000e+00 6.500000e+00 6.500000e+00
7.960000e-01 7.120000e-01 9.000000e-01 6.150000e+01 7.500000e+00 7.500000e+00 0.000000e+00 0.000000e+00 7.500000e+00 7.500000e+00
1.016000e+00 9.000000e-01 1.164000e+00 6.400000e+01 6.500000e+00 6.500000e+00 0.000000e+00 0.000000e+00 6.500000e+00 6.500000e+00
1.480000e+00 1.164000e+00 1.760000e+00 5.975000e+01 7.750000e+00 7.750000e+00 0.000000e+00 0.000000e+00 7.750000e+00 7.750000e+00
2.420000e+00 1.760000e+00 3.036000e+00 5.275000e+01 6.000000e+00 6.000000e+00 0.000000e+00 0.000000e+00 6.000000e+00 6.000000e+00
