#   He  LEAP(1987/08)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
8.200000e-01 8.200000e-01 8.200000e-01 8.615250e+01 7.057500e+00 7.057500e+00 0.000000e+00 0.000000e+00 7.057500e+00 7.057500e+00
1.160000e+00 1.160000e+00 1.160000e+00 7.228750e+01 8.152500e+00 8.152500e+00 0.000000e+00 0.000000e+00 8.152500e+00 8.152500e+00
2.332000e+00 2.332000e+00 2.332000e+00 4.421500e+01 5.542500e+00 5.542500e+00 0.000000e+00 0.000000e+00 5.542500e+00 5.542500e+00
3.292000e+00 3.292000e+00 3.292000e+00 3.133750e+01 4.127500e+00 4.127500e+00 0.000000e+00 0.000000e+00 4.127500e+00 4.127500e+00
4.672000e+00 4.672000e+00 4.672000e+00 2.029950e+01 2.290250e+00 2.290250e+00 0.000000e+00 0.000000e+00 2.290250e+00 2.290250e+00
6.560000e+00 6.560000e+00 6.560000e+00 1.168400e+01 1.540000e+00 1.540000e+00 0.000000e+00 0.000000e+00 1.540000e+00 1.540000e+00
9.256000e+00 9.256000e+00 9.256000e+00 6.429000e+00 7.657500e-01 7.657500e-01 0.000000e+00 0.000000e+00 7.657500e-01 7.657500e-01
1.318000e+01 1.318000e+01 1.318000e+01 3.108000e+00 4.492500e-01 4.492500e-01 0.000000e+00 0.000000e+00 4.492500e-01 4.492500e-01
1.657200e+01 1.657200e+01 1.657200e+01 1.851025e+00 2.320000e-01 2.320000e-01 0.000000e+00 0.000000e+00 2.320000e-01 2.320000e-01
2.073600e+01 2.073600e+01 2.073600e+01 1.121150e+00 1.195000e-01 1.195000e-01 0.000000e+00 0.000000e+00 1.195000e-01 1.195000e-01
2.813600e+01 2.813600e+01 2.813600e+01 5.482250e-01 6.175000e-02 6.175000e-02 0.000000e+00 0.000000e+00 6.175000e-02 6.175000e-02
3.835200e+01 3.835200e+01 3.835200e+01 2.577250e-01 3.375000e-02 3.375000e-02 0.000000e+00 0.000000e+00 3.375000e-02 3.375000e-02
4.936000e+01 4.936000e+01 4.936000e+01 1.356000e-01 1.700000e-02 1.700000e-02 0.000000e+00 0.000000e+00 1.700000e-02 1.700000e-02
6.924000e+01 6.924000e+01 6.924000e+01 5.857500e-02 7.250000e-03 7.250000e-03 0.000000e+00 0.000000e+00 7.250000e-03 7.250000e-03
8.580000e+01 8.580000e+01 8.580000e+01 3.372500e-02 4.500000e-03 4.500000e-03 0.000000e+00 0.000000e+00 4.500000e-03 4.500000e-03
1.131200e+02 1.131200e+02 1.131200e+02 1.715000e-02 2.025000e-03 2.025000e-03 0.000000e+00 0.000000e+00 2.025000e-03 2.025000e-03
1.632400e+02 1.632400e+02 1.632400e+02 6.725000e-03 8.250000e-04 8.250000e-04 0.000000e+00 0.000000e+00 8.250000e-04 8.250000e-04
2.990000e+02 2.990000e+02 2.990000e+02 1.525000e-03 1.825000e-04 1.825000e-04 0.000000e+00 0.000000e+00 1.825000e-04 1.825000e-04
