#   He  MASS89(1989/09)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
8.720000e-01 8.720000e-01 8.720000e-01 1.025000e+01 8.550000e-01 8.550000e-01 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01
1.060000e+00 1.060000e+00 1.060000e+00 1.087500e+01 6.725000e-01 6.725000e-01 0.000000e+00 0.000000e+00 6.725000e-01 6.725000e-01
1.180000e+00 1.180000e+00 1.180000e+00 1.177500e+01 8.125000e-01 8.125000e-01 0.000000e+00 0.000000e+00 8.125000e-01 8.125000e-01
1.352000e+00 1.352000e+00 1.352000e+00 1.365000e+01 1.137500e+00 1.137500e+00 0.000000e+00 0.000000e+00 1.137500e+00 1.137500e+00
1.492000e+00 1.492000e+00 1.492000e+00 1.302500e+01 6.225000e-01 6.225000e-01 0.000000e+00 0.000000e+00 6.225000e-01 6.225000e-01
1.740000e+00 1.740000e+00 1.740000e+00 1.497500e+01 6.100000e-01 6.100000e-01 0.000000e+00 0.000000e+00 6.100000e-01 6.100000e-01
2.072000e+00 2.072000e+00 2.072000e+00 1.440000e+01 6.875000e-01 6.875000e-01 0.000000e+00 0.000000e+00 6.875000e-01 6.875000e-01
2.384000e+00 2.384000e+00 2.384000e+00 1.467500e+01 7.000000e-01 7.000000e-01 0.000000e+00 0.000000e+00 7.000000e-01 7.000000e-01
3.096000e+00 3.096000e+00 3.096000e+00 1.327500e+01 7.275000e-01 7.275000e-01 0.000000e+00 0.000000e+00 7.275000e-01 7.275000e-01
3.936000e+00 3.936000e+00 3.936000e+00 1.170000e+01 5.575000e-01 5.575000e-01 0.000000e+00 0.000000e+00 5.575000e-01 5.575000e-01
4.840000e+00 4.840000e+00 4.840000e+00 1.050000e+01 5.750000e-01 5.750000e-01 0.000000e+00 0.000000e+00 5.750000e-01 5.750000e-01
5.680000e+00 5.680000e+00 5.680000e+00 7.975000e+00 5.500000e-01 5.500000e-01 0.000000e+00 0.000000e+00 5.500000e-01 5.500000e-01
6.576000e+00 6.576000e+00 6.576000e+00 6.800000e+00 4.675000e-01 4.675000e-01 0.000000e+00 0.000000e+00 4.675000e-01 4.675000e-01
7.668000e+00 7.668000e+00 7.668000e+00 5.975000e+00 2.447500e-01 2.447500e-01 0.000000e+00 0.000000e+00 2.447500e-01 2.447500e-01
8.936000e+00 8.936000e+00 8.936000e+00 4.650000e+00 1.900000e-01 1.900000e-01 0.000000e+00 0.000000e+00 1.900000e-01 1.900000e-01
1.042000e+01 1.042000e+01 1.042000e+01 3.975000e+00 2.467500e-01 2.467500e-01 0.000000e+00 0.000000e+00 2.467500e-01 2.467500e-01
1.255600e+01 1.255600e+01 1.255600e+01 2.800000e+00 1.545000e-01 1.545000e-01 0.000000e+00 0.000000e+00 1.545000e-01 1.545000e-01
1.522800e+01 1.522800e+01 1.522800e+01 1.992500e+00 6.750000e-02 6.750000e-02 0.000000e+00 0.000000e+00 6.750000e-02 6.750000e-02
1.948400e+01 1.948400e+01 1.948400e+01 1.272500e+00 6.075000e-02 6.075000e-02 0.000000e+00 0.000000e+00 6.075000e-02 6.075000e-02
2.593200e+01 2.593200e+01 2.593200e+01 6.850000e-01 2.322500e-02 2.322500e-02 0.000000e+00 0.000000e+00 2.322500e-02 2.322500e-02
3.866000e+01 3.866000e+01 3.866000e+01 3.025000e-01 1.027500e-02 1.027500e-02 0.000000e+00 0.000000e+00 1.027500e-02 1.027500e-02
