#   Mg  CREAM-II(2005/12-2006/01)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
6.480000e+02 4.800000e+02 9.600000e+02 1.950000e-05 2.791667e-06 2.791667e-06 0.000000e+00 0.000000e+00 2.791667e-06 2.791667e-06
1.128000e+03 9.600000e+02 1.392000e+03 4.458333e-06 6.666667e-07 6.666667e-07 0.000000e+00 0.000000e+00 6.666667e-07 6.666667e-07
1.797600e+03 1.392000e+03 2.424000e+03 1.212500e-06 1.208333e-07 1.208333e-07 0.000000e+00 0.000000e+00 1.208333e-07 1.208333e-07
3.139200e+03 2.424000e+03 4.200000e+03 2.254167e-07 2.333333e-08 2.333333e-08 0.000000e+00 0.000000e+00 2.333333e-08 2.333333e-08
5.472000e+03 4.200000e+03 7.296000e+03 5.916667e-08 8.333333e-09 8.333333e-09 0.000000e+00 0.000000e+00 8.333333e-09 8.333333e-09
9.528000e+03 7.296000e+03 1.269600e+04 1.550000e-08 3.041667e-09 3.041667e-09 0.000000e+00 0.000000e+00 3.041667e-09 3.041667e-09
1.657440e+04 1.269600e+04 2.205600e+04 3.541667e-09 1.000000e-09 1.375000e-09 0.000000e+00 0.000000e+00 1.000000e-09 1.375000e-09
2.881920e+04 2.205600e+04 3.832800e+04 7.916667e-10 4.166667e-10 6.666666e-10 0.000000e+00 0.000000e+00 4.166667e-10 6.666666e-10
5.010000e+04 3.832800e+04 6.662400e+04 2.791667e-10 1.666667e-10 2.958333e-10 0.000000e+00 0.000000e+00 1.666667e-10 2.958333e-10
1.011816e+05 6.662400e+04 1.449672e+06 2.500000e-11 2.416667e-11 6.666667e-11 0.000000e+00 0.000000e+00 2.416667e-11 6.666667e-11
