#   Mg  CRISIS(1977/05)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.073314e+01 9.600000e+00 1.200000e+01 5.045834e-02 1.916667e-03 1.916667e-03 0.000000e+00 0.000000e+00 1.916667e-03 1.916667e-03
1.314535e+01 1.200000e+01 1.440000e+01 5.158332e-02 2.124999e-03 2.124999e-03 0.000000e+00 0.000000e+00 2.124999e-03 2.124999e-03
1.555378e+01 1.440000e+01 1.680000e+01 4.375001e-02 2.208334e-03 2.208334e-03 0.000000e+00 0.000000e+00 2.208334e-03 2.208334e-03
1.795994e+01 1.680000e+01 1.920000e+01 3.654166e-02 2.041666e-03 2.041666e-03 0.000000e+00 0.000000e+00 2.041666e-03 2.041666e-03
2.036467e+01 1.920000e+01 2.160000e+01 2.879168e-02 1.791667e-03 1.791667e-03 0.000000e+00 0.000000e+00 1.791667e-03 1.791667e-03
2.276839e+01 2.160000e+01 2.400000e+01 2.954166e-02 1.791666e-03 1.791666e-03 0.000000e+00 0.000000e+00 1.791666e-03 1.791666e-03
2.629080e+01 2.400000e+01 2.880000e+01 2.297916e-02 1.145833e-03 1.145833e-03 0.000000e+00 0.000000e+00 1.145833e-03 1.145833e-03
3.219936e+01 2.880000e+01 3.600000e+01 1.641667e-02 8.055557e-04 8.055557e-04 0.000000e+00 0.000000e+00 8.055557e-04 8.055557e-04
4.156920e+01 3.600000e+01 4.800000e+01 8.900000e-03 4.583333e-04 4.583333e-04 0.000000e+00 0.000000e+00 4.583333e-04 4.583333e-04
5.878776e+01 4.800000e+01 7.200000e+01 5.166667e-03 2.458333e-04 2.458333e-04 0.000000e+00 0.000000e+00 2.458333e-04 2.458333e-04
1.314535e+02 7.200000e+01 2.400000e+02 1.180952e-03 4.702381e-05 4.702381e-05 0.000000e+00 0.000000e+00 4.702381e-05 4.702381e-05
