#   Mg  HEAO3-C2(1979/10-1980/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.920000e+01 1.920000e+01 1.920000e+01 1.917429e-02 4.295958e-04 4.295958e-04 0.000000e+00 0.000000e+00 4.295958e-04 4.295958e-04
2.400000e+01 2.400000e+01 2.400000e+01 1.442592e-02 3.369967e-04 3.369967e-04 0.000000e+00 0.000000e+00 3.369967e-04 3.369967e-04
3.000000e+01 3.000000e+01 3.000000e+01 1.294067e-02 2.698463e-04 2.698463e-04 0.000000e+00 0.000000e+00 2.698463e-04 2.698463e-04
3.840000e+01 3.840000e+01 3.840000e+01 9.246208e-03 1.775875e-04 1.775875e-04 0.000000e+00 0.000000e+00 1.775875e-04 1.775875e-04
5.040000e+01 5.040000e+01 5.040000e+01 6.224792e-03 1.228933e-04 1.228933e-04 0.000000e+00 0.000000e+00 1.228933e-04 1.228933e-04
6.360000e+01 6.360000e+01 6.360000e+01 4.182917e-03 6.404875e-05 6.404875e-05 0.000000e+00 0.000000e+00 6.404875e-05 6.404875e-05
8.040000e+01 8.040000e+01 8.040000e+01 2.720479e-03 4.022738e-05 4.022738e-05 0.000000e+00 0.000000e+00 4.022738e-05 4.022738e-05
1.032000e+02 1.032000e+02 1.032000e+02 1.859917e-03 3.025733e-05 3.025733e-05 0.000000e+00 0.000000e+00 3.025733e-05 3.025733e-05
1.344000e+02 1.344000e+02 1.344000e+02 1.126400e-03 1.946004e-05 1.946004e-05 0.000000e+00 0.000000e+00 1.946004e-05 1.946004e-05
1.800000e+02 1.800000e+02 1.800000e+02 5.840000e-04 1.672375e-05 1.672375e-05 0.000000e+00 0.000000e+00 1.672375e-05 1.672375e-05
2.544000e+02 2.544000e+02 2.544000e+02 2.704654e-04 5.515250e-06 5.515250e-06 0.000000e+00 0.000000e+00 5.515250e-06 5.515250e-06
3.888000e+02 3.888000e+02 3.888000e+02 8.815667e-05 3.465667e-06 3.465667e-06 0.000000e+00 0.000000e+00 3.465667e-06 3.465667e-06
8.400000e+02 8.400000e+02 8.400000e+02 1.031875e-05 1.593267e-06 1.593267e-06 0.000000e+00 0.000000e+00 1.593267e-06 1.593267e-06
