#   O  Balloon(1976/10)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.000000e+01 4.000000e+01 4.000000e+01 4.125000e-02 5.625000e-03 5.625000e-03 0.000000e+00 0.000000e+00 5.625000e-03 5.625000e-03
6.400000e+01 6.400000e+01 6.400000e+01 1.812500e-02 2.500000e-03 2.500000e-03 0.000000e+00 0.000000e+00 2.500000e-03 2.500000e-03
1.008000e+02 1.008000e+02 1.008000e+02 6.250000e-03 8.125000e-04 8.125000e-04 0.000000e+00 0.000000e+00 8.125000e-04 8.125000e-04
1.600000e+02 1.600000e+02 1.600000e+02 2.375000e-03 3.125000e-04 3.125000e-04 0.000000e+00 0.000000e+00 3.125000e-04 3.125000e-04
2.560000e+02 2.560000e+02 2.560000e+02 8.125000e-04 1.250000e-04 1.250000e-04 0.000000e+00 0.000000e+00 1.250000e-04 1.250000e-04
4.000000e+02 4.000000e+02 4.000000e+02 2.812500e-04 4.375000e-05 4.375000e-05 0.000000e+00 0.000000e+00 4.375000e-05 4.375000e-05
6.400000e+02 6.400000e+02 6.400000e+02 8.125000e-05 1.250000e-05 1.250000e-05 0.000000e+00 0.000000e+00 1.250000e-05 1.250000e-05
1.008000e+03 1.008000e+03 1.008000e+03 2.062500e-05 3.125000e-06 3.125000e-06 0.000000e+00 0.000000e+00 3.125000e-06 3.125000e-06
1.600000e+03 1.600000e+03 1.600000e+03 8.125000e-06 1.875000e-06 1.875000e-06 0.000000e+00 0.000000e+00 1.875000e-06 1.875000e-06
2.560000e+03 2.560000e+03 2.560000e+03 1.125000e-06 2.500000e-07 2.500000e-07 0.000000e+00 0.000000e+00 2.500000e-07 2.500000e-07
4.000000e+03 4.000000e+03 4.000000e+03 3.687500e-07 8.125000e-08 8.125000e-08 0.000000e+00 0.000000e+00 8.125000e-08 8.125000e-08
6.400000e+03 6.400000e+03 6.400000e+03 2.000000e-07 6.250000e-08 6.250000e-08 0.000000e+00 0.000000e+00 6.250000e-08 6.250000e-08
1.008000e+04 1.008000e+04 1.008000e+04 7.500000e-08 3.125000e-08 3.125000e-08 0.000000e+00 0.000000e+00 3.125000e-08 3.125000e-08
1.600000e+04 1.600000e+04 1.600000e+04 1.375000e-08 8.125000e-09 8.125000e-09 0.000000e+00 0.000000e+00 8.125000e-09 8.125000e-09
