#   O  HEAO3-C2(1979/10-1980/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
9.920000e+00 9.920000e+00 9.920000e+00 1.684375e-01 2.625000e-03 2.625000e-03 0.000000e+00 0.000000e+00 2.625000e-03 2.625000e-03
1.280000e+01 1.280000e+01 1.280000e+01 1.378125e-01 2.187500e-03 2.187500e-03 0.000000e+00 0.000000e+00 2.187500e-03 2.187500e-03
1.600000e+01 1.600000e+01 1.600000e+01 1.046875e-01 1.875000e-03 1.875000e-03 0.000000e+00 0.000000e+00 1.875000e-03 1.875000e-03
2.000000e+01 2.000000e+01 2.000000e+01 9.400000e-02 1.562500e-03 1.562500e-03 0.000000e+00 0.000000e+00 1.562500e-03 1.562500e-03
2.560000e+01 2.560000e+01 2.560000e+01 6.818750e-02 1.125000e-03 1.125000e-03 0.000000e+00 0.000000e+00 1.125000e-03 1.125000e-03
3.360000e+01 3.360000e+01 3.360000e+01 4.706250e-02 8.125000e-04 8.125000e-04 0.000000e+00 0.000000e+00 8.125000e-04 8.125000e-04
4.240000e+01 4.240000e+01 4.240000e+01 3.100000e-02 3.750000e-04 3.750000e-04 0.000000e+00 0.000000e+00 3.750000e-04 3.750000e-04
5.360000e+01 5.360000e+01 5.360000e+01 2.093750e-02 2.500000e-04 2.500000e-04 0.000000e+00 0.000000e+00 2.500000e-04 2.500000e-04
6.880000e+01 6.880000e+01 6.880000e+01 1.375000e-02 1.875000e-04 1.875000e-04 0.000000e+00 0.000000e+00 1.875000e-04 1.875000e-04
8.960000e+01 8.960000e+01 8.960000e+01 8.250000e-03 1.250000e-04 1.250000e-04 0.000000e+00 0.000000e+00 1.250000e-04 1.250000e-04
1.200000e+02 1.200000e+02 1.200000e+02 4.562500e-03 1.250000e-04 1.250000e-04 0.000000e+00 0.000000e+00 1.250000e-04 1.250000e-04
1.696000e+02 1.696000e+02 1.696000e+02 2.056250e-03 3.750000e-05 3.750000e-05 0.000000e+00 0.000000e+00 3.750000e-05 3.750000e-05
2.592000e+02 2.592000e+02 2.592000e+02 6.625000e-04 2.500000e-05 2.500000e-05 0.000000e+00 0.000000e+00 2.500000e-05 2.500000e-05
5.600000e+02 5.600000e+02 5.600000e+02 8.125000e-05 1.250000e-05 1.250000e-05 0.000000e+00 0.000000e+00 1.250000e-05 1.250000e-05
