#   O  OGO5(1968/03-1968/10)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.000000e-01 4.000000e-01 4.000000e-01 1.268750e-01 5.187500e-02 5.187500e-02 0.000000e+00 0.000000e+00 5.187500e-02 5.187500e-02
1.152000e+00 1.152000e+00 1.152000e+00 1.068750e-01 1.437500e-02 1.437500e-02 0.000000e+00 0.000000e+00 1.437500e-02 1.437500e-02
1.696000e+00 1.696000e+00 1.696000e+00 1.318750e-01 2.187500e-02 2.187500e-02 0.000000e+00 0.000000e+00 2.187500e-02 2.187500e-02
2.144000e+00 2.144000e+00 2.144000e+00 1.443750e-01 2.000000e-02 2.000000e-02 0.000000e+00 0.000000e+00 2.000000e-02 2.000000e-02
2.608000e+00 2.608000e+00 2.608000e+00 1.331250e-01 1.937500e-02 1.937500e-02 0.000000e+00 0.000000e+00 1.937500e-02 1.937500e-02
4.272000e+00 4.272000e+00 4.272000e+00 2.368750e-01 3.250000e-02 3.250000e-02 0.000000e+00 0.000000e+00 3.250000e-02 3.250000e-02
5.024000e+00 5.024000e+00 5.024000e+00 1.981250e-01 2.562500e-02 2.562500e-02 0.000000e+00 0.000000e+00 2.562500e-02 2.562500e-02
6.160000e+00 6.160000e+00 6.160000e+00 2.225000e-01 2.500000e-02 2.500000e-02 0.000000e+00 0.000000e+00 2.500000e-02 2.500000e-02
7.504000e+00 7.504000e+00 7.504000e+00 2.093750e-01 2.375000e-02 2.375000e-02 0.000000e+00 0.000000e+00 2.375000e-02 2.375000e-02
9.136000e+00 9.136000e+00 9.136000e+00 1.981250e-01 2.250000e-02 2.250000e-02 0.000000e+00 0.000000e+00 2.250000e-02 2.250000e-02
1.064000e+01 1.064000e+01 1.064000e+01 2.462500e-01 3.000000e-02 3.000000e-02 0.000000e+00 0.000000e+00 3.000000e-02 3.000000e-02
1.257600e+01 1.257600e+01 1.257600e+01 2.893750e-01 2.687500e-02 2.687500e-02 0.000000e+00 0.000000e+00 2.687500e-02 2.687500e-02
1.728000e+01 1.728000e+01 1.728000e+01 2.262500e-01 2.125000e-02 2.125000e-02 0.000000e+00 0.000000e+00 2.125000e-02 2.125000e-02
