#   S  CRISIS(1977/05)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.752714e+01 1.600000e+01 1.920000e+01 5.343749e-03 4.999998e-04 4.999998e-04 0.000000e+00 0.000000e+00 4.999998e-04 4.999998e-04
2.073837e+01 1.920000e+01 2.240000e+01 6.562502e-03 5.937502e-04 5.937502e-04 0.000000e+00 0.000000e+00 5.937502e-04 5.937502e-04
2.394659e+01 2.240000e+01 2.560000e+01 4.937498e-03 5.624999e-04 5.624999e-04 0.000000e+00 0.000000e+00 5.624999e-04 5.624999e-04
2.715290e+01 2.560000e+01 2.880000e+01 3.968752e-03 5.312502e-04 5.312502e-04 0.000000e+00 0.000000e+00 5.312502e-04 5.312502e-04
3.035786e+01 2.880000e+01 3.200000e+01 3.656249e-03 4.999998e-04 4.999998e-04 0.000000e+00 0.000000e+00 4.999998e-04 4.999998e-04
3.505440e+01 3.200000e+01 3.840000e+01 3.749999e-03 3.593749e-04 3.593749e-04 0.000000e+00 0.000000e+00 3.593749e-04 3.593749e-04
4.293248e+01 3.840000e+01 4.800000e+01 1.906250e-03 2.083334e-04 2.083334e-04 0.000000e+00 0.000000e+00 2.083334e-04 2.083334e-04
5.542560e+01 4.800000e+01 6.400000e+01 1.225000e-03 1.250000e-04 1.250000e-04 0.000000e+00 0.000000e+00 1.250000e-04 1.250000e-04
7.838368e+01 6.400000e+01 9.600000e+01 5.781250e-04 6.250000e-05 6.250000e-05 0.000000e+00 0.000000e+00 6.250000e-05 6.250000e-05
1.752714e+02 9.600000e+01 3.200000e+02 8.482143e-05 8.928572e-06 8.928572e-06 0.000000e+00 0.000000e+00 8.928572e-06 8.928572e-06
