#   S  HEAO3-C2(1979/10-1980/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.560000e+01 2.560000e+01 2.560000e+01 2.129203e-03 9.574156e-05 9.574156e-05 0.000000e+00 0.000000e+00 9.574156e-05 9.574156e-05
3.200000e+01 3.200000e+01 3.200000e+01 1.811094e-03 7.538281e-05 7.538281e-05 0.000000e+00 0.000000e+00 7.538281e-05 7.538281e-05
4.000000e+01 4.000000e+01 4.000000e+01 1.452300e-03 5.283719e-05 5.283719e-05 0.000000e+00 0.000000e+00 5.283719e-05 5.283719e-05
5.120000e+01 5.120000e+01 5.120000e+01 1.056906e-03 3.237281e-05 3.237281e-05 0.000000e+00 0.000000e+00 3.237281e-05 3.237281e-05
6.720000e+01 6.720000e+01 6.720000e+01 6.941719e-04 2.037028e-05 2.037028e-05 0.000000e+00 0.000000e+00 2.037028e-05 2.037028e-05
8.480000e+01 8.480000e+01 8.480000e+01 4.929000e-04 1.375906e-05 1.375906e-05 0.000000e+00 0.000000e+00 1.375906e-05 1.375906e-05
1.072000e+02 1.072000e+02 1.072000e+02 3.308125e-04 8.324906e-06 8.324906e-06 0.000000e+00 0.000000e+00 8.324906e-06 8.324906e-06
1.376000e+02 1.376000e+02 1.376000e+02 2.069375e-04 5.578812e-06 5.578812e-06 0.000000e+00 0.000000e+00 5.578812e-06 5.578812e-06
1.792000e+02 1.792000e+02 1.792000e+02 1.291125e-04 3.487781e-06 3.487781e-06 0.000000e+00 0.000000e+00 3.487781e-06 3.487781e-06
2.400000e+02 2.400000e+02 2.400000e+02 7.071875e-05 2.510759e-06 2.510759e-06 0.000000e+00 0.000000e+00 2.510759e-06 2.510759e-06
3.392000e+02 3.392000e+02 3.392000e+02 3.074094e-05 9.122781e-07 9.122781e-07 0.000000e+00 0.000000e+00 9.122781e-07 9.122781e-07
5.184000e+02 5.184000e+02 5.184000e+02 1.033500e-05 4.908969e-07 4.908969e-07 0.000000e+00 0.000000e+00 4.908969e-07 4.908969e-07
1.120000e+03 1.120000e+03 1.120000e+03 1.287813e-06 2.022472e-07 2.022472e-07 0.000000e+00 0.000000e+00 2.022472e-07 2.022472e-07
